accession	NCBI_COG	NCBI_COG_Description	PathwayID	Pathway	NCBI_COG_evalue
GCA_000008085-CALJACFG_05470	-	-	-	-	-
GCA_000008085-CALJACFG_05480	-	-	-	-	-
GCA_000008085-CALJACFG_05490	COG0638	20S_proteasome,_alpha_and_beta_subunits	O	-	3.2e-59
GCA_000008085-CALJACFG_05500	COG0037	tRNA(Ile)-lysidine_synthase_TilS/MesJ	J	tRNA_modification	5.6e-28
GCA_000008085-CALJACFG_05510	COG0116	23S_rRNA_G2445_N2-methylase_RlmL	J	23S_rRNA_modification	8.3e-50
GCA_000008085-CALJACFG_05520	COG4027	3'-phosphoadenosine_5'-phosphosulfate_sulfotransferase	F	-	4.1e-97
GCA_000008085-CALJACFG_05530	COG1500	Ribosome_maturation_protein_Sdo1	J	-	1.9e-76
GCA_000008085-CALJACFG_05540	COG1549	Archaeosine_tRNA-ribosyltransferase,_contains_uracil-DNA-glycosylase_and_PUA_domains	J	-	8.2e-48
GCA_000008085-CALJACFG_05550	COG0433	Archaeal_DNA_helicase_HerA_or_a_related_bacterial_ATPase,_contains_HAS-barrel_and_ATPase_domains	L	-	1.1e-41
GCA_000008085-CALJACFG_05560	COG0417	DNA_polymerase_B_elongation_subunit	L	-	6e-60
GCA_000008085-CALJACFG_05570	COG1988	Membrane-bound_metal-dependent_hydrolase_YbcI,_DUF457_family	R	-	1.3e-16
GCA_000008085-CALJACFG_05580	COG0668	Small-conductance_mechanosensitive_channel	M	-	3.3e-53
GCA_000008085-CALJACFG_05590	COG1717	Ribosomal_protein_L32E	J	Archaeal_ribosomal_proteins	6.7e-38
GCA_000008085-CALJACFG_05600	-	-	-	-	-
GCA_000008085-CALJACFG_05610	-	-	-	-	-
GCA_000008085-CALJACFG_05620	-	-	-	-	-
GCA_000008085-CALJACFG_05630	-	-	-	-	-
GCA_000008085-CALJACFG_05640	COG1318	Predicted_transcriptional_regulator	K	-	7.3e-52
GCA_000008085-CALJACFG_05650	COG0017	Aspartyl/asparaginyl-tRNA_synthetase	J	Aminoacyl-tRNA_synthetases	1.9e-128
GCA_000008085-CALJACFG_05660	COG3270	Ribosome_biogenesis_protein,_NOL1/NOP2/FMU_family	J	-	3e-91
GCA_000008085-CALJACFG_05670	COG0123	Acetoin_utilization_deacetylase_AcuC_or_a_related_deacetylase	Q	-	8.9e-55
GCA_000008085-CALJACFG_05680	COG0592	DNA_polymerase_III_sliding_clamp_(beta)_subunit,_PCNA_homolog	L	-	1.2e-11
GCA_000008085-CALJACFG_05690	-	-	-	-	-
GCA_000008085-CALJACFG_05700	COG0250	Transcription_termination/antitermination_protein_NusG	K	-	1e-15
GCA_000008085-CALJACFG_05710	COG3355	Predicted_transcriptional_regulator	K	-	3.9e-16
GCA_000008085-CALJACFG_05720	COG0480	Translation_elongation_factor_EF-G,_a_GTPase	J	Translation_factors	1e-177
GCA_000008085-CALJACFG_05730	COG1697	DNA_topoisomerase_VI,_subunit_A	L	-	1.3e-117
GCA_000008085-CALJACFG_05740	-	-	-	-	-
GCA_000008085-CALJACFG_05750	COG0750	Membrane-associated_protease_RseP,_regulator_of_RpoE_activity	OK	-	6.1e-16
GCA_000008085-CALJACFG_05760	COG0081	Ribosomal_protein_L1	J	Ribosome_50S_subunit	1.4e-42
GCA_000008085-CALJACFG_05770	COG2004	Ribosomal_protein_S24E	J	Archaeal_ribosomal_proteins	4.5e-23
GCA_000008085-CALJACFG_05780	COG0013	Alanyl-tRNA_synthetase	J	Aminoacyl-tRNA_synthetases	2.2e-58
GCA_000008085-CALJACFG_05790	COG4343	CRISPR/Cas_system-associated_exonuclease_Cas4,_RecB_family	V	CRISPR-Cas_system	1.4e-45
GCA_000008085-CALJACFG_05800	-	-	-	-	-
GCA_000017945-FLGBHGLA_00010	COG0532	Translation_initiation_factor_IF-2,_a_GTPase	J	Translation_factors	1.1e-125
GCA_000017945-FLGBHGLA_00020	COG0277	FAD/FMN-containing_lactate_dehydrogenase/glycolate_oxidase	C	-	1.4e-82
GCA_000017945-FLGBHGLA_00030	-	-	-	-	-
GCA_000017945-FLGBHGLA_00040	COG1676	tRNA_splicing_endonuclease_subunit_SEN34	J	tRNA_modification	8.3e-32
GCA_000017945-FLGBHGLA_00050	COG5014	Uncharacterized_conserved_protein_TM0948,_MoaA-related,_radical_SAM_superfamily	R	-	8.4e-95
GCA_000017945-FLGBHGLA_00060	-	-	-	-	-
GCA_000017945-FLGBHGLA_00070	COG0550	DNA_topoisomerase_IA	L	-	4.3e-148
GCA_000017945-FLGBHGLA_00080	-	-	-	-	-
GCA_000017945-FLGBHGLA_00090	COG1782	Predicted_metal-dependent_RNase,_contains_metallo-beta-lactamase_and_KH_domains	R	-	5.6e-160
GCA_000017945-FLGBHGLA_00100	-	-	-	-	-
GCA_000017945-FLGBHGLA_00110	COG0521	Molybdopterin_biosynthesis_enzyme_MoaB/MogA	H	Molybdopterin_biosynthesis	3.4e-40
GCA_000017945-FLGBHGLA_00120	COG1371	Archease,_activates_RNA_ligation_by_RtcB_(tRNA_splicing)	J	-	3e-45
GCA_000017945-FLGBHGLA_00130	COG0064	Asp-tRNAAsn/Glu-tRNAGln_amidotransferase_B_subunit	J	Aminoacyl-tRNA_synthetases	2.2e-162
GCA_000017945-FLGBHGLA_00140	COG3355	Predicted_transcriptional_regulator	K	-	2.8e-11
GCA_000017945-FLGBHGLA_00150	-	-	-	-	-
GCA_000017945-FLGBHGLA_00160	COG1287	Asparagine_N-glycosylation_enzyme,_membrane_subunit_Stt3	O	-	5.7e-70
GCA_000017945-FLGBHGLA_00170	COG1470	Uncharacterized_membrane_protein	S	-	3.6e-08
GCA_000017945-FLGBHGLA_00180	COG0337	3-dehydroquinate_synthetase	E	Aromatic_amino_acid_biosynthesis	8.6e-98
GCA_000017945-FLGBHGLA_00190	COG4043	ASC-1_homology_(ASCH)_domain,_predicted_RNA-binding_domain	R	-	1.4e-27
GCA_000017945-FLGBHGLA_00200	COG0432	Thiamin_phosphate_synthase_YjbQ,_UPF0047_family	H	-	1e-48
GCA_000017945-FLGBHGLA_00210	COG1488	Nicotinic_acid_phosphoribosyltransferase	H	NAD_biosynthesis	2.6e-86
GCA_000017945-FLGBHGLA_00220	COG2016	Predicted_ribosome-associated_RNA-binding_protein_Tma20,_contains_PUA_domain	J	-	7.9e-46
GCA_000017945-FLGBHGLA_00230	-	-	-	-	-
GCA_000017945-FLGBHGLA_00240	-	-	-	-	-
GCA_000017945-FLGBHGLA_00250	COG2414	Aldehyde:ferredoxin_oxidoreductase	C	-	1.2e-171
GCA_000017945-FLGBHGLA_00260	-	-	-	-	-
GCA_000017945-FLGBHGLA_00270	-	-	-	-	-
GCA_000017945-FLGBHGLA_00280	-	-	-	-	-
GCA_000017945-FLGBHGLA_00290	COG0140	Phosphoribosyl-ATP_pyrophosphohydrolase	E	Histidine_biosynthesis	4e-31
GCA_000017945-FLGBHGLA_00300	COG0118	Imidazoleglycerol_phosphate_synthase_glutamine_amidotransferase_subunit_HisH	E	Histidine_biosynthesis	4.9e-62
GCA_000017945-FLGBHGLA_00310	-	-	-	-	-
GCA_000017945-FLGBHGLA_00320	-	-	-	-	-
GCA_000017945-FLGBHGLA_00330	COG4933	Predicted_transcriptional_regulator,_contains_an_HTH_and_PUA-like_domains	K	-	7.5e-31
GCA_000017945-FLGBHGLA_00340	COG0714	MoxR-like_ATPase	R	Cobalamine/B12_biosynthesis	1.7e-11
GCA_000017945-FLGBHGLA_00350	-	-	-	-	-
GCA_000017945-FLGBHGLA_00360	COG1328	Anaerobic_ribonucleoside-triphosphate_reductase	F	Thymidylate_biosynthesis	4e-108
GCA_000017945-FLGBHGLA_00370	-	-	-	-	-
GCA_000017945-FLGBHGLA_00380	COG1245	Translation_initiation_factor_RLI1,_contains_Fe-S_and_AAA+_ATPase_domains	J	-	4.2e-164
GCA_000017945-FLGBHGLA_00390	-	-	-	-	-
GCA_000017945-FLGBHGLA_00400	COG0499	S-adenosylhomocysteine_hydrolase	H	-	3.8e-180
GCA_000017945-FLGBHGLA_00410	COG0524	Sugar_or_nucleoside_kinase,_ribokinase_family	G	Glycolysis	3.5e-47
GCA_000017945-FLGBHGLA_00420	-	-	-	-	-
GCA_000017945-FLGBHGLA_00430	COG0543	NAD(P)H-flavin_reductase	HC	-	8.3e-42
GCA_000017945-FLGBHGLA_00440	COG1781	Aspartate_carbamoyltransferase,_regulatory_subunit	F	-	6.5e-53
GCA_000017945-FLGBHGLA_00450	COG0540	Aspartate_carbamoyltransferase,_catalytic_subunit	F	Pyrimidine_biosynthesis	1.5e-91
GCA_000017945-FLGBHGLA_00460	COG5650	Uncharacterized_membrane_protein	S	-	5e-18
GCA_000017945-FLGBHGLA_00470	COG1412	rRNA-processing_protein_FCF1	J	-	6.1e-24
GCA_000017945-FLGBHGLA_00480	COG0755	ABC-type_transport_system_involved_in_cytochrome_c_biogenesis,_permease_component	O	-	7.6e-43
GCA_000017945-FLGBHGLA_00490	-	-	-	-	-
GCA_000017945-FLGBHGLA_00500	COG1665	Predicted_nucleotidyltransferase_AF1967	R	-	1.5e-14
GCA_000017945-FLGBHGLA_00510	COG1767	Triphosphoribosyl-dephospho-CoA_synthetase	H	-	7.1e-15
GCA_000017945-FLGBHGLA_00520	COG1092	23S_rRNA_G2069_N7-methylase_RlmK_or_C1962_C5-methylase_RlmI	J	23S_rRNA_modification	3.8e-69
GCA_000017945-FLGBHGLA_00530	COG0558	Phosphatidylglycerophosphate_synthase	I	Phospholipid_biosynthesis	1.5e-17
GCA_000017945-FLGBHGLA_00540	COG1199	Rad3-related_DNA_helicase_DinG	L	-	5.1e-51
GCA_000017945-FLGBHGLA_00550	-	-	-	-	-
GCA_000017945-FLGBHGLA_00560	COG2430	Uncharacterized_conserved_protein,_DUF432_domain	S	-	1.2e-51
GCA_000017945-FLGBHGLA_00570	COG3264	Small-conductance_mechanosensitive_channel_MscK	M	-	1.4e-54
GCA_000017945-FLGBHGLA_00580	COG0189	Glutathione_synthase,_LysX_or_RimK-type_ligase,_ATP-grasp_superfamily	EHJQ	Lysine_biosynthesis	1.8e-49
GCA_000017945-FLGBHGLA_00590	COG1047	Peptidyl-prolyl_cis-trans_isomerase,_FKBP_type	O	-	2.3e-40
GCA_000017945-FLGBHGLA_00600	-	-	-	-	-
GCA_000017945-FLGBHGLA_00610	COG2129	Predicted_phosphoesterase,_related_to_the_Icc_protein	R	-	1.9e-33
GCA_000017945-FLGBHGLA_00620	COG0358	DNA_primase_(bacterial_type)	L	-	4.9e-19
GCA_000017945-FLGBHGLA_00630	COG0417	DNA_polymerase_B_elongation_subunit	L	-	3.5e-211
GCA_000017945-FLGBHGLA_00640	-	-	-	-	-
GCA_000017945-FLGBHGLA_00650	-	-	-	-	-
GCA_000017945-FLGBHGLA_00660	COG0051	Ribosomal_protein_S10	J	Ribosome_30S_subunit	2.3e-32
GCA_000017945-FLGBHGLA_00670	COG1252	NADH_dehydrogenase,_FAD-containing_subunit	C	-	1.1e-53
GCA_000017945-FLGBHGLA_00680	COG0144	16S_rRNA_C967_or_C1407_C5-methylase,_RsmB/RsmF_family	J	16S_rRNA_modification	5.7e-82
GCA_000017945-FLGBHGLA_00690	-	-	-	-	-
GCA_000017945-FLGBHGLA_00700	COG0730	Sulfite_exporter_TauE/SafE/YfcA_and_related_permeases,_UPF0721_family	P	-	9.1e-39
GCA_000017945-FLGBHGLA_00710	COG1498	Box_C/D_ribonucleoprotein_Nop56/Prp31/SIK1_subunit	J	-	3.5e-118
GCA_000017945-FLGBHGLA_00720	-	-	-	-	-
GCA_000017945-FLGBHGLA_00730	COG0639	Diadenosine_tetraphosphatase_ApaH/serine/threonine_protein_phosphatase,_PP2A_family	T	-	5.7e-26
GCA_000017945-FLGBHGLA_00740	-	-	-	-	-
GCA_000017945-FLGBHGLA_00750	COG3463	Uncharacterized_membrane_protein	S	-	1.9e-24
GCA_000017945-FLGBHGLA_00760	COG0864	Metal-responsive_transcriptional_regulator,_contains_CopG/Arc/MetJ_DNA-binding_domain	K	-	3.2e-11
GCA_000017945-FLGBHGLA_00770	-	-	-	-	-
GCA_000017945-FLGBHGLA_00780	COG2511	Archaeal_Glu-tRNAGln_amidotransferase_subunit_E,_contains_GAD_domain	J	-	1.6e-248
GCA_000017945-FLGBHGLA_00790	COG2219	Eukaryotic-type_DNA_primase,_large_subunit	L	-	8.9e-78
GCA_000017945-FLGBHGLA_00800	COG2220	L-ascorbate_lactonase_UlaG,_metallo-beta-lactamase_superfamily	G	-	5.9e-36
GCA_000017945-FLGBHGLA_00810	COG3435	Gentisate_1,2-dioxygenase	Q	-	9.4e-17
GCA_000017945-FLGBHGLA_00820	COG1672	Predicted_ATPase,_archaeal_AAA+_ATPase_superfamily	R	-	1.2e-16
GCA_000017945-FLGBHGLA_00830	COG1909	Archaeal_dephospho-CoA_kinase	H	-	1.8e-43
GCA_000017945-FLGBHGLA_00840	COG2093	RNA_polymerase_subunit_RPABC4/transcription_elongation_factor_Spt4	K	RNA_polymerase	5.5e-12
GCA_000017945-FLGBHGLA_00850	COG1095	DNA-directed_RNA_polymerase,_subunit_E'/Rpb7	K	RNA_polymerase	6e-68
GCA_000017945-FLGBHGLA_00860	COG0074	Succinyl-CoA_synthetase,_alpha_subunit	C	TCA_cycle	2.6e-120
GCA_000017945-FLGBHGLA_00870	COG0045	Succinyl-CoA_synthetase,_beta_subunit	C	TCA_cycle	9.5e-141
GCA_000017945-FLGBHGLA_00880	COG1730	Prefoldin_subunit_5	O	-	8.7e-30
GCA_000017945-FLGBHGLA_00890	-	-	-	-	-
GCA_000017945-FLGBHGLA_00900	COG0007	Uroporphyrinogen-III_methylase_(siroheme_synthase)	H	Cobalamine/B12_biosynthesis	7e-76
GCA_000017945-FLGBHGLA_00910	COG1587	Uroporphyrinogen-III_synthase	H	Heme_biosynthesis	5.2e-33
GCA_000017945-FLGBHGLA_00920	-	-	-	-	-
GCA_000017945-FLGBHGLA_00930	COG1458	Predicted_RNase_MK1237,_contains_PIN_domain,_UPF0278_family	R	-	2.7e-71
GCA_000017945-FLGBHGLA_00940	COG2386	ABC-type_transport_system_involved_in_cytochrome_c_biogenesis,_permease_component	O	-	2.5e-14
GCA_000017945-FLGBHGLA_00950	COG2332	Cytochrome_c_biogenesis_protein_CcmE	CO	-	6e-08
GCA_000017945-FLGBHGLA_00960	COG3461	Uncharacterized_conserved_protein	S	-	5.3e-17
GCA_000017945-FLGBHGLA_00970	COG0459	Chaperonin_GroEL_(HSP60_family)	O	-	4.7e-139
GCA_000017945-FLGBHGLA_00980	COG1578	House-cleaning_carbohydrate_phosphatase,_DUF89_family	V	-	9.5e-29
GCA_000017945-FLGBHGLA_00990	-	-	-	-	-
GCA_000017945-FLGBHGLA_01000	COG1733	DNA-binding_transcriptional_regulator,_HxlR_family	K	-	3.4e-17
GCA_000017945-FLGBHGLA_01010	COG0006	Xaa-Pro_aminopeptidase	E	-	3.1e-76
GCA_000017945-FLGBHGLA_01020	COG5491	Archaeal_cell_division_protein_CdvB,_Snf7/Vps24/ESCRT-III_family	D	-	1.2e-41
GCA_000017945-FLGBHGLA_01030	COG0348	Polyferredoxin_NapH	C	-	4.9e-08
GCA_000017945-FLGBHGLA_01040	COG2051	Ribosomal_protein_S27E	J	Archaeal_ribosomal_proteins	9e-20
GCA_000017945-FLGBHGLA_01050	COG0422	4-amino-2-methyl-5-hydroxymethylpyrimidine_(HMP)_synthase_ThiC	H	Thiamine_biosynthesis	5e-176
GCA_000017945-FLGBHGLA_01060	COG1415	Uncharacterized_conserved_protein,_DUF763_domain	S	-	2.1e-126
GCA_000017945-FLGBHGLA_01070	COG1117	ABC-type_phosphate_transport_system,_ATPase_component	P	-	3e-106
GCA_000017945-FLGBHGLA_01080	COG0581	ABC-type_phosphate_transport_system,_permease_component	P	-	2.4e-54
GCA_000017945-FLGBHGLA_01090	COG0573	ABC-type_phosphate_transport_system,_permease_component	P	-	5.5e-64
GCA_000017945-FLGBHGLA_01100	COG1994	Zn-dependent_protease_(includes_sporulation_protein_SpoIVFB)	O	-	1e-24
GCA_000017945-FLGBHGLA_01110	COG0073	tRNA-binding_EMAP/Myf_domain	J	-	6.9e-17
GCA_000017945-FLGBHGLA_01120	COG0123	Acetoin_utilization_deacetylase_AcuC_or_a_related_deacetylase	Q	-	8.5e-76
GCA_000017945-FLGBHGLA_01130	COG0648	Endonuclease_IV	L	-	2.4e-21
GCA_000017945-FLGBHGLA_01140	-	-	-	-	-
GCA_000017945-FLGBHGLA_01150	-	-	-	-	-
GCA_000017945-FLGBHGLA_01160	COG0476	Molybdopterin_or_thiamine_biosynthesis_adenylyltransferase	H	Molybdopterin_biosynthesis	6.5e-23
GCA_000017945-FLGBHGLA_01170	-	-	-	-	-
GCA_000017945-FLGBHGLA_01180	COG1121	ABC-type_Mn2+/Zn2+_transport_system,_ATPase_component	P	-	2.9e-76
GCA_000017945-FLGBHGLA_01190	-	-	-	-	-
GCA_000017945-FLGBHGLA_01200	COG1676	tRNA_splicing_endonuclease_subunit_SEN34	J	tRNA_modification	9.5e-51
GCA_000017945-FLGBHGLA_01210	COG1392	Phosphate_transport_regulator_YkaA,_distantly_related_to_PhoU,_UPF0111/DUF47_family	P	-	7.8e-12
GCA_000017945-FLGBHGLA_01220	COG1522	DNA-binding_transcriptional_regulator,_Lrp_family	K	-	2.2e-27
GCA_000017945-FLGBHGLA_01230	COG0121	Predicted_glutamine_amidotransferase_YafJ	R	-	7.5e-30
GCA_000017945-FLGBHGLA_01240	-	-	-	-	-
GCA_000017945-FLGBHGLA_01250	COG0705	Membrane-associated_serine_protease,_rhomboid_family	O	-	3.4e-42
GCA_000017945-FLGBHGLA_01260	COG1542	Uncharacterized_conserved_protein,_DUF505_domain	S	-	5.6e-178
GCA_000017945-FLGBHGLA_01270	COG0565	tRNA_C32,U32_(ribose-2'-O)-methylase_TrmJ_or_a_related_methyltransferase	J	tRNA_modification	2.5e-43
GCA_000017945-FLGBHGLA_01280	COG2095	Small_neutral_amino_acid_transporter_SnatA,_MarC_family	E	-	1.7e-46
GCA_000017945-FLGBHGLA_01290	COG1444	tRNA(Met)_C34_N-acetyltransferase_TmcA	J	tRNA_modification	9.9e-214
GCA_000017945-FLGBHGLA_01300	COG0084	3'->5'_ssDNA/RNA_exonuclease_TatD	N	-	5.3e-45
GCA_000017945-FLGBHGLA_01310	COG1896	5'-deoxynucleotidase_YfbR_and_related_HD_superfamily_hydrolases	FR	-	4.1e-21
GCA_000017945-FLGBHGLA_01320	COG1454	Alcohol_dehydrogenase,_class_IV	C	-	2.6e-123
GCA_000017945-FLGBHGLA_01330	COG4027	3'-phosphoadenosine_5'-phosphosulfate_sulfotransferase	F	-	1.4e-158
GCA_000017945-FLGBHGLA_01340	-	-	-	-	-
GCA_000017945-FLGBHGLA_01350	-	-	-	-	-
GCA_000017945-FLGBHGLA_01360	-	-	-	-	-
GCA_000017945-FLGBHGLA_01370	-	-	-	-	-
GCA_000017945-FLGBHGLA_01380	COG0476	Molybdopterin_or_thiamine_biosynthesis_adenylyltransferase	H	Molybdopterin_biosynthesis	4.2e-25
GCA_000017945-FLGBHGLA_01390	COG0683	ABC-type_branched-chain_amino_acid_transport_system,_periplasmic_component	E	-	1.3e-46
GCA_000017945-FLGBHGLA_01400	COG0683	ABC-type_branched-chain_amino_acid_transport_system,_periplasmic_component	E	-	6.5e-48
GCA_000017945-FLGBHGLA_01410	-	-	-	-	-
GCA_000017945-FLGBHGLA_01420	COG1848	VapC_family_ribonuclease,_toxin_component_of_the_VapBC_toxin-antitoxin_module,_contains_PIN_domain	V	-	6.6e-13
GCA_000017945-FLGBHGLA_01430	-	-	-	-	-
GCA_000017945-FLGBHGLA_01440	COG0589	Nucleotide-binding_universal_stress_protein,__UspA_family	T	-	5.7e-27
GCA_000017945-FLGBHGLA_01450	COG1061	Superfamily_II_DNA_or_RNA_helicase	KL	-	3.2e-47
GCA_000017945-FLGBHGLA_01460	COG4586	ABC-type_uncharacterized_transport_system,_ATPase_component	R	-	3.5e-79
GCA_000017945-FLGBHGLA_01470	COG0842	ABC-type_multidrug_transport_system,_permease_component	V	-	3.4e-38
GCA_000017945-FLGBHGLA_01480	-	-	-	-	-
GCA_000017945-FLGBHGLA_01490	COG1378	Sugar-specific_transcriptional_regulator_TrmB	K	-	4.4e-06
GCA_000017945-FLGBHGLA_01500	-	-	-	-	-
GCA_000017945-FLGBHGLA_01510	COG0495	Leucyl-tRNA_synthetase	J	Aminoacyl-tRNA_synthetases	3.3e-131
GCA_000017945-FLGBHGLA_01520	COG1758	DNA-directed_RNA_polymerase,_subunit_K/omega	K	RNA_polymerase	2.7e-10
GCA_000017945-FLGBHGLA_01530	-	-	-	-	-
GCA_000017945-FLGBHGLA_01540	COG0681	Signal_peptidase_I	U	-	7.4e-16
GCA_000017945-FLGBHGLA_01550	-	-	-	-	-
GCA_000017945-FLGBHGLA_01560	COG0311	Pyridoxal_5'-phosphate_synthase_subunit_PdxT_(glutamine_amidotransferase)	H	Pyridoxal_phosphate_biosynthesis	3.3e-67
GCA_000017945-FLGBHGLA_01570	COG0214	Pyridoxal_5'-phosphate_synthase_subunit_PdxS	H	Pyridoxal_phosphate_biosynthesis	5.2e-146
GCA_000017945-FLGBHGLA_01580	COG1958	Small_nuclear_ribonucleoprotein_(snRNP)_homolog	K	-	2.1e-17
GCA_000017945-FLGBHGLA_01590	COG1812	Archaeal_S-adenosylmethionine_synthetase	H	Methionine_biosynthesis	4.2e-169
GCA_000017945-FLGBHGLA_01600	COG2034	Uncharacterized_membrane_protein,_DUF131_family	S	-	1.4e-09
GCA_000017945-FLGBHGLA_01610	COG2813	16S_rRNA_G1207_methylase_RsmC	J	16S_rRNA_modification	4.3e-44
GCA_000017945-FLGBHGLA_01620	-	-	-	-	-
GCA_000017945-FLGBHGLA_01630	COG4525	ABC-type_taurine_transport_system,_ATPase_component	P	-	5.6e-60
GCA_000017945-FLGBHGLA_01640	COG0303	Molybdopterin_Mo-transferase_(molybdopterin_biosynthesis)	H	Molybdopterin_biosynthesis	1.8e-115
GCA_000017945-FLGBHGLA_01650	COG1136	ABC-type_lipoprotein_export_system,_ATPase_component	M	-	3.7e-87
GCA_000017945-FLGBHGLA_01660	-	-	-	-	-
GCA_000017945-FLGBHGLA_01670	COG0151	Phosphoribosylamine-glycine_ligase	F	Purine_biosynthesis	1.4e-102
GCA_000017945-FLGBHGLA_01680	-	-	-	-	-
GCA_000017945-FLGBHGLA_01690	COG1161	Ribosome_biogenesis_GTPase_RbgA	J	-	3.3e-57
GCA_000017945-FLGBHGLA_01700	COG0189	Glutathione_synthase,_LysX_or_RimK-type_ligase,_ATP-grasp_superfamily	EHJQ	Lysine_biosynthesis	1.5e-38
GCA_000017945-FLGBHGLA_01710	COG1433	Predicted_Fe-Mo_cluster-binding_protein,_NifX_family	O	-	4.7e-16
GCA_000017945-FLGBHGLA_01720	-	-	-	-	-
GCA_000017945-FLGBHGLA_01730	COG0449	Glucosamine_6-phosphate_synthetase,_contains_amidotransferase_and_phosphosugar_isomerase_domains	M	-	8.3e-191
GCA_000017945-FLGBHGLA_01740	COG1149	MinD_superfamily_P-loop_ATPase,_contains_an_inserted_ferredoxin_domain	R	-	6.2e-18
GCA_000017945-FLGBHGLA_01750	COG1149	MinD_superfamily_P-loop_ATPase,_contains_an_inserted_ferredoxin_domain	R	-	4.4e-16
GCA_000017945-FLGBHGLA_01760	COG1581	DNA/RNA-binding_protein_AlbA/Ssh10b	K	-	3.2e-34
GCA_000017945-FLGBHGLA_01770	-	-	-	-	-
GCA_000017945-FLGBHGLA_01780	-	-	-	-	-
GCA_000017945-FLGBHGLA_01790	COG0106	Phosphoribosylformimino-5-aminoimidazole_carboxamide_ribonucleotide_(ProFAR)_isomerase	E	Histidine_biosynthesis	1e-54
GCA_000017945-FLGBHGLA_01800	COG3642	tRNA_A-37_threonylcarbamoyl_transferase_component_Bud32	J	tRNA_modification	9.6e-43
GCA_000017945-FLGBHGLA_01810	COG0127	Inosine/xanthosine_triphosphate_pyrophosphatase,_all-alpha_NTP-PPase_family	F	-	9.6e-53
GCA_000017945-FLGBHGLA_01820	COG0099	Ribosomal_protein_S13	J	Ribosome_30S_subunit	5e-54
GCA_000017945-FLGBHGLA_01830	COG0522	Ribosomal_protein_S4_or_related_protein	J	Ribosome_30S_subunit	8.4e-36
GCA_000017945-FLGBHGLA_01840	COG0100	Ribosomal_protein_S11	J	Ribosome_30S_subunit	1.5e-37
GCA_000017945-FLGBHGLA_01850	COG0202	DNA-directed_RNA_polymerase,_alpha_subunit/40_kD_subunit	K	RNA_polymerase	5.5e-14
GCA_000017945-FLGBHGLA_01860	COG1727	Ribosomal_protein_L18E	J	Archaeal_ribosomal_proteins	2.5e-44
GCA_000017945-FLGBHGLA_01870	COG0102	Ribosomal_protein_L13	J	Ribosome_50S_subunit	1.1e-26
GCA_000017945-FLGBHGLA_01880	COG0103	Ribosomal_protein_S9	J	Ribosome_30S_subunit	4.7e-32
GCA_000017945-FLGBHGLA_01890	COG1644	DNA-directed_RNA_polymerase,_subunit_N_(RpoN/RPB10)	K	-	6.9e-21
GCA_000017945-FLGBHGLA_01900	COG0052	Ribosomal_protein_S2	J	Ribosome_30S_subunit	1.3e-49
GCA_000017945-FLGBHGLA_01910	COG1141	Ferredoxin	C	-	3.2e-18
GCA_000017945-FLGBHGLA_01920	-	-	-	-	-
GCA_000017945-FLGBHGLA_01930	COG1201	Lhr-like_helicase	L	-	7.3e-190
GCA_000017945-FLGBHGLA_01940	COG0168	Trk-type_K+_transport_system,_membrane_component	P	-	1.3e-79
GCA_000017945-FLGBHGLA_01950	COG4901	Ribosomal_protein_S25e	J	Archaeal_ribosomal_proteins	1.8e-35
GCA_000017945-FLGBHGLA_01960	COG1938	Predicted_ATP-dependent_carboligase,_ATP-grasp_superfamily	R	-	3e-55
GCA_000017945-FLGBHGLA_01970	-	-	-	-	-
GCA_000017945-FLGBHGLA_01980	COG0013	Alanyl-tRNA_synthetase	J	Aminoacyl-tRNA_synthetases	8.3e-205
GCA_000017945-FLGBHGLA_01990	-	-	-	-	-
GCA_000017945-FLGBHGLA_02000	COG2100	Uncharacterized_Fe-S_cluster-containing_enzyme,_radical_SAM_superfamily	R	-	5.2e-124
GCA_000017945-FLGBHGLA_02010	COG0527	Aspartate_kinase	E	Lysine_biosynthesis	1.2e-103
GCA_000017945-FLGBHGLA_02020	-	-	-	-	-
GCA_000017945-FLGBHGLA_02030	COG0252	L-asparaginase/archaeal_Glu-tRNAGln_amidotransferase_subunit_D	JE	-	1e-102
GCA_000017945-FLGBHGLA_02040	-	-	-	-	-
GCA_000017945-FLGBHGLA_02050	-	-	-	-	-
GCA_000017945-FLGBHGLA_02060	COG3695	Alkylated_DNA_nucleotide_flippase_Atl1,_participates_in_nucleotide_excision_repair,_Ada-like_DNA-binding_domain	K	-	3.9e-20
GCA_000017945-FLGBHGLA_02070	-	-	-	-	-
GCA_000017945-FLGBHGLA_02080	COG0714	MoxR-like_ATPase	R	Cobalamine/B12_biosynthesis	1.8e-70
GCA_000017945-FLGBHGLA_02090	COG1305	Transglutaminase-like_enzyme,_putative_cysteine_protease	O	-	4.3e-27
GCA_000017945-FLGBHGLA_02100	-	-	-	-	-
GCA_000017945-FLGBHGLA_02110	COG2014	Uncharacterized_conserved_protein,_contains_DUF4213_and_DUF364_domains	S	-	5e-32
GCA_000017945-FLGBHGLA_02120	-	-	-	-	-
GCA_000017945-FLGBHGLA_02130	COG2123	Exosome_complex_RNA-binding_protein_Rrp42,_RNase_PH_superfamily	U	-	5.4e-111
GCA_000017945-FLGBHGLA_02140	COG0689	Ribonuclease_PH	J	-	2e-69
