accession	KO_hmm	e_value	bit_score	bit_score_cutoff	Definition	confidence
GCA_000008085-CALJACFG_02640	-	-	-	-	-	-
GCA_000008085-CALJACFG_02650	K02898	5.7e-23	78.6	146.13	large_subunit_ribosomal_protein_L26e	-
GCA_000008085-CALJACFG_02660	-	-	-	-	-	-
GCA_000008085-CALJACFG_02670	-	-	-	-	-	-
GCA_000008085-CALJACFG_02680	K20276	3.3e-06	22.6	91.33	large_repetitive_protein	-
GCA_000008085-CALJACFG_02690	K01170	1.5e-17	60.8	80.47	tRNA-intron_endonuclease,_archaea_type_[EC:4.6.1.16]	-
GCA_000008085-CALJACFG_02700	-	-	-	-	-	-
GCA_000008085-CALJACFG_02710	K02904	9.9e-15	51.3	52.07	large_subunit_ribosomal_protein_L29	-
GCA_000008085-CALJACFG_02720	K03113	5.4e-12	43.4	33.13	translation_initiation_factor_1	high_score
GCA_000008085-CALJACFG_02730	K02118	2.1e-147	488.4	709.23	V/A-type_H+/Na+-transporting_ATPase_subunit_B	-
GCA_000008085-CALJACFG_02740	-	-	-	-	-	-
GCA_000008085-CALJACFG_02750	-	-	-	-	-	-
GCA_000008085-CALJACFG_02760	K07333	1.7e-54	182.2	101.07	archaeal_flagellar_protein_FlaJ	high_score
GCA_000008085-CALJACFG_02770	K07333	6.1e-49	163.9	101.07	archaeal_flagellar_protein_FlaJ	high_score
GCA_000008085-CALJACFG_02780	K03242	8.2e-125	414.1	144.90	translation_initiation_factor_2_subunit_3	high_score
GCA_000008085-CALJACFG_02790	-	-	-	-	-	-
GCA_000008085-CALJACFG_02800	-	-	-	-	-	-
GCA_000008085-CALJACFG_02810	-	-	-	-	-	-
GCA_000008085-CALJACFG_02820	K02957	9.7e-29	96.8	153.10	small_subunit_ribosomal_protein_S15Ae	-
GCA_000008085-CALJACFG_02830	K03124	1.1e-82	275.0	149.93	transcription_initiation_factor_TFIIB	high_score
GCA_000008085-CALJACFG_02840	K09741	2.5e-08	31.1	46.23	KEOPS_complex_subunit_Pcc1	-
GCA_000008085-CALJACFG_02850	K09152	1.8e-25	86.5	62.33	uncharacterized_protein	high_score
GCA_000008085-CALJACFG_02860	-	-	-	-	-	-
GCA_000008085-CALJACFG_02870	-	-	-	-	-	-
GCA_000008085-CALJACFG_02880	K06870	1.2e-31	107.3	142.23	uncharacterized_protein	-
GCA_000008085-CALJACFG_02890	-	-	-	-	-	-
GCA_000008085-CALJACFG_02900	K10726	1.1e-203	675.2	631.43	replicative_DNA_helicase_Mcm_[EC:3.6.4.-]	high_score
GCA_000008085-CALJACFG_02910	K21947	3e-86	286.1	280.03	tRNA-5-methyluridine54_2-sulfurtransferase_[EC:2.8.1.15]	high_score
GCA_000008085-CALJACFG_02920	-	-	-	-	-	-
GCA_000008085-CALJACFG_02930	K11130	1.2e-14	51.3	26.50	H/ACA_ribonucleoprotein_complex_subunit_3	high_score
GCA_000008085-CALJACFG_02940	K07333	8.8e-17	57.8	101.07	archaeal_flagellar_protein_FlaJ	-
GCA_000008085-CALJACFG_02950	-	-	-	-	-	-
GCA_000008085-CALJACFG_02960	-	-	-	-	-	-
GCA_000008085-CALJACFG_02970	-	-	-	-	-	-
GCA_000008085-CALJACFG_02980	K03131	3e-09	33.2	59.40	transcription_initiation_factor_TFIID_subunit_6	-
GCA_000008085-CALJACFG_02990	K09131	2e-13	47.3	30.67	uncharacterized_protein	high_score
GCA_000008085-CALJACFG_03000	-	-	-	-	-	-
GCA_000008085-CALJACFG_03010	-	-	-	-	-	-
GCA_000008085-CALJACFG_03020	-	-	-	-	-	-
GCA_000008085-CALJACFG_03030	-	-	-	-	-	-
GCA_000008085-CALJACFG_03040	K06176	2.6e-61	204.7	35.57	tRNA_pseudouridine13_synthase_[EC:5.4.99.27]	high_score
GCA_000008085-CALJACFG_03050	-	-	-	-	-	-
GCA_000008085-CALJACFG_03060	K06927	4.4e-45	151.3	94.73	diphthine-ammonia_ligase_[EC:6.3.1.14]	high_score
GCA_000008085-CALJACFG_03070	K22901	4.7e-93	308.5	367.87	tRNA_(cytosine40_48-C5)-methyltransferase_[EC:2.1.1.-]	-
GCA_000008085-CALJACFG_03080	K02915	1.8e-17	60.8	27.13	large_subunit_ribosomal_protein_L34e	high_score
GCA_000008085-CALJACFG_03090	-	-	-	-	-	-
GCA_000008085-CALJACFG_03100	-	-	-	-	-	-
GCA_000008085-CALJACFG_03110	K06174	6.2e-200	662.8	158.93	ATP-binding_cassette,_sub-family_E,_member_1	high_score
GCA_000008085-CALJACFG_03120	-	-	-	-	-	-
GCA_000008085-CALJACFG_03130	-	-	-	-	-	-
GCA_000008085-CALJACFG_03140	K01886	2.3e-91	303.9	508.40	glutaminyl-tRNA_synthetase_[EC:6.1.1.18]	-
GCA_000008085-CALJACFG_03150	K02917	3.5e-17	59.3	36.43	large_subunit_ribosomal_protein_L35Ae	high_score
GCA_000008085-CALJACFG_03160	-	-	-	-	-	-
GCA_000008085-CALJACFG_03170	-	-	-	-	-	-
GCA_000008085-CALJACFG_03180	K07398	9.8e-25	84.2	159.77	conserved_protein_with_predicted_RNA_binding_PUA_domain	-
GCA_000008085-CALJACFG_03190	K00059	1.3e-53	179.1	238.90	3-oxoacyl-[acyl-carrier_protein]_reductase_[EC:1.1.1.100]	-
GCA_000008085-CALJACFG_03200	K00940	2.7e-39	132.0	139.73	nucleoside-diphosphate_kinase_[EC:2.7.4.6]	-
GCA_000008085-CALJACFG_03210	-	-	-	-	-	-
GCA_000008085-CALJACFG_03220	K01875	1.9e-107	356.7	84.10	seryl-tRNA_synthetase_[EC:6.1.1.11]	high_score
GCA_000008085-CALJACFG_03230	K11392	4.6e-10	35.5	338.47	16S_rRNA_(cytosine1407-C5)-methyltransferase_[EC:2.1.1.178]	-
GCA_000008085-CALJACFG_03240	-	-	-	-	-	-
GCA_000008085-CALJACFG_03250	K02937	1e-13	48.5	94.77	large_subunit_ribosomal_protein_L7e	-
GCA_000008085-CALJACFG_03260	-	-	-	-	-	-
GCA_000008085-CALJACFG_03270	K07158	1.9e-17	60.7	59.77	uncharacterized_protein	high_score
GCA_000008085-CALJACFG_03280	K01494	2.6e-60	200.4	78.40	dCTP_deaminase_[EC:3.5.4.13]	high_score
GCA_000008085-CALJACFG_03290	K04773	4.6e-53	177.9	189.47	protease_IV_[EC:3.4.21.-]	-
GCA_000008085-CALJACFG_03300	-	-	-	-	-	-
GCA_000008085-CALJACFG_03310	K03170	2.1e-265	880.4	527.97	reverse_gyrase_[EC:5.6.2.2_3.6.4.12]	high_score
GCA_000008085-CALJACFG_03320	K12845	6.8e-30	100.5	108.27	U4/U6_small_nuclear_ribonucleoprotein_SNU13	-
GCA_000008085-CALJACFG_03330	K06874	7.9e-23	77.6	59.40	zinc_finger_protein	high_score
GCA_000008085-CALJACFG_03340	K02962	3.6e-17	59.4	30.17	small_subunit_ribosomal_protein_S17e	high_score
GCA_000008085-CALJACFG_03350	-	-	-	-	-	-
GCA_000008085-CALJACFG_03360	K03168	1e-33	114.0	431.17	DNA_topoisomerase_I_[EC:5.6.2.1]	-
GCA_000008085-CALJACFG_03370	K03238	5.4e-31	105.1	93.93	translation_initiation_factor_2_subunit_2	high_score
GCA_000008085-CALJACFG_03380	K15450	1e-50	169.1	88.83	tRNA_wybutosine-synthesizing_protein_3_[EC:2.1.1.282]	high_score
GCA_000008085-CALJACFG_03390	K02949	9.2e-23	77.5	141.07	small_subunit_ribosomal_protein_S11e	-
GCA_000008085-CALJACFG_03400	K03718	3.9e-17	59.1	137.20	Lrp/AsnC_family_transcriptional_regulator,_regulator_for_asnA,_asnC_and_gidA	-
GCA_000008085-CALJACFG_03410	-	-	-	-	-	-
GCA_000008085-CALJACFG_03420	K01494	2.3e-16	57.2	78.40	dCTP_deaminase_[EC:3.5.4.13]	-
GCA_000008085-CALJACFG_03430	K08059	1.2e-13	47.8	63.50	interferon,_gamma-inducible_protein_30	-
GCA_000008085-CALJACFG_03440	-	-	-	-	-	-
GCA_000008085-CALJACFG_03450	-	-	-	-	-	-
GCA_000008085-CALJACFG_03460	-	-	-	-	-	-
GCA_000008085-CALJACFG_03470	K07572	1.3e-63	211.2	152.27	putative_nucleotide_binding_protein	high_score
GCA_000008085-CALJACFG_03480	K06173	5.5e-29	98.6	191.33	tRNA_pseudouridine38-40_synthase_[EC:5.4.99.12]	-
GCA_000008085-CALJACFG_03490	-	-	-	-	-	-
GCA_000008085-CALJACFG_03500	-	-	-	-	-	-
GCA_000008085-CALJACFG_03510	K03058	6e-32	106.5	100.27	DNA-directed_RNA_polymerase_subunit_N_[EC:2.7.7.6]	high_score
GCA_000008085-CALJACFG_03520	K07442	4.1e-21	72.1	71.90	tRNA_(adenine57-N1/adenine58-N1)-methyltransferase_catalytic_subunit_[EC:2.1.1.219_2.1.1.220]	high_score
GCA_000008085-CALJACFG_03530	K02896	2.3e-12	44.4	29.57	large_subunit_ribosomal_protein_L24e	high_score
GCA_000008085-CALJACFG_03540	K01091	8.6e-20	69.0	110.87	phosphoglycolate_phosphatase_[EC:3.1.3.18]	-
GCA_000008085-CALJACFG_03550	-	-	-	-	-	-
GCA_000008085-CALJACFG_03560	K02316	7.5e-19	65.2	55.30	DNA_primase_[EC:2.7.7.101]	high_score
GCA_000008085-CALJACFG_03570	K14564	2.7e-78	261.1	491.73	nucleolar_protein_56	-
GCA_000008085-CALJACFG_03580	K13993	6.3e-23	78.0	65.17	HSP20_family_protein	high_score
GCA_000008085-CALJACFG_03590	K05520	3.5e-17	59.8	149.20	protease_I_[EC:3.5.1.124]	-
GCA_000008085-CALJACFG_03600	K21636	8e-170	563.4	123.87	ribonucleoside-triphosphate_reductase_(formate)_[EC:1.1.98.6]	high_score
GCA_000008085-CALJACFG_03610	K05982	2.1e-43	145.3	207.33	deoxyribonuclease_V_[EC:3.1.21.7]	-
GCA_000008085-CALJACFG_03620	K02944	3.2e-23	78.4	57.00	large_subunit_ribosomal_protein_LX	high_score
GCA_000008085-CALJACFG_03630	K06990	6.2e-56	186.7	47.00	MEMO1_family_protein	high_score
GCA_000008085-CALJACFG_03640	K08065	3.6e-09	33.6	98.57	nuclear_transcription_Y_subunit_beta	-
GCA_000008085-CALJACFG_03650	K04076	4e-230	762.6	416.07	ATP-dependent_Lon_protease_[EC:3.4.21.53]	high_score
GCA_000008085-CALJACFG_03660	K02612	1.6e-12	44.5	134.33	ring-1,2-phenylacetyl-CoA_epoxidase_subunit_PaaD	-
GCA_000008085-CALJACFG_03670	K07108	2.6e-24	82.5	72.37	uncharacterized_protein	high_score
GCA_000008085-CALJACFG_03680	-	-	-	-	-	-
GCA_000008085-CALJACFG_03690	K07111	2.8e-12	43.6	176.80	uncharacterized_protein	-
GCA_000008085-CALJACFG_03700	-	-	-	-	-	-
GCA_000008085-CALJACFG_03710	-	-	-	-	-	-
GCA_000008085-CALJACFG_03720	K07743	8.6e-19	64.6	58.53	transcriptional_regulator	high_score
GCA_000008085-CALJACFG_03730	K06953	3.7e-48	160.9	89.00	uncharacterized_protein	high_score
GCA_000008085-CALJACFG_03740	-	-	-	-	-	-
GCA_000008085-CALJACFG_03750	K02979	2e-26	88.6	47.47	small_subunit_ribosomal_protein_S28e	high_score
GCA_000008085-CALJACFG_03760	K02938	3.6e-53	177.4	315.57	large_subunit_ribosomal_protein_L8e	-
GCA_000008085-CALJACFG_03770	K02433	2.3e-103	343.9	391.37	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln)_amidotransferase_subunit_A_[EC:6.3.5.6_6.3.5.7]	-
GCA_000008085-CALJACFG_03780	K07076	3.1e-10	37.5	50.97	uncharacterized_protein	-
GCA_000008085-CALJACFG_03790	K03622	2.2e-35	117.6	60.43	archaea-specific_DNA-binding_protein	high_score
GCA_000008085-CALJACFG_03800	K02910	7.3e-18	61.7	34.33	large_subunit_ribosomal_protein_L31e	high_score
GCA_000008085-CALJACFG_03810	-	-	-	-	-	-
GCA_000008085-CALJACFG_03820	K14540	9.8e-34	113.8	263.43	ribosome_biogenesis_GTPase_A	-
GCA_000008085-CALJACFG_03830	K00952	2.1e-31	106.1	105.63	nicotinamide-nucleotide_adenylyltransferase_[EC:2.7.7.1]	high_score
GCA_000008085-CALJACFG_03840	K01151	3e-09	33.5	104.47	deoxyribonuclease_IV_[EC:3.1.21.2]	-
GCA_000008085-CALJACFG_03850	K10896	1.2e-35	119.9	445.53	fanconi_anemia_group_M_protein	-
GCA_000008085-CALJACFG_03860	K03049	2.6e-63	209.9	177.87	DNA-directed_RNA_polymerase_subunit_E'_[EC:2.7.7.6]	high_score
GCA_000008085-CALJACFG_03870	K21929	2e-60	201.1	43.00	uracil-DNA_glycosylase_[EC:3.2.2.27]	high_score
GCA_000008085-CALJACFG_03880	K03529	2.7e-09	32.4	581.40	chromosome_segregation_protein	-
GCA_000008085-CALJACFG_03890	K05337	4.7e-15	52.9	40.90	ferredoxin	high_score
GCA_000008085-CALJACFG_03900	K02984	7.8e-27	91.5	52.10	small_subunit_ribosomal_protein_S3Ae	high_score
GCA_000008085-CALJACFG_03910	-	-	-	-	-	-
GCA_000008085-CALJACFG_03920	-	-	-	-	-	-
GCA_000008085-CALJACFG_03930	K03057	1.1e-27	93.9	85.20	transcription_factor_S	high_score
GCA_000008085-CALJACFG_03940	-	-	-	-	-	-
GCA_000008085-CALJACFG_03950	K03476	2.4e-20	69.8	152.83	L-ascorbate_6-phosphate_lactonase_[EC:3.1.1.-]	-
GCA_000008085-CALJACFG_03960	K02885	5.8e-45	150.3	62.27	large_subunit_ribosomal_protein_L19e	high_score
GCA_000008085-CALJACFG_03970	-	-	-	-	-	-
GCA_000008085-CALJACFG_03980	K04069	4.3e-25	85.6	102.70	pyruvate_formate_lyase_activating_enzyme_[EC:1.97.1.4]	-
GCA_000008085-CALJACFG_03990	K03547	6.3e-36	121.9	78.53	DNA_repair_protein_SbcD/Mre11	high_score
GCA_000008085-CALJACFG_04000	K15449	2.5e-95	317.3	127.37	tRNA_wybutosine-synthesizing_protein_1_[EC:4.1.3.44]	high_score
GCA_000008085-CALJACFG_04010	K02533	1.8e-37	126.3	102.27	tRNA/rRNA_methyltransferase_[EC:2.1.1.-]	high_score
GCA_000008085-CALJACFG_04020	-	-	-	-	-	-
GCA_000008085-CALJACFG_04030	K04797	3.2e-13	46.9	59.13	prefoldin_alpha_subunit	-
GCA_000008085-CALJACFG_04040	K10896	2.1e-130	433.6	445.53	fanconi_anemia_group_M_protein	-
GCA_000008085-CALJACFG_04050	K02981	4.3e-55	183.7	245.47	small_subunit_ribosomal_protein_S2e	-
GCA_000008085-CALJACFG_04060	K01866	5.2e-56	187.7	98.93	tyrosyl-tRNA_synthetase_[EC:6.1.1.1]	high_score
GCA_000008085-CALJACFG_04070	-	-	-	-	-	-
GCA_000008085-CALJACFG_04080	-	-	-	-	-	-
GCA_000008085-CALJACFG_04090	K03263	8.7e-18	61.6	46.40	translation_initiation_factor_5A	high_score
GCA_000008085-CALJACFG_04100	K03330	6.7e-84	279.3	299.60	glutamyl-tRNA(Gln)_amidotransferase_subunit_E_[EC:6.3.5.7]	-
GCA_000008085-CALJACFG_04110	K18882	2.1e-23	80.2	96.00	DNA_primase_large_subunit	-
GCA_000008085-CALJACFG_04120	K02889	1.1e-28	96.9	44.87	large_subunit_ribosomal_protein_L21e	high_score
GCA_000008085-CALJACFG_04130	K10773	3.4e-59	197.0	125.43	endonuclease_III_[EC:4.2.99.18]	high_score
GCA_000008085-CALJACFG_04140	K01265	1.2e-36	123.9	130.63	methionyl_aminopeptidase_[EC:3.4.11.18]	-
GCA_000008085-CALJACFG_04150	K03059	9.2e-14	47.6	46.87	DNA-directed_RNA_polymerase_subunit_P_[EC:2.7.7.6]	high_score
GCA_000008085-CALJACFG_04160	K03924	2.1e-54	181.7	105.43	MoxR-like_ATPase_[EC:3.6.3.-]	high_score
GCA_000008085-CALJACFG_04170	K07114	1.2e-14	51.8	82.77	Ca-activated_chloride_channel_homolog	-
GCA_000008085-CALJACFG_04180	K00809	1.6e-85	284.4	66.33	deoxyhypusine_synthase_[EC:2.5.1.46]	high_score
GCA_000008085-CALJACFG_04190	-	-	-	-	-	-
GCA_000008085-CALJACFG_04200	K03237	5.5e-43	144.2	88.47	translation_initiation_factor_2_subunit_1	high_score
GCA_000008085-CALJACFG_04210	K22579	1.1e-22	77.4	514.43	rifampicin_phosphotransferase_[EC:2.7.9.6]	-
GCA_000008085-CALJACFG_04220	-	-	-	-	-	-
GCA_000008085-CALJACFG_04230	K20341	2.9e-06	24.3	52.23	immunity_protein	-
GCA_000008085-CALJACFG_04240	K03724	2.4e-50	168.5	268.03	ATP-dependent_helicase_Lhr_and_Lhr-like_helicase_[EC:3.6.4.-]	-
GCA_000008085-CALJACFG_04250	K02123	5.1e-82	273.5	300.70	V/A-type_H+/Na+-transporting_ATPase_subunit_I	-
GCA_000008085-CALJACFG_04260	-	-	-	-	-	-
GCA_000008085-CALJACFG_04270	-	-	-	-	-	-
GCA_000008085-CALJACFG_04280	K03051	3.8e-20	69.2	57.93	DNA-directed_RNA_polymerase_subunit_F_[EC:2.7.7.6]	high_score
GCA_000008085-CALJACFG_04290	K01255	1.9e-127	423.4	386.00	leucyl_aminopeptidase_[EC:3.4.11.1]	high_score
GCA_000008085-CALJACFG_04300	-	-	-	-	-	-
GCA_000008085-CALJACFG_04310	-	-	-	-	-	-
GCA_000008085-CALJACFG_04320	K06870	1.4e-56	189.6	142.23	uncharacterized_protein	high_score
GCA_000008085-CALJACFG_04330	-	-	-	-	-	-
GCA_000008085-CALJACFG_04340	K01880	6.8e-159	527.2	97.23	glycyl-tRNA_synthetase_[EC:6.1.1.14]	high_score
GCA_000008085-CALJACFG_04350	-	-	-	-	-	-
GCA_000008085-CALJACFG_04360	K02322	0	1390.6	1246.20	DNA_polymerase_II_large_subunit_[EC:2.7.7.7]	high_score
GCA_000008085-CALJACFG_04370	K09723	2.9e-24	82.9	32.07	DNA_replication_factor_GINS	high_score
GCA_000008085-CALJACFG_04380	-	-	-	-	-	-
GCA_000008085-CALJACFG_04390	K05685	1.6e-87	291.3	458.33	macrolide_transport_system_ATP-binding/permease_protein_[EC:3.6.3.-]	-
GCA_000008085-CALJACFG_04400	K20215	3.3e-50	167.9	295.90	diphthine_synthase_[EC:2.1.1.98]	-
GCA_000008085-CALJACFG_04410	K03552	1.8e-27	92.9	38.00	holliday_junction_resolvase_Hjr_[EC:3.1.22.4]	high_score
GCA_000008085-CALJACFG_04420	K03151	3.4e-97	323.0	113.87	tRNA_uracil_4-sulfurtransferase_[EC:2.8.1.4]	high_score
GCA_000008085-CALJACFG_04430	K07332	7.2e-78	259.5	360.80	archaeal_flagellar_protein_FlaI	-
GCA_000008085-CALJACFG_04440	K04483	2.7e-144	477.0	422.43	DNA_repair_protein_RadA	high_score
GCA_000008085-CALJACFG_04450	K03042	4.2e-128	424.4	457.53	DNA-directed_RNA_polymerase_subunit_A"_[EC:2.7.7.6]	-
GCA_000008085-CALJACFG_04460	-	-	-	-	-	-
GCA_000008085-CALJACFG_04470	K07574	8.8e-18	61.1	42.00	RNA-binding_protein	high_score
GCA_000008085-CALJACFG_04480	-	-	-	-	-	-
GCA_000008085-CALJACFG_04490	K04800	7.1e-145	480.2	297.23	replication_factor_C_large_subunit	high_score
GCA_000008085-CALJACFG_04500	K09120	2.4e-52	174.0	53.17	uncharacterized_protein	high_score
GCA_000008085-CALJACFG_04510	-	-	-	-	-	-
GCA_000008085-CALJACFG_04520	K02925	5.4e-61	203.6	311.37	large_subunit_ribosomal_protein_L3e	-
GCA_000008085-CALJACFG_04530	K13280	3.2e-22	76.3	59.43	signal_peptidase_I_[EC:3.4.21.89]	high_score
GCA_000008085-CALJACFG_04540	-	-	-	-	-	-
GCA_000008085-CALJACFG_04550	K03170	2.4e-195	648.3	527.97	reverse_gyrase_[EC:5.6.2.2_3.6.4.12]	high_score
GCA_000008085-CALJACFG_04560	K09150	2e-54	182.1	158.20	uncharacterized_protein	high_score
GCA_000008085-CALJACFG_04570	K03072	1.6e-59	198.7	419.57	preprotein_translocase_subunit_SecD	-
GCA_000008085-CALJACFG_04580	K03074	6.4e-26	88.1	304.00	preprotein_translocase_subunit_SecF	-
GCA_000008085-CALJACFG_04590	-	-	-	-	-	-
GCA_000008085-CALJACFG_04600	K07446	8.7e-55	183.4	172.70	tRNA_(guanine10-N2)-dimethyltransferase_[EC:2.1.1.213]	high_score
GCA_000008085-CALJACFG_04610	-	-	-	-	-	-
GCA_000008085-CALJACFG_04620	K09141	1.3e-64	213.8	154.13	uncharacterized_protein	high_score
GCA_000008085-CALJACFG_04630	-	-	-	-	-	-
GCA_000008085-CALJACFG_04640	-	-	-	-	-	-
GCA_000008085-CALJACFG_04650	-	-	-	-	-	-
GCA_000008085-CALJACFG_04660	-	-	-	-	-	-
GCA_000008085-CALJACFG_04670	-	-	-	-	-	-
GCA_000008085-CALJACFG_04680	-	-	-	-	-	-
GCA_000008085-CALJACFG_04690	K02996	6.2e-25	85.1	100.30	small_subunit_ribosomal_protein_S9	-
GCA_000008085-CALJACFG_04700	-	-	-	-	-	-
GCA_000008085-CALJACFG_04710	K04648	1.1e-08	30.5	158.77	dynactin_1	-
GCA_000008085-CALJACFG_04720	K02866	1.8e-28	96.6	55.80	large_subunit_ribosomal_protein_L10e	high_score
GCA_000008085-CALJACFG_04730	K06974	3.8e-30	102.3	37.50	archaemetzincin_[EC:3.4.-.-]	high_score
GCA_000008085-CALJACFG_04740	K03047	3e-44	148.5	241.33	DNA-directed_RNA_polymerase_subunit_D_[EC:2.7.7.6]	-
GCA_000008085-CALJACFG_04750	K07013	4.8e-30	102.2	65.20	uncharacterized_protein	high_score
GCA_000008085-CALJACFG_04760	K11131	7.3e-115	381.4	312.07	H/ACA_ribonucleoprotein_complex_subunit_4_[EC:5.4.99.-]	high_score
GCA_000008085-CALJACFG_04770	K08971	1.7e-08	30.8	203.57	putative_membrane_protein	-
GCA_000008085-CALJACFG_04780	K08971	3.1e-49	165.0	203.57	putative_membrane_protein	-
GCA_000008085-CALJACFG_04790	K01874	6.4e-133	441.3	194.47	methionyl-tRNA_synthetase_[EC:6.1.1.10]	high_score
GCA_000008085-CALJACFG_04800	K03424	9.3e-56	186.1	84.50	TatD_DNase_family_protein_[EC:3.1.21.-]	high_score
GCA_000008085-CALJACFG_04810	-	-	-	-	-	-
GCA_000008085-CALJACFG_04820	K03387	1e-11	41.2	355.23	alkyl_hydroperoxide_reductase_subunit_F_[EC:1.6.4.-]	-
GCA_000008085-CALJACFG_04830	K07178	3.8e-59	198.0	156.73	RIO_kinase_1_[EC:2.7.11.1]	high_score
GCA_000008085-CALJACFG_04840	K01507	9.7e-44	146.7	20.73	inorganic_pyrophosphatase_[EC:3.6.1.1]	high_score
GCA_000008085-CALJACFG_04850	-	-	-	-	-	-
GCA_000008085-CALJACFG_04860	K07179	7.3e-55	183.5	157.40	RIO_kinase_2_[EC:2.7.11.1]	high_score
GCA_000008085-CALJACFG_04870	K06942	8.6e-109	361.2	312.47	ribosome-binding_ATPase	high_score
GCA_000008085-CALJACFG_04880	K12574	4.3e-108	359.3	119.27	ribonuclease_J_[EC:3.1.-.-]	high_score
GCA_000008085-CALJACFG_04890	K02964	6.9e-31	104.0	158.97	small_subunit_ribosomal_protein_S18e	-
GCA_000008085-CALJACFG_04900	-	-	-	-	-	-
GCA_000008085-CALJACFG_04910	K02995	1.9e-28	96.6	49.53	small_subunit_ribosomal_protein_S8e	high_score
GCA_000008085-CALJACFG_04920	-	-	-	-	-	-
GCA_000008085-CALJACFG_04930	-	-	-	-	-	-
GCA_000008085-CALJACFG_04940	-	-	-	-	-	-
GCA_000008085-CALJACFG_04950	K07096	1.4e-36	123.2	77.90	uncharacterized_protein	high_score
GCA_000008085-CALJACFG_04960	K03531	9.6e-103	340.8	140.53	cell_division_protein_FtsZ	high_score
GCA_000008085-CALJACFG_04970	K13525	5e-304	1007.0	807.50	transitional_endoplasmic_reticulum_ATPase	high_score
GCA_000008085-CALJACFG_04980	-	-	-	-	-	-
GCA_000008085-CALJACFG_04990	-	-	-	-	-	-
GCA_000008085-CALJACFG_05000	-	-	-	-	-	-
GCA_000008085-CALJACFG_05010	K02987	3.6e-48	161.0	72.10	small_subunit_ribosomal_protein_S4e	high_score
GCA_000008085-CALJACFG_05020	K01890	9e-77	256.4	107.10	phenylalanyl-tRNA_synthetase_beta_chain_[EC:6.1.1.20]	high_score
GCA_000008085-CALJACFG_05030	K02958	2.2e-40	134.7	171.17	small_subunit_ribosomal_protein_S15e	-
GCA_000008085-CALJACFG_05040	K02982	6.9e-29	98.1	112.60	small_subunit_ribosomal_protein_S3	-
GCA_000008085-CALJACFG_05050	K03136	3.4e-20	69.5	42.33	transcription_initiation_factor_TFIIE_subunit_alpha	high_score
GCA_000008085-CALJACFG_05060	-	-	-	-	-	-
GCA_000008085-CALJACFG_05070	K11563	8.8e-07	24.7	172.87	kinetochore_protein_Spc7/SPC105	-
GCA_000008085-CALJACFG_05080	-	-	-	-	-	-
GCA_000008085-CALJACFG_05090	K07301	8.5e-62	206.0	112.00	cation:H+_antiporter	high_score
GCA_000008085-CALJACFG_05100	K02953	1.1e-38	129.4	200.83	small_subunit_ribosomal_protein_S13e	-
GCA_000008085-CALJACFG_05110	K02883	3e-07	27.2	33.83	large_subunit_ribosomal_protein_L18e	-
GCA_000008085-CALJACFG_05120	K07580	3.3e-19	65.6	60.33	Zn-ribbon_RNA-binding_protein	high_score
GCA_000008085-CALJACFG_05130	-	-	-	-	-	-
GCA_000008085-CALJACFG_05140	-	-	-	-	-	-
GCA_000008085-CALJACFG_05150	K17462	5.6e-08	29.6	133.80	putative_AdoMet-dependent_methyltransferase_[EC:2.1.1.-]	-
GCA_000008085-CALJACFG_05160	K00384	9.4e-93	307.6	296.77	thioredoxin_reductase_(NADPH)_[EC:1.8.1.9]	high_score
GCA_000008085-CALJACFG_05170	-	-	-	-	-	-
GCA_000008085-CALJACFG_05180	K15904	8.4e-104	344.7	666.77	bifunctional_N6-L-threonylcarbamoyladenine_synthase_/_protein_kinase_Bud32_[EC:2.3.1.234_2.7.11.1]	-
GCA_000008085-CALJACFG_05190	K04069	2.3e-54	181.4	102.70	pyruvate_formate_lyase_activating_enzyme_[EC:1.97.1.4]	high_score
GCA_000008085-CALJACFG_05200	K06957	1.3e-108	361.2	464.27	tRNA(Met)_cytidine_acetyltransferase_[EC:2.3.1.193]	-
GCA_000008085-CALJACFG_05210	K03243	3.9e-184	611.1	189.17	translation_initiation_factor_5B	high_score
GCA_000008085-CALJACFG_05220	-	-	-	-	-	-
GCA_000008085-CALJACFG_05230	K07565	7.4e-11	38.9	39.50	60S_ribosome_subunit_biogenesis_protein_NIP7	-
GCA_000008085-CALJACFG_05240	-	-	-	-	-	-
GCA_000008085-CALJACFG_05250	K01975	2.7e-33	112.7	56.83	RNA_2',3'-cyclic_3'-phosphodiesterase_[EC:3.1.4.58]	high_score
GCA_000008085-CALJACFG_05260	K03284	6.3e-20	68.9	165.53	magnesium_transporter	-
GCA_000008085-CALJACFG_05270	-	-	-	-	-	-
GCA_000008085-CALJACFG_05280	-	-	-	-	-	-
GCA_000008085-CALJACFG_05290	K03041	0	1177.1	1071.17	DNA-directed_RNA_polymerase_subunit_A'_[EC:2.7.7.6]	high_score
GCA_000008085-CALJACFG_05300	-	-	-	-	-	-
GCA_000008085-CALJACFG_05310	K01889	3.9e-63	210.9	95.37	phenylalanyl-tRNA_synthetase_alpha_chain_[EC:6.1.1.20]	high_score
GCA_000008085-CALJACFG_05320	K03059	4.5e-09	32.6	46.87	DNA-directed_RNA_polymerase_subunit_P_[EC:2.7.7.6]	-
