accession	TIRGR	TIGR_description	EC	TIGR_Evalue
GCA_000008085-CALJACFG_03600	TIGR02487	anaerobic_ribonucleoside-triphosphate_reductase	1.17.4.2	2.8e-149
GCA_000008085-CALJACFG_03610	-	-	-	-
GCA_000008085-CALJACFG_03620	-	-	-	-
GCA_000008085-CALJACFG_03630	TIGR04336	AmmeMemoRadiSam_system_protein_B	-	1.4e-63
GCA_000008085-CALJACFG_03640	-	-	-	-
GCA_000008085-CALJACFG_03650	TIGR00764	putative_ATP-dependent_protease	-	8.8e-229
GCA_000008085-CALJACFG_03660	TIGR02945	FeS_assembly_SUF_system_protein	-	1.1e-12
GCA_000008085-CALJACFG_03670	-	-	-	-
GCA_000008085-CALJACFG_03680	-	-	-	-
GCA_000008085-CALJACFG_03690	-	-	-	-
GCA_000008085-CALJACFG_03700	-	-	-	-
GCA_000008085-CALJACFG_03710	-	-	-	-
GCA_000008085-CALJACFG_03720	-	-	-	-
GCA_000008085-CALJACFG_03730	TIGR00024	putative_phosphoesterase	3.1.-.-	7.9e-45
GCA_000008085-CALJACFG_03740	-	-	-	-
GCA_000008085-CALJACFG_03750	-	-	-	-
GCA_000008085-CALJACFG_03760	TIGR01171	ribosomal_protein_uL2	-	7.2e-30
GCA_000008085-CALJACFG_03770	TIGR00132	aspartyl/glutamyl-tRNA(Asn/Gln)_amidotransferase,_A_subunit	6.3.5.-	1.3e-118
GCA_000008085-CALJACFG_03780	-	-	-	-
GCA_000008085-CALJACFG_03790	TIGR00285	DNA-binding_protein_Alba	-	3e-32
GCA_000008085-CALJACFG_03800	-	-	-	-
GCA_000008085-CALJACFG_03810	-	-	-	-
GCA_000008085-CALJACFG_03820	TIGR03596	ribosome_biogenesis_GTP-binding_protein_YlqF	-	9.9e-30
GCA_000008085-CALJACFG_03830	TIGR01527	nicotinamide-nucleotide_adenylyltransferase	2.7.7.1	2.3e-06
GCA_000008085-CALJACFG_03840	-	-	-	-
GCA_000008085-CALJACFG_03850	TIGR04095	DNA_phosphorothioation_system_restriction_enzyme	-	9.6e-21
GCA_000008085-CALJACFG_03860	TIGR00448	DNA-directed_RNA_polymerase	2.7.7.6	1.6e-48
GCA_000008085-CALJACFG_03870	TIGR00758	uracil-DNA_glycosylase,_family_4	3.2.2.-	9.5e-70
GCA_000008085-CALJACFG_03880	TIGR02168	chromosome_segregation_protein_SMC	-	1.6e-10
GCA_000008085-CALJACFG_03890	TIGR03149	cytochrome_c_nitrite_reductase,_Fe-S_protein	1.7.2.2	9.1e-06
GCA_000008085-CALJACFG_03900	-	-	-	-
GCA_000008085-CALJACFG_03910	TIGR00327	protein_translocase_SEC61_complex_gamma_subunit,_archaeal_and_eukaryotic	-	9.7e-08
GCA_000008085-CALJACFG_03920	-	-	-	-
GCA_000008085-CALJACFG_03930	TIGR01384	transcription_factor_S	-	4.2e-26
GCA_000008085-CALJACFG_03940	-	-	-	-
GCA_000008085-CALJACFG_03950	-	-	-	-
GCA_000008085-CALJACFG_03960	-	-	-	-
GCA_000008085-CALJACFG_03970	-	-	-	-
GCA_000008085-CALJACFG_03980	TIGR02495	anaerobic_ribonucleoside-triphosphate_reductase_activating_protein	1.97.-.-	4.4e-44
GCA_000008085-CALJACFG_03990	TIGR00619	exonuclease_SbcCD,_D_subunit	-	7.3e-16
GCA_000008085-CALJACFG_04000	TIGR03972	wyosine_biosynthesis_protein_TYW1	-	2.6e-117
GCA_000008085-CALJACFG_04010	TIGR00050	RNA_methyltransferase,_TrmH_family,_group_1	2.1.1.-	5.9e-49
GCA_000008085-CALJACFG_04020	-	-	-	-
GCA_000008085-CALJACFG_04030	TIGR00293	prefoldin,_alpha_subunit	-	2.9e-13
GCA_000008085-CALJACFG_04040	TIGR00596	DNA_repair_protein_(rad1)	-	4.2e-15
GCA_000008085-CALJACFG_04050	TIGR01020	ribosomal_protein_uS5	-	5.7e-80
GCA_000008085-CALJACFG_04060	TIGR00234	tyrosine--tRNA_ligase	6.1.1.1	4.5e-26
GCA_000008085-CALJACFG_04070	-	-	-	-
GCA_000008085-CALJACFG_04080	-	-	-	-
GCA_000008085-CALJACFG_04090	TIGR00037	translation_elongation_factor_IF5A	-	1.4e-26
GCA_000008085-CALJACFG_04100	TIGR00134	glutamyl-tRNA(Gln)_amidotransferase,_subunit_E	6.3.5.-	5.6e-54
GCA_000008085-CALJACFG_04110	TIGR02778	DNA_ligase_D,_polymerase_domain	-	4e-10
GCA_000008085-CALJACFG_04120	-	-	-	-
GCA_000008085-CALJACFG_04130	TIGR01083	endonuclease_III	4.2.99.18	1.4e-48
GCA_000008085-CALJACFG_04140	TIGR00501	methionine_aminopeptidase,_type_II	3.4.11.18	2e-78
GCA_000008085-CALJACFG_04150	-	-	-	-
GCA_000008085-CALJACFG_04160	TIGR02442	cobaltochelatase_subunit	6.6.1.2	7.8e-25
GCA_000008085-CALJACFG_04170	-	-	-	-
GCA_000008085-CALJACFG_04180	TIGR00321	deoxyhypusine_synthase	2.5.1.46	2.7e-76
GCA_000008085-CALJACFG_04190	-	-	-	-
GCA_000008085-CALJACFG_04200	-	-	-	-
GCA_000008085-CALJACFG_04210	-	-	-	-
GCA_000008085-CALJACFG_04220	-	-	-	-
GCA_000008085-CALJACFG_04230	-	-	-	-
GCA_000008085-CALJACFG_04240	TIGR04121	DEXH_box_helicase,_DNA_ligase-associated	3.6.4.-	1.2e-32
GCA_000008085-CALJACFG_04250	-	-	-	-
GCA_000008085-CALJACFG_04260	-	-	-	-
GCA_000008085-CALJACFG_04270	-	-	-	-
GCA_000008085-CALJACFG_04280	-	-	-	-
GCA_000008085-CALJACFG_04290	-	-	-	-
GCA_000008085-CALJACFG_04300	-	-	-	-
GCA_000008085-CALJACFG_04310	-	-	-	-
GCA_000008085-CALJACFG_04320	TIGR02902	ATP-dependent_protease_LonB	3.4.21.-	1.9e-12
GCA_000008085-CALJACFG_04330	-	-	-	-
GCA_000008085-CALJACFG_04340	TIGR00389	glycine--tRNA_ligase	6.1.1.14	8.7e-143
GCA_000008085-CALJACFG_04350	-	-	-	-
GCA_000008085-CALJACFG_04360	TIGR00354	DNA_polymerase_II,_large_subunit_DP2	2.7.7.7	0
GCA_000008085-CALJACFG_04370	-	-	-	-
GCA_000008085-CALJACFG_04380	-	-	-	-
GCA_000008085-CALJACFG_04390	TIGR03608	putative_bacteriocin_export_ABC_transporter,_lactococcin_972_group	-	3.9e-63
GCA_000008085-CALJACFG_04400	TIGR00522	diphthine_synthase	2.1.1.98	1.2e-32
GCA_000008085-CALJACFG_04410	-	-	-	-
GCA_000008085-CALJACFG_04420	TIGR00342	tRNA_sulfurtransferase_ThiI	2.8.1.4	2e-64
GCA_000008085-CALJACFG_04430	TIGR03819	helicase/secretion_neighborhood_ATPase	-	2.7e-34
GCA_000008085-CALJACFG_04440	TIGR02236	DNA_repair_and_recombination_protein_RadA	-	3.5e-138
GCA_000008085-CALJACFG_04450	TIGR02389	DNA-directed_RNA_polymerase,_subunit_A''	2.7.7.6	1.3e-153
GCA_000008085-CALJACFG_04460	-	-	-	-
GCA_000008085-CALJACFG_04470	TIGR00253	putative_RNA-binding_protein,_YhbY_family	-	1.3e-13
GCA_000008085-CALJACFG_04480	-	-	-	-
GCA_000008085-CALJACFG_04490	TIGR02397	DNA_polymerase_III,_subunit_gamma_and_tau	2.7.7.7	4.6e-17
GCA_000008085-CALJACFG_04500	-	-	-	-
GCA_000008085-CALJACFG_04510	-	-	-	-
GCA_000008085-CALJACFG_04520	TIGR03626	ribosomal_protein_uL3	-	4.9e-130
GCA_000008085-CALJACFG_04530	TIGR02228	signal_peptidase_I	3.4.21.89	2.2e-15
GCA_000008085-CALJACFG_04540	-	-	-	-
GCA_000008085-CALJACFG_04550	TIGR01054	reverse_gyrase	3.6.4.12|5.99.1.3	1.3e-175
GCA_000008085-CALJACFG_04560	-	-	-	-
GCA_000008085-CALJACFG_04570	TIGR01129	protein-export_membrane_protein_SecD	-	6.3e-31
GCA_000008085-CALJACFG_04580	TIGR00916	protein-export_membrane_protein,_SecD/SecF_family	-	2e-11
GCA_000008085-CALJACFG_04590	-	-	-	-
GCA_000008085-CALJACFG_04600	TIGR01177	putative_methyltransferase,_TIGR01177_family	-	1.2e-43
GCA_000008085-CALJACFG_04610	-	-	-	-
GCA_000008085-CALJACFG_04620	TIGR00296	uncharacterized_protein,_PH0010_family	-	1.7e-62
GCA_000008085-CALJACFG_04630	-	-	-	-
GCA_000008085-CALJACFG_04640	TIGR02537	archaeal_flagellin_N-terminal-like_domain	-	1.4e-07
GCA_000008085-CALJACFG_04650	-	-	-	-
GCA_000008085-CALJACFG_04660	-	-	-	-
GCA_000008085-CALJACFG_04670	-	-	-	-
GCA_000008085-CALJACFG_04680	-	-	-	-
GCA_000008085-CALJACFG_04690	TIGR03627	ribosomal_protein_uS9	-	6.2e-58
GCA_000008085-CALJACFG_04700	-	-	-	-
GCA_000008085-CALJACFG_04710	TIGR02168	chromosome_segregation_protein_SMC	-	1.9e-07
GCA_000008085-CALJACFG_04720	TIGR00279	ribosomal_protein_uL16	-	9.4e-37
GCA_000008085-CALJACFG_04730	-	-	-	-
GCA_000008085-CALJACFG_04740	-	-	-	-
GCA_000008085-CALJACFG_04750	TIGR01884	CRISPR_locus-related_DNA-binding_protein	-	1e-07
GCA_000008085-CALJACFG_04760	TIGR00425	putative_rRNA_pseudouridine_synthase	5.4.99.-	4.9e-132
GCA_000008085-CALJACFG_04770	-	-	-	-
GCA_000008085-CALJACFG_04780	-	-	-	-
GCA_000008085-CALJACFG_04790	TIGR00398	methionine--tRNA_ligase	6.1.1.10	4.6e-141
GCA_000008085-CALJACFG_04800	TIGR00010	hydrolase,_TatD_family	-	4.1e-55
GCA_000008085-CALJACFG_04810	-	-	-	-
GCA_000008085-CALJACFG_04820	TIGR02187	glutaredoxin-like_domain_protein	-	2e-38
GCA_000008085-CALJACFG_04830	TIGR03724	Kae1-associated_kinase_Bud32	2.7.-.-	1.3e-11
GCA_000008085-CALJACFG_04840	-	-	-	-
GCA_000008085-CALJACFG_04850	-	-	-	-
GCA_000008085-CALJACFG_04860	TIGR03724	Kae1-associated_kinase_Bud32	2.7.-.-	1.8e-10
GCA_000008085-CALJACFG_04870	TIGR00092	GTP-binding_protein_YchF	-	3.7e-37
GCA_000008085-CALJACFG_04880	TIGR00649	beta-CASP_ribonuclease,_RNase_J_family	3.1.-.-	9.8e-120
GCA_000008085-CALJACFG_04890	TIGR03629	ribosomal_protein_uS13	-	4.8e-62
GCA_000008085-CALJACFG_04900	-	-	-	-
GCA_000008085-CALJACFG_04910	TIGR00307	ribosomal_protein_eS8	-	7.2e-47
GCA_000008085-CALJACFG_04920	-	-	-	-
GCA_000008085-CALJACFG_04930	-	-	-	-
GCA_000008085-CALJACFG_04940	-	-	-	-
GCA_000008085-CALJACFG_04950	TIGR00040	phosphodiesterase,_MJ0936_family	3.1.-.-	2.7e-09
GCA_000008085-CALJACFG_04960	TIGR00065	cell_division_protein_FtsZ	-	3.8e-100
GCA_000008085-CALJACFG_04970	TIGR01243	AAA_family_ATPase,_CDC48_subfamily	-	0
GCA_000008085-CALJACFG_04980	-	-	-	-
GCA_000008085-CALJACFG_04990	-	-	-	-
GCA_000008085-CALJACFG_05000	-	-	-	-
GCA_000008085-CALJACFG_05010	-	-	-	-
GCA_000008085-CALJACFG_05020	TIGR00471	phenylalanine--tRNA_ligase,_beta_subunit	6.1.1.20	1.8e-106
GCA_000008085-CALJACFG_05030	TIGR01025	ribosomal_protein_uS19	-	1.5e-53
GCA_000008085-CALJACFG_05040	TIGR01008	ribosomal_protein_uS3	-	2.7e-45
GCA_000008085-CALJACFG_05050	TIGR00373	transcription_factor_E	-	5.6e-18
GCA_000008085-CALJACFG_05060	-	-	-	-
GCA_000008085-CALJACFG_05070	-	-	-	-
GCA_000008085-CALJACFG_05080	-	-	-	-
GCA_000008085-CALJACFG_05090	TIGR00367	K+-dependent_Na+/Ca+_exchanger_homolog	-	3.7e-49
GCA_000008085-CALJACFG_05100	-	-	-	-
GCA_000008085-CALJACFG_05110	-	-	-	-
GCA_000008085-CALJACFG_05120	-	-	-	-
GCA_000008085-CALJACFG_05130	-	-	-	-
GCA_000008085-CALJACFG_05140	-	-	-	-
GCA_000008085-CALJACFG_05150	TIGR02072	malonyl-acyl_carrier_protein_O-methyltransferase_BioC	2.1.1.-	2.9e-08
GCA_000008085-CALJACFG_05160	TIGR01292	thioredoxin-disulfide_reductase	1.8.1.9	2.7e-100
GCA_000008085-CALJACFG_05170	-	-	-	-
GCA_000008085-CALJACFG_05180	TIGR03722	universal_archaeal_protein_Kae1	-	5.7e-128
GCA_000008085-CALJACFG_05190	TIGR04337	AmmeMemoRadiSam_system_radical_SAM_enzyme	-	2.6e-86
GCA_000008085-CALJACFG_05200	-	-	-	-
GCA_000008085-CALJACFG_05210	TIGR00491	translation_initiation_factor_aIF-2	-	1.4e-209
GCA_000008085-CALJACFG_05220	-	-	-	-
GCA_000008085-CALJACFG_05230	-	-	-	-
GCA_000008085-CALJACFG_05240	-	-	-	-
GCA_000008085-CALJACFG_05250	TIGR02258	2'-5'_RNA_ligase	6.5.1.-	3.1e-40
GCA_000008085-CALJACFG_05260	TIGR00383	magnesium_and_cobalt_transport_protein_CorA	-	1.4e-13
GCA_000008085-CALJACFG_05270	-	-	-	-
GCA_000008085-CALJACFG_05280	-	-	-	-
GCA_000008085-CALJACFG_05290	TIGR02390	DNA-directed_RNA_polymerase_subunit_A'	2.7.7.6	0
GCA_000008085-CALJACFG_05300	-	-	-	-
GCA_000008085-CALJACFG_05310	TIGR00468	phenylalanine--tRNA_ligase,_alpha_subunit	6.1.1.20	3.2e-71
GCA_000008085-CALJACFG_05320	-	-	-	-
GCA_000008085-CALJACFG_05330	-	-	-	-
GCA_000008085-CALJACFG_05340	TIGR01012	ribosomal_protein_uS2	-	5.6e-78
GCA_000008085-CALJACFG_05350	TIGR00574	DNA_ligase_I,_ATP-dependent_(dnl1)	6.5.1.1	2e-134
GCA_000008085-CALJACFG_05360	-	-	-	-
GCA_000008085-CALJACFG_05370	-	-	-	-
GCA_000008085-CALJACFG_05380	TIGR01910	peptidase,_ArgE/DapE_family	3.4.-.-	1.4e-60
GCA_000008085-CALJACFG_05390	TIGR03928	type_VII_secretion_protein_EssC	-	1.8e-08
GCA_000008085-CALJACFG_05400	TIGR00135	aspartyl/glutamyl-tRNA(Asn/Gln)_amidotransferase,_C_subunit	6.3.5.-	5.6e-13
GCA_000008085-CALJACFG_05410	-	-	-	-
GCA_000008085-CALJACFG_05420	-	-	-	-
GCA_000008085-CALJACFG_05430	TIGR02338	prefoldin,_beta_subunit	-	8.5e-18
GCA_000008085-CALJACFG_05440	-	-	-	-
GCA_000008085-CALJACFG_05450	TIGR00323	putative_translation_initiation_factor_eIF-6	-	4.8e-24
GCA_000008085-CALJACFG_05460	TIGR00209	galactose-1-phosphate_uridylyltransferase	2.7.7.10	1.3e-08
GCA_000008085-CALJACFG_05470	-	-	-	-
GCA_000008085-CALJACFG_05480	-	-	-	-
GCA_000008085-CALJACFG_05490	TIGR03633	proteasome_endopeptidase_complex,_archaeal,_alpha_subunit	3.4.25.1	1.2e-96
GCA_000008085-CALJACFG_05500	TIGR00269	TIGR00269_family_protein	-	7.3e-21
GCA_000008085-CALJACFG_05510	TIGR01177	putative_methyltransferase,_TIGR01177_family	-	4.8e-35
GCA_000008085-CALJACFG_05520	TIGR02055	adenylylsulfate_reductase,_thioredoxin_dependent	1.8.4.10	1.5e-10
GCA_000008085-CALJACFG_05530	TIGR00291	rRNA_metabolism_protein,_SBDS_family	-	9.7e-59
GCA_000008085-CALJACFG_05540	-	-	-	-
GCA_000008085-CALJACFG_05550	TIGR03925	type_VII_secretion_protein_EccCb	-	9.1e-10
GCA_000008085-CALJACFG_05560	TIGR00592	DNA_polymerase_(pol2)	2.7.7.7	3.9e-35
GCA_000008085-CALJACFG_05570	-	-	-	-
GCA_000008085-CALJACFG_05580	-	-	-	-
GCA_000008085-CALJACFG_05590	-	-	-	-
GCA_000008085-CALJACFG_05600	-	-	-	-
GCA_000008085-CALJACFG_05610	-	-	-	-
GCA_000008085-CALJACFG_05620	-	-	-	-
GCA_000008085-CALJACFG_05630	-	-	-	-
GCA_000008085-CALJACFG_05640	TIGR03879	probable_regulatory_domain	-	3.1e-22
GCA_000008085-CALJACFG_05650	TIGR00458	aspartate--tRNA(Asn)_ligase	6.1.1.23	2.1e-111
GCA_000008085-CALJACFG_05660	TIGR00446	NOL1/NOP2/sun_family_putative_RNA_methylase	2.1.1.-	1.8e-85
GCA_000008085-CALJACFG_05670	-	-	-	-
GCA_000008085-CALJACFG_05680	TIGR00590	proliferating_cell_nuclear_antigen_(pcna)	-	1.6e-30
GCA_000008085-CALJACFG_05690	-	-	-	-
GCA_000008085-CALJACFG_05700	TIGR00405	transcription_elongation_factor_Spt5	-	1.4e-35
GCA_000008085-CALJACFG_05710	TIGR01884	CRISPR_locus-related_DNA-binding_protein	-	3.6e-07
GCA_000008085-CALJACFG_05720	TIGR00490	translation_elongation_factor_aEF-2	-	7.8e-297
GCA_000008085-CALJACFG_05730	-	-	-	-
GCA_000008085-CALJACFG_05740	-	-	-	-
GCA_000008085-CALJACFG_05750	-	-	-	-
GCA_000008085-CALJACFG_05760	TIGR01169	ribosomal_protein_uL1	-	1.7e-23
GCA_000008085-CALJACFG_05770	-	-	-	-
GCA_000008085-CALJACFG_05780	TIGR03683	alanine--tRNA_ligase	6.1.1.7	6.3e-96
GCA_000008085-CALJACFG_05790	TIGR00372	CRISPR-associated_protein_Cas4	-	9.1e-27
GCA_000008085-CALJACFG_05800	-	-	-	-
GCA_000017945-FLGBHGLA_00010	TIGR00491	translation_initiation_factor_aIF-2	-	3.1e-262
GCA_000017945-FLGBHGLA_00020	TIGR00387	glycolate_oxidase,_subunit_GlcD	-	8.9e-82
GCA_000017945-FLGBHGLA_00030	-	-	-	-
GCA_000017945-FLGBHGLA_00040	-	-	-	-
GCA_000017945-FLGBHGLA_00050	TIGR04251	SynChlorMet_cassette_radical_SAM/SPASM_protein_ScmF	-	5.8e-19
GCA_000017945-FLGBHGLA_00060	-	-	-	-
GCA_000017945-FLGBHGLA_00070	TIGR01057	DNA_topoisomerase_I	5.99.1.2	5.5e-208
GCA_000017945-FLGBHGLA_00080	-	-	-	-
GCA_000017945-FLGBHGLA_00090	TIGR03675	arCOG00543_universal_archaeal_KH-domain/beta-lactamase-domain_protein	-	4.5e-256
GCA_000017945-FLGBHGLA_00100	-	-	-	-
GCA_000017945-FLGBHGLA_00110	TIGR00177	molybdenum_cofactor_synthesis_domain	-	5.4e-30
GCA_000017945-FLGBHGLA_00120	-	-	-	-
GCA_000017945-FLGBHGLA_00130	TIGR00133	aspartyl/glutamyl-tRNA(Asn/Gln)_amidotransferase,_B_subunit	6.3.5.-	2.3e-158
GCA_000017945-FLGBHGLA_00140	TIGR02702	iron-sulfur_cluster_biosynthesis_transcriptional_regulator_SufR	-	4e-06
GCA_000017945-FLGBHGLA_00150	-	-	-	-
GCA_000017945-FLGBHGLA_00160	-	-	-	-
GCA_000017945-FLGBHGLA_00170	-	-	-	-
GCA_000017945-FLGBHGLA_00180	TIGR01357	3-dehydroquinate_synthase	4.2.3.4	2.5e-91
GCA_000017945-FLGBHGLA_00190	-	-	-	-
GCA_000017945-FLGBHGLA_00200	TIGR00149	secondary_thiamine-phosphate_synthase_enzyme	-	4.5e-44
GCA_000017945-FLGBHGLA_00210	TIGR01513	nicotinate_phosphoribosyltransferase	6.3.4.21	2.5e-54
GCA_000017945-FLGBHGLA_00220	TIGR03684	arCOG04150_universal_archaeal_PUA-domain_protein	-	2.1e-42
GCA_000017945-FLGBHGLA_00230	-	-	-	-
GCA_000017945-FLGBHGLA_00240	-	-	-	-
GCA_000017945-FLGBHGLA_00250	-	-	-	-
GCA_000017945-FLGBHGLA_00260	-	-	-	-
GCA_000017945-FLGBHGLA_00270	-	-	-	-
GCA_000017945-FLGBHGLA_00280	-	-	-	-
GCA_000017945-FLGBHGLA_00290	TIGR03188	phosphoribosyl-ATP_diphosphatase	3.6.1.31	3.5e-27
GCA_000017945-FLGBHGLA_00300	TIGR01855	imidazole_glycerol_phosphate_synthase,_glutamine_amidotransferase_subunit	2.4.2.-	3.7e-59
GCA_000017945-FLGBHGLA_00310	-	-	-	-
GCA_000017945-FLGBHGLA_00320	-	-	-	-
GCA_000017945-FLGBHGLA_00330	-	-	-	-
GCA_000017945-FLGBHGLA_00340	-	-	-	-
GCA_000017945-FLGBHGLA_00350	-	-	-	-
GCA_000017945-FLGBHGLA_00360	TIGR02487	anaerobic_ribonucleoside-triphosphate_reductase	1.17.4.2	1.9e-122
GCA_000017945-FLGBHGLA_00370	-	-	-	-
GCA_000017945-FLGBHGLA_00380	TIGR03873	proposed_F420-0_ABC_transporter,_ATP-binding_protein	-	4.7e-44
GCA_000017945-FLGBHGLA_00390	-	-	-	-
GCA_000017945-FLGBHGLA_00400	TIGR00936	adenosylhomocysteinase	3.3.1.1	3e-204
GCA_000017945-FLGBHGLA_00410	TIGR02152	ribokinase	2.7.1.15	4.7e-32
GCA_000017945-FLGBHGLA_00420	-	-	-	-
GCA_000017945-FLGBHGLA_00430	TIGR02911	sulfite_reductase,_subunit_B	1.8.-.-	4e-11
GCA_000017945-FLGBHGLA_00440	TIGR00240	aspartate_carbamoyltransferase,_regulatory_subunit	2.1.3.2	2.3e-55
GCA_000017945-FLGBHGLA_00450	TIGR00670	aspartate_carbamoyltransferase	2.1.3.2	2.5e-103
GCA_000017945-FLGBHGLA_00460	-	-	-	-
GCA_000017945-FLGBHGLA_00470	-	-	-	-
GCA_000017945-FLGBHGLA_00480	TIGR01191	heme_exporter_protein_CcmC	-	7.4e-26
GCA_000017945-FLGBHGLA_00490	-	-	-	-
GCA_000017945-FLGBHGLA_00500	-	-	-	-
GCA_000017945-FLGBHGLA_00510	-	-	-	-
GCA_000017945-FLGBHGLA_00520	TIGR00095	16S_rRNA_(guanine(966)-N(2))-methyltransferase_RsmD	2.1.1.171	2.2e-08
GCA_000017945-FLGBHGLA_00530	TIGR00473	CDP-diacylglycerol-serine_O-phosphatidyltransferase	2.7.8.8	6.7e-10
GCA_000017945-FLGBHGLA_00540	TIGR00604	DNA_repair_helicase_(rad3)	3.6.4.-	1.2e-33
GCA_000017945-FLGBHGLA_00550	-	-	-	-
GCA_000017945-FLGBHGLA_00560	-	-	-	-
GCA_000017945-FLGBHGLA_00570	-	-	-	-
GCA_000017945-FLGBHGLA_00580	TIGR02144	lysine_biosynthesis_enzyme_LysX	-	2.1e-103
GCA_000017945-FLGBHGLA_00590	TIGR00115	trigger_factor	5.2.1.8	2e-06
GCA_000017945-FLGBHGLA_00600	-	-	-	-
GCA_000017945-FLGBHGLA_00610	TIGR00040	phosphodiesterase,_MJ0936_family	3.1.-.-	1.1e-12
GCA_000017945-FLGBHGLA_00620	TIGR01391	DNA_primase	2.7.7.-	4.1e-09
GCA_000017945-FLGBHGLA_00630	TIGR00592	DNA_polymerase_(pol2)	2.7.7.7	8.3e-95
GCA_000017945-FLGBHGLA_00640	-	-	-	-
GCA_000017945-FLGBHGLA_00650	-	-	-	-
GCA_000017945-FLGBHGLA_00660	TIGR01046	ribosomal_protein_uS10	-	3.2e-44
GCA_000017945-FLGBHGLA_00670	TIGR03385	CoA-disulfide_reductase	1.8.1.14	9.6e-18
GCA_000017945-FLGBHGLA_00680	TIGR00446	NOL1/NOP2/sun_family_putative_RNA_methylase	2.1.1.-	6.8e-79
GCA_000017945-FLGBHGLA_00690	-	-	-	-
GCA_000017945-FLGBHGLA_00700	-	-	-	-
GCA_000017945-FLGBHGLA_00710	-	-	-	-
GCA_000017945-FLGBHGLA_00720	-	-	-	-
GCA_000017945-FLGBHGLA_00730	-	-	-	-
GCA_000017945-FLGBHGLA_00740	-	-	-	-
GCA_000017945-FLGBHGLA_00750	-	-	-	-
GCA_000017945-FLGBHGLA_00760	-	-	-	-
GCA_000017945-FLGBHGLA_00770	-	-	-	-
GCA_000017945-FLGBHGLA_00780	TIGR00134	glutamyl-tRNA(Gln)_amidotransferase,_subunit_E	6.3.5.-	4.1e-228
GCA_000017945-FLGBHGLA_00790	-	-	-	-
GCA_000017945-FLGBHGLA_00800	-	-	-	-
GCA_000017945-FLGBHGLA_00810	TIGR03214	putative_allantoin_catabolism_protein	-	6.2e-08
GCA_000017945-FLGBHGLA_00820	TIGR02928	orc1/cdc6_family_replication_initiation_protein	-	1.1e-07
GCA_000017945-FLGBHGLA_00830	-	-	-	-
GCA_000017945-FLGBHGLA_00840	-	-	-	-
GCA_000017945-FLGBHGLA_00850	TIGR00448	DNA-directed_RNA_polymerase	2.7.7.6	7.4e-53
GCA_000017945-FLGBHGLA_00860	TIGR01019	succinate-CoA_ligase,_alpha_subunit	6.2.1.-	5.8e-126
GCA_000017945-FLGBHGLA_00870	TIGR01016	succinate-CoA_ligase,_beta_subunit	6.2.1.-	5.3e-136
GCA_000017945-FLGBHGLA_00880	TIGR00293	prefoldin,_alpha_subunit	-	1.2e-22
GCA_000017945-FLGBHGLA_00890	-	-	-	-
GCA_000017945-FLGBHGLA_00900	TIGR01469	uroporphyrinogen-III_C-methyltransferase	2.1.1.107	3.1e-73
GCA_000017945-FLGBHGLA_00910	-	-	-	-
GCA_000017945-FLGBHGLA_00920	-	-	-	-
GCA_000017945-FLGBHGLA_00930	TIGR03875	RNA_ligase_partner,_MJ_0950_family	-	1.2e-63
GCA_000017945-FLGBHGLA_00940	-	-	-	-
GCA_000017945-FLGBHGLA_00950	-	-	-	-
GCA_000017945-FLGBHGLA_00960	TIGR04535	ferritin-like_protein	-	4.7e-16
GCA_000017945-FLGBHGLA_00970	TIGR02339	thermosome,_various_subunits,_archaeal	-	1.6e-235
GCA_000017945-FLGBHGLA_00980	-	-	-	-
GCA_000017945-FLGBHGLA_00990	-	-	-	-
GCA_000017945-FLGBHGLA_01000	TIGR01884	CRISPR_locus-related_DNA-binding_protein	-	4.3e-06
GCA_000017945-FLGBHGLA_01010	TIGR00500	methionine_aminopeptidase,_type_I	3.4.11.18	1.8e-15
GCA_000017945-FLGBHGLA_01020	-	-	-	-
GCA_000017945-FLGBHGLA_01030	-	-	-	-
GCA_000017945-FLGBHGLA_01040	-	-	-	-
GCA_000017945-FLGBHGLA_01050	TIGR00190	phosphomethylpyrimidine_synthase	4.1.99.17	2.3e-172
GCA_000017945-FLGBHGLA_01060	-	-	-	-
GCA_000017945-FLGBHGLA_01070	TIGR00972	phosphate_ABC_transporter,_ATP-binding_protein	3.6.3.27	3e-106
GCA_000017945-FLGBHGLA_01080	TIGR00974	phosphate_ABC_transporter,_permease_protein_PstA	-	2.8e-54
GCA_000017945-FLGBHGLA_01090	TIGR02138	phosphate_ABC_transporter,_permease_protein_PstC	-	7.5e-73
GCA_000017945-FLGBHGLA_01100	-	-	-	-
GCA_000017945-FLGBHGLA_01110	TIGR00399	methionine--tRNA_ligase,_beta_subunit	6.1.1.10	6.6e-39
GCA_000017945-FLGBHGLA_01120	-	-	-	-
GCA_000017945-FLGBHGLA_01130	TIGR00587	apurinic_endonuclease_(APN1)	-	1.3e-06
GCA_000017945-FLGBHGLA_01140	-	-	-	-
GCA_000017945-FLGBHGLA_01150	-	-	-	-
GCA_000017945-FLGBHGLA_01160	TIGR02354	thiamine_biosynthesis_protein_ThiF	-	1.8e-14
GCA_000017945-FLGBHGLA_01170	-	-	-	-
GCA_000017945-FLGBHGLA_01180	TIGR03771	anchored_repeat-type_ABC_transporter,_ATP-binding_subunit	-	1e-52
GCA_000017945-FLGBHGLA_01190	-	-	-	-
