accession	PFAM_hmm	PFAM_description	Pfam_Evalue
GCA_000008085-CALJACFG_03620	PF01775	Ribosomal_proteins_50S-L18Ae/60S-L20/60S-L18A	3e-09
GCA_000008085-CALJACFG_03630	PF01875	Memo-like_protein	1.6e-55
GCA_000008085-CALJACFG_03640	PF00808	Histone-like_transcription_factor_(CBF/NF-Y)_and_archaeal_histone	3.9e-17
GCA_000008085-CALJACFG_03650	PF13654	AAA_domain	5.4e-30
GCA_000008085-CALJACFG_03660	PF01883	Iron-sulfur_cluster_assembly_protein	1.2e-14
GCA_000008085-CALJACFG_03670	-	-	-
GCA_000008085-CALJACFG_03680	PF01889	Membrane_protein_of_unknown_function_DUF63	1.4e-09
GCA_000008085-CALJACFG_03690	-	-	-
GCA_000008085-CALJACFG_03700	PF07889	Protein_of_unknown_function_(DUF1664)	7.8e-06
GCA_000008085-CALJACFG_03710	-	-	-
GCA_000008085-CALJACFG_03720	PF09723	Zinc_ribbon_domain	9.1e-07
GCA_000008085-CALJACFG_03730	PF00149	Calcineurin-like_phosphoesterase	4.3e-07
GCA_000008085-CALJACFG_03740	-	-	-
GCA_000008085-CALJACFG_03750	PF01200	Ribosomal_protein_S28e	5.1e-31
GCA_000008085-CALJACFG_03760	PF03947	Ribosomal_Proteins_L2,_C-terminal_domain	2e-38
GCA_000008085-CALJACFG_03770	PF01425	Amidase	1.6e-89
GCA_000008085-CALJACFG_03780	PF01909	Nucleotidyltransferase_domain	1.8e-06
GCA_000008085-CALJACFG_03790	PF01918	Alba	4.5e-19
GCA_000008085-CALJACFG_03800	PF01198	Ribosomal_protein_L31e	4.8e-16
GCA_000008085-CALJACFG_03810	-	-	-
GCA_000008085-CALJACFG_03820	PF01926	50S_ribosome-binding_GTPase	4.1e-17
GCA_000008085-CALJACFG_03830	PF01467	Cytidylyltransferase-like	1.2e-06
GCA_000008085-CALJACFG_03840	PF01261	Xylose_isomerase-like_TIM_barrel	1.3e-09
GCA_000008085-CALJACFG_03850	PF04851	Type_III_restriction_enzyme,_res_subunit	8.8e-21
GCA_000008085-CALJACFG_03860	PF03876	SHS2_domain_found_in_N_terminus_of_Rpb7p/Rpc25p/MJ0397	1.6e-18
GCA_000008085-CALJACFG_03870	PF03167	Uracil_DNA_glycosylase_superfamily	5.9e-46
GCA_000008085-CALJACFG_03880	PF06103	Bacterial_protein_of_unknown_function_(DUF948)	1.5e-06
GCA_000008085-CALJACFG_03890	PF13370	4Fe-4S_single_cluster_domain_of_Ferredoxin_I	3.9e-15
GCA_000008085-CALJACFG_03900	PF01015	Ribosomal_S3Ae_family	1.5e-40
GCA_000008085-CALJACFG_03910	-	-	-
GCA_000008085-CALJACFG_03920	-	-	-
GCA_000008085-CALJACFG_03930	PF01096	Transcription_factor_S-II_(TFIIS)	7.7e-21
GCA_000008085-CALJACFG_03940	-	-	-
GCA_000008085-CALJACFG_03950	PF13483	Beta-lactamase_superfamily_domain	1.8e-24
GCA_000008085-CALJACFG_03960	PF01280	Ribosomal_protein_L19e	2.2e-56
GCA_000008085-CALJACFG_03970	-	-	-
GCA_000008085-CALJACFG_03980	PF04055	Radical_SAM_superfamily	9.9e-16
GCA_000008085-CALJACFG_03990	PF00149	Calcineurin-like_phosphoesterase	6e-16
GCA_000008085-CALJACFG_04000	PF08608	Wyosine_base_formation	1.6e-25
GCA_000008085-CALJACFG_04010	PF00588	SpoU_rRNA_Methylase_family	1.1e-25
GCA_000008085-CALJACFG_04020	PF02579	Dinitrogenase_iron-molybdenum_cofactor	2.2e-10
GCA_000008085-CALJACFG_04030	PF02996	Prefoldin_subunit	4.3e-18
GCA_000008085-CALJACFG_04040	PF00271	Helicase_conserved_C-terminal_domain	9.1e-30
GCA_000008085-CALJACFG_04050	PF03719	Ribosomal_protein_S5,_C-terminal_domain	2.9e-24
GCA_000008085-CALJACFG_04060	PF00579	tRNA_synthetases_class_I_(W_and_Y)	8.2e-41
GCA_000008085-CALJACFG_04070	-	-	-
GCA_000008085-CALJACFG_04080	-	-	-
GCA_000008085-CALJACFG_04090	PF08207	Elongation_factor_P_(EF-P)_KOW-like_domain	1.1e-07
GCA_000008085-CALJACFG_04100	PF02938	GAD_domain	2e-07
GCA_000008085-CALJACFG_04110	PF04104	Eukaryotic_and_archaeal_DNA_primase,_large_subunit	4e-11
GCA_000008085-CALJACFG_04120	PF01157	Ribosomal_protein_L21e	1.6e-30
GCA_000008085-CALJACFG_04130	PF00730	HhH-GPD_superfamily_base_excision_DNA_repair_protein	1.1e-20
GCA_000008085-CALJACFG_04140	PF00557	Metallopeptidase_family_M24	1.1e-30
GCA_000008085-CALJACFG_04150	-	-	-
GCA_000008085-CALJACFG_04160	PF07726	ATPase_family_associated_with_various_cellular_activities_(AAA)	4.7e-26
GCA_000008085-CALJACFG_04170	PF00092	von_Willebrand_factor_type_A_domain	1.1e-12
GCA_000008085-CALJACFG_04180	PF01916	Deoxyhypusine_synthase	8.6e-95
GCA_000008085-CALJACFG_04190	-	-	-
GCA_000008085-CALJACFG_04200	PF07541	Eukaryotic_translation_initiation_factor_2_alpha_subunit	1e-18
GCA_000008085-CALJACFG_04210	PF01326	Pyruvate_phosphate_dikinase,_PEP/pyruvate_binding_domain	5.3e-14
GCA_000008085-CALJACFG_04220	-	-	-
GCA_000008085-CALJACFG_04230	-	-	-
GCA_000008085-CALJACFG_04240	PF08494	DEAD/H_associated	8.7e-53
GCA_000008085-CALJACFG_04250	PF01496	V-type_ATPase_116kDa_subunit_family__	5.1e-26
GCA_000008085-CALJACFG_04260	-	-	-
GCA_000008085-CALJACFG_04270	-	-	-
GCA_000008085-CALJACFG_04280	-	-	-
GCA_000008085-CALJACFG_04290	PF00883	Cytosol_aminopeptidase_family,_catalytic_domain	2.4e-104
GCA_000008085-CALJACFG_04300	-	-	-
GCA_000008085-CALJACFG_04310	-	-	-
GCA_000008085-CALJACFG_04320	PF05362	Lon_protease_(S16)_C-terminal_proteolytic_domain	3.7e-09
GCA_000008085-CALJACFG_04330	-	-	-
GCA_000008085-CALJACFG_04340	PF03129	Anticodon_binding_domain	3.1e-24
GCA_000008085-CALJACFG_04350	-	-	-
GCA_000008085-CALJACFG_04360	PF03833	DNA_polymerase_II_large_subunit_DP2	0
GCA_000008085-CALJACFG_04370	-	-	-
GCA_000008085-CALJACFG_04380	-	-	-
GCA_000008085-CALJACFG_04390	PF00005	ABC_transporter	1.9e-36
GCA_000008085-CALJACFG_04400	PF00590	Tetrapyrrole_(Corrin/Porphyrin)_Methylases	5.1e-14
GCA_000008085-CALJACFG_04410	PF01870	Archaeal_holliday_junction_resolvase_(hjc)	2.4e-23
GCA_000008085-CALJACFG_04420	PF02568	Thiamine_biosynthesis_protein_(ThiI)	1.3e-34
GCA_000008085-CALJACFG_04430	PF00437	Type_II/IV_secretion_system_protein	2.9e-36
GCA_000008085-CALJACFG_04440	PF08423	Rad51	5.6e-90
GCA_000008085-CALJACFG_04450	PF04998	RNA_polymerase_Rpb1,_domain_5	3.3e-48
GCA_000008085-CALJACFG_04460	-	-	-
GCA_000008085-CALJACFG_04470	PF01985	CRS1_/_YhbY_(CRM)_domain	1.4e-13
GCA_000008085-CALJACFG_04480	-	-	-
GCA_000008085-CALJACFG_04490	PF00004	ATPase_family_associated_with_various_cellular_activities_(AAA)	1.9e-16
GCA_000008085-CALJACFG_04500	PF01949	Protein_of_unknown_function_DUF99	1.5e-51
GCA_000008085-CALJACFG_04510	-	-	-
GCA_000008085-CALJACFG_04520	PF00297	Ribosomal_protein_L3	1.2e-69
GCA_000008085-CALJACFG_04530	-	-	-
GCA_000008085-CALJACFG_04540	PF00096	Zinc_finger,_C2H2_type	1.4e-06
GCA_000008085-CALJACFG_04550	PF00270	DEAD/DEAH_box_helicase	2.1e-15
GCA_000008085-CALJACFG_04560	PF04312	Protein_of_unknown_function_(DUF460)	3e-31
GCA_000008085-CALJACFG_04570	PF02355	Protein_export_membrane_protein	1.2e-07
GCA_000008085-CALJACFG_04580	PF02355	Protein_export_membrane_protein	8.6e-21
GCA_000008085-CALJACFG_04590	PF05833	Fibronectin-binding_protein_A_N-terminus_(FbpA)	7.5e-25
GCA_000008085-CALJACFG_04600	PF01170	Putative_RNA_methylase_family_UPF0020	9.5e-28
GCA_000008085-CALJACFG_04610	-	-	-
GCA_000008085-CALJACFG_04620	PF01871	AMMECR1	2.4e-50
GCA_000008085-CALJACFG_04630	-	-	-
GCA_000008085-CALJACFG_04640	-	-	-
GCA_000008085-CALJACFG_04650	-	-	-
GCA_000008085-CALJACFG_04660	-	-	-
GCA_000008085-CALJACFG_04670	-	-	-
GCA_000008085-CALJACFG_04680	-	-	-
GCA_000008085-CALJACFG_04690	PF00380	Ribosomal_protein_S9/S16	2.1e-26
GCA_000008085-CALJACFG_04700	-	-	-
GCA_000008085-CALJACFG_04710	PF12205	G_protein-coupled_receptor_kinase-interacting_protein_1_C_term	1.3e-06
GCA_000008085-CALJACFG_04720	PF00252	Ribosomal_protein_L16p/L10e	9.3e-32
GCA_000008085-CALJACFG_04730	PF07998	Peptidase_family_M54	3.8e-23
GCA_000008085-CALJACFG_04740	PF01000	RNA_polymerase_Rpb3/RpoA_insert_domain	3.5e-13
GCA_000008085-CALJACFG_04750	PF02830	V4R_domain	8e-14
GCA_000008085-CALJACFG_04760	PF01509	TruB_family_pseudouridylate_synthase_(N_terminal_domain)	1.3e-24
GCA_000008085-CALJACFG_04770	PF01970	Tripartite_tricarboxylate_transporter_TctA_family	2.8e-08
GCA_000008085-CALJACFG_04780	PF01970	Tripartite_tricarboxylate_transporter_TctA_family	2.9e-10
GCA_000008085-CALJACFG_04790	PF09334	tRNA_synthetases_class_I_(M)	1.2e-130
GCA_000008085-CALJACFG_04800	PF01026	TatD_related_DNase	3.7e-54
GCA_000008085-CALJACFG_04810	-	-	-
GCA_000008085-CALJACFG_04820	PF13192	Thioredoxin_domain	1.6e-10
GCA_000008085-CALJACFG_04830	PF01163	RIO1_family	4.1e-52
GCA_000008085-CALJACFG_04840	PF00719	Inorganic_pyrophosphatase	7.3e-54
GCA_000008085-CALJACFG_04850	-	-	-
GCA_000008085-CALJACFG_04860	PF01163	RIO1_family	3.2e-41
GCA_000008085-CALJACFG_04870	PF08438	GTPase_of_unknown_function_C-terminal	2.2e-29
GCA_000008085-CALJACFG_04880	PF00753	Metallo-beta-lactamase_superfamily	1.6e-19
GCA_000008085-CALJACFG_04890	PF00416	Ribosomal_protein_S13/S18	1.8e-35
GCA_000008085-CALJACFG_04900	-	-	-
GCA_000008085-CALJACFG_04910	PF01201	Ribosomal_protein_S8e	8.7e-35
GCA_000008085-CALJACFG_04920	-	-	-
GCA_000008085-CALJACFG_04930	-	-	-
GCA_000008085-CALJACFG_04940	-	-	-
GCA_000008085-CALJACFG_04950	PF00149	Calcineurin-like_phosphoesterase	1e-15
GCA_000008085-CALJACFG_04960	PF00091	Tubulin/FtsZ_family,_GTPase_domain	1.3e-38
GCA_000008085-CALJACFG_04970	PF00004	ATPase_family_associated_with_various_cellular_activities_(AAA)	5.1e-104
GCA_000008085-CALJACFG_04980	-	-	-
GCA_000008085-CALJACFG_04990	-	-	-
GCA_000008085-CALJACFG_05000	-	-	-
GCA_000008085-CALJACFG_05010	PF00900	Ribosomal_family_S4e	1.1e-20
GCA_000008085-CALJACFG_05020	PF03483	B3/4_domain	4.7e-11
GCA_000008085-CALJACFG_05030	PF00203	Ribosomal_protein_S19	6.9e-32
GCA_000008085-CALJACFG_05040	PF00189	Ribosomal_protein_S3,_C-terminal_domain	2.5e-14
GCA_000008085-CALJACFG_05050	PF02002	TFIIE_alpha_subunit	8.5e-09
GCA_000008085-CALJACFG_05060	-	-	-
GCA_000008085-CALJACFG_05070	PF08317	Spc7_kinetochore_protein	2.4e-06
GCA_000008085-CALJACFG_05080	-	-	-
GCA_000008085-CALJACFG_05090	PF01699	Sodium/calcium_exchanger_protein	3.2e-46
GCA_000008085-CALJACFG_05100	PF08069	Ribosomal_S13/S15_N-terminal_domain	4.6e-27
GCA_000008085-CALJACFG_05110	PF00828	Ribosomal_proteins_50S-L15,_50S-L18e,_60S-L27A	2.2e-06
GCA_000008085-CALJACFG_05120	-	-	-
GCA_000008085-CALJACFG_05130	-	-	-
GCA_000008085-CALJACFG_05140	-	-	-
GCA_000008085-CALJACFG_05150	PF13489	Methyltransferase_domain	3.5e-11
GCA_000008085-CALJACFG_05160	PF07992	Pyridine_nucleotide-disulphide_oxidoreductase	1.1e-52
GCA_000008085-CALJACFG_05170	-	-	-
GCA_000008085-CALJACFG_05180	PF00814	Glycoprotease_family	1.5e-69
GCA_000008085-CALJACFG_05190	PF04055	Radical_SAM_superfamily	5.2e-22
GCA_000008085-CALJACFG_05200	PF05127	Helicase	8.2e-53
GCA_000008085-CALJACFG_05210	PF00009	Elongation_factor_Tu_GTP_binding_domain	1.6e-37
GCA_000008085-CALJACFG_05220	-	-	-
GCA_000008085-CALJACFG_05230	PF03657	Uncharacterised_protein_family_(UPF0113)	1.2e-07
GCA_000008085-CALJACFG_05240	PF13385	Concanavalin_A-like_lectin/glucanases_superfamily	1.8e-17
GCA_000008085-CALJACFG_05250	PF02834	LigT_like_Phosphoesterase	4.9e-28
GCA_000008085-CALJACFG_05260	PF01544	CorA-like_Mg2+_transporter_protein	6.1e-19
GCA_000008085-CALJACFG_05270	-	-	-
GCA_000008085-CALJACFG_05280	-	-	-
GCA_000008085-CALJACFG_05290	PF04997	RNA_polymerase_Rpb1,_domain_1	1.4e-88
GCA_000008085-CALJACFG_05300	PF05670	Domain_of_unknown_function_(DUF814)	4.8e-20
GCA_000008085-CALJACFG_05310	PF01409	tRNA_synthetases_class_II_core_domain_(F)	1.3e-60
GCA_000008085-CALJACFG_05320	PF13717	zinc-ribbon_domain	9.9e-06
GCA_000008085-CALJACFG_05330	PF01191	RNA_polymerase_Rpb5,_C-terminal_domain	4e-27
GCA_000008085-CALJACFG_05340	PF00318	Ribosomal_protein_S2	1.9e-25
GCA_000008085-CALJACFG_05350	PF01068	ATP_dependent_DNA_ligase_domain	5.4e-55
GCA_000008085-CALJACFG_05360	-	-	-
GCA_000008085-CALJACFG_05370	-	-	-
GCA_000008085-CALJACFG_05380	PF01546	Peptidase_family_M20/M25/M40	5.9e-27
GCA_000008085-CALJACFG_05390	PF01935	Domain_of_unknown_function_DUF87	7e-10
GCA_000008085-CALJACFG_05400	PF02686	Glu-tRNAGln_amidotransferase_C_subunit	6.1e-07
GCA_000008085-CALJACFG_05410	-	-	-
GCA_000008085-CALJACFG_05420	PF09171	N-glycosylase/DNA_lyase	9.7e-48
GCA_000008085-CALJACFG_05430	PF01920	Prefoldin_subunit	5.4e-14
GCA_000008085-CALJACFG_05440	-	-	-
GCA_000008085-CALJACFG_05450	PF01912	eIF-6_family	1.1e-38
GCA_000008085-CALJACFG_05460	PF01230	HIT_domain	1.9e-30
GCA_000008085-CALJACFG_05470	-	-	-
GCA_000008085-CALJACFG_05480	-	-	-
GCA_000008085-CALJACFG_05490	PF00227	Proteasome_subunit	1.4e-50
GCA_000008085-CALJACFG_05500	PF01171	PP-loop_family	3.9e-16
GCA_000008085-CALJACFG_05510	PF01170	Putative_RNA_methylase_family_UPF0020	1.6e-39
GCA_000008085-CALJACFG_05520	PF01507	Phosphoadenosine_phosphosulfate_reductase_family	3.6e-27
GCA_000008085-CALJACFG_05530	PF09377	SBDS_protein_C-terminal_domain	2.8e-22
GCA_000008085-CALJACFG_05540	-	-	-
GCA_000008085-CALJACFG_05550	PF01935	Domain_of_unknown_function_DUF87	9.1e-36
GCA_000008085-CALJACFG_05560	PF00136	DNA_polymerase_family_B	2.1e-23
GCA_000008085-CALJACFG_05570	PF04307	LexA-binding,_inner_membrane-associated_putative_hydrolase	2.3e-13
GCA_000008085-CALJACFG_05580	PF00924	Mechanosensitive_ion_channel	1.8e-38
GCA_000008085-CALJACFG_05590	PF01655	Ribosomal_protein_L32	1.9e-31
GCA_000008085-CALJACFG_05600	PF00261	Tropomyosin	9.4e-06
GCA_000008085-CALJACFG_05610	-	-	-
GCA_000008085-CALJACFG_05620	-	-	-
GCA_000008085-CALJACFG_05630	-	-	-
GCA_000008085-CALJACFG_05640	PF13936	Helix-turn-helix_domain	1.2e-07
GCA_000008085-CALJACFG_05650	PF00152	tRNA_synthetases_class_II_(D,_K_and_N)_	1e-82
GCA_000008085-CALJACFG_05660	PF01189	16S_rRNA_methyltransferase_RsmB/F	1.8e-52
GCA_000008085-CALJACFG_05670	PF00850	Histone_deacetylase_domain	4.7e-50
GCA_000008085-CALJACFG_05680	PF02747	Proliferating_cell_nuclear_antigen,_C-terminal_domain	4.6e-13
GCA_000008085-CALJACFG_05690	-	-	-
GCA_000008085-CALJACFG_05700	PF03439	Early_transcription_elongation_factor_of_RNA_pol_II,_NGN_section	3.2e-20
GCA_000008085-CALJACFG_05710	PF01978	Sugar-specific_transcriptional_regulator_TrmB	2.4e-11
GCA_000008085-CALJACFG_05720	PF00009	Elongation_factor_Tu_GTP_binding_domain	1.2e-60
GCA_000008085-CALJACFG_05730	PF04406	Type_IIB_DNA_topoisomerase	5.3e-20
GCA_000008085-CALJACFG_05740	PF07091	Ribosomal_RNA_methyltransferase_(FmrO)	2.2e-08
GCA_000008085-CALJACFG_05750	PF02163	Peptidase_family_M50	1.4e-15
GCA_000008085-CALJACFG_05760	PF00687	Ribosomal_protein_L1p/L10e_family	3.5e-38
GCA_000008085-CALJACFG_05770	PF01282	Ribosomal_protein_S24e	7.2e-22
GCA_000008085-CALJACFG_05780	PF01411	tRNA_synthetases_class_II_(A)	1.5e-40
GCA_000008085-CALJACFG_05790	PF01930	Domain_of_unknown_function_DUF83	9.1e-20
GCA_000008085-CALJACFG_05800	-	-	-
GCA_000017945-FLGBHGLA_00010	PF14578	Elongation_factor_Tu_domain_4	5e-40
GCA_000017945-FLGBHGLA_00020	PF02913	FAD_linked_oxidases,_C-terminal_domain	5.6e-42
GCA_000017945-FLGBHGLA_00030	-	-	-
GCA_000017945-FLGBHGLA_00040	PF01974	tRNA_intron_endonuclease,_catalytic_C-terminal_domain	2.5e-09
GCA_000017945-FLGBHGLA_00050	PF04055	Radical_SAM_superfamily	1.8e-22
GCA_000017945-FLGBHGLA_00060	-	-	-
GCA_000017945-FLGBHGLA_00070	PF01131	DNA_topoisomerase	2.9e-116
GCA_000017945-FLGBHGLA_00080	PF17005	WD40-like_domain	4.4e-07
GCA_000017945-FLGBHGLA_00090	PF10996	Beta-Casp_domain	9.1e-25
GCA_000017945-FLGBHGLA_00100	-	-	-
GCA_000017945-FLGBHGLA_00110	PF00994	Probable_molybdopterin_binding_domain	1.6e-30
GCA_000017945-FLGBHGLA_00120	PF01951	Archease_protein_family_(MTH1598/TM1083)	2.5e-46
GCA_000017945-FLGBHGLA_00130	PF02934	GatB/GatE_catalytic_domain	7e-99
GCA_000017945-FLGBHGLA_00140	PF01022	Bacterial_regulatory_protein,_arsR_family	5.1e-11
GCA_000017945-FLGBHGLA_00150	-	-	-
GCA_000017945-FLGBHGLA_00160	-	-	-
GCA_000017945-FLGBHGLA_00170	PF13620	Carboxypeptidase_regulatory-like_domain	8.7e-32
GCA_000017945-FLGBHGLA_00180	PF01761	3-dehydroquinate_synthase	5.7e-82
GCA_000017945-FLGBHGLA_00190	PF04266	ASCH_domain	6.3e-13
GCA_000017945-FLGBHGLA_00200	PF01894	Uncharacterised_protein_family_UPF0047	2.5e-38
GCA_000017945-FLGBHGLA_00210	PF01729	Quinolinate_phosphoribosyl_transferase,_C-terminal_domain	1.6e-26
GCA_000017945-FLGBHGLA_00220	PF01472	PUA_domain	3.9e-25
GCA_000017945-FLGBHGLA_00230	-	-	-
GCA_000017945-FLGBHGLA_00240	-	-	-
GCA_000017945-FLGBHGLA_00250	PF01314	Aldehyde_ferredoxin_oxidoreductase,_domains_2_&_3	1.2e-92
GCA_000017945-FLGBHGLA_00260	-	-	-
GCA_000017945-FLGBHGLA_00270	-	-	-
GCA_000017945-FLGBHGLA_00280	-	-	-
GCA_000017945-FLGBHGLA_00290	PF01503	Phosphoribosyl-ATP_pyrophosphohydrolase	7.3e-19
GCA_000017945-FLGBHGLA_00300	PF00117	Glutamine_amidotransferase_class-I	3.2e-16
GCA_000017945-FLGBHGLA_00310	-	-	-
GCA_000017945-FLGBHGLA_00320	-	-	-
GCA_000017945-FLGBHGLA_00330	-	-	-
GCA_000017945-FLGBHGLA_00340	-	-	-
GCA_000017945-FLGBHGLA_00350	-	-	-
GCA_000017945-FLGBHGLA_00360	PF13597	Anaerobic_ribonucleoside-triphosphate_reductase	3.6e-132
GCA_000017945-FLGBHGLA_00370	-	-	-
GCA_000017945-FLGBHGLA_00380	PF00005	ABC_transporter	3.1e-40
GCA_000017945-FLGBHGLA_00390	PF11520	Chromatin_protein_Cren7	6e-17
GCA_000017945-FLGBHGLA_00400	PF05221	S-adenosyl-L-homocysteine_hydrolase	2.2e-74
GCA_000017945-FLGBHGLA_00410	PF00294	pfkB_family_carbohydrate_kinase	6.2e-39
GCA_000017945-FLGBHGLA_00420	-	-	-
GCA_000017945-FLGBHGLA_00430	-	-	-
GCA_000017945-FLGBHGLA_00440	PF01948	Aspartate_carbamoyltransferase_regulatory_chain,_allosteric_domain	2.5e-33
GCA_000017945-FLGBHGLA_00450	PF02729	Aspartate/ornithine_carbamoyltransferase,_carbamoyl-P_binding_domain	5.9e-40
GCA_000017945-FLGBHGLA_00460	-	-	-
GCA_000017945-FLGBHGLA_00470	-	-	-
GCA_000017945-FLGBHGLA_00480	PF01578	Cytochrome_C_assembly_protein	5.5e-26
GCA_000017945-FLGBHGLA_00490	-	-	-
GCA_000017945-FLGBHGLA_00500	-	-	-
GCA_000017945-FLGBHGLA_00510	PF01874	ATP:dephospho-CoA_triphosphoribosyl_transferase_	6e-17
GCA_000017945-FLGBHGLA_00520	PF10672	S-adenosylmethionine-dependent_methyltransferase	3.6e-18
GCA_000017945-FLGBHGLA_00530	PF01066	CDP-alcohol_phosphatidyltransferase	2.8e-13
GCA_000017945-FLGBHGLA_00540	PF13307	Helicase_C-terminal_domain	2.1e-23
GCA_000017945-FLGBHGLA_00550	-	-	-
GCA_000017945-FLGBHGLA_00560	PF04254	Protein_of_unknown_function_(DUF432)	2.2e-34
GCA_000017945-FLGBHGLA_00570	PF00924	Mechanosensitive_ion_channel	8.2e-47
GCA_000017945-FLGBHGLA_00580	PF08443	RimK-like_ATP-grasp_domain	5.9e-37
GCA_000017945-FLGBHGLA_00590	PF00254	FKBP-type_peptidyl-prolyl_cis-trans_isomerase	2.7e-17
GCA_000017945-FLGBHGLA_00600	-	-	-
GCA_000017945-FLGBHGLA_00610	PF12850	Calcineurin-like_phosphoesterase_superfamily_domain	6.2e-15
GCA_000017945-FLGBHGLA_00620	PF13662	Toprim_domain	1.4e-08
GCA_000017945-FLGBHGLA_00630	PF00136	DNA_polymerase_family_B	2.3e-75
GCA_000017945-FLGBHGLA_00640	-	-	-
GCA_000017945-FLGBHGLA_00650	-	-	-
GCA_000017945-FLGBHGLA_00660	PF00338	Ribosomal_protein_S10p/S20e	2.8e-27
GCA_000017945-FLGBHGLA_00670	PF07992	Pyridine_nucleotide-disulphide_oxidoreductase	3.4e-39
GCA_000017945-FLGBHGLA_00680	PF01189	16S_rRNA_methyltransferase_RsmB/F	1.4e-56
GCA_000017945-FLGBHGLA_00690	-	-	-
GCA_000017945-FLGBHGLA_00700	PF01925	Sulfite_exporter_TauE/SafE	5.1e-45
GCA_000017945-FLGBHGLA_00710	PF01798	snoRNA_binding_domain,_fibrillarin	1.2e-75
GCA_000017945-FLGBHGLA_00720	-	-	-
GCA_000017945-FLGBHGLA_00730	PF00149	Calcineurin-like_phosphoesterase	9.8e-21
GCA_000017945-FLGBHGLA_00740	-	-	-
GCA_000017945-FLGBHGLA_00750	PF09852	Predicted_membrane_protein_(DUF2079)	1.2e-17
GCA_000017945-FLGBHGLA_00760	PF01402	Ribbon-helix-helix_protein,_copG_family	2.7e-08
GCA_000017945-FLGBHGLA_00770	-	-	-
GCA_000017945-FLGBHGLA_00780	PF02934	GatB/GatE_catalytic_domain	3.9e-74
GCA_000017945-FLGBHGLA_00790	PF04104	Eukaryotic_and_archaeal_DNA_primase,_large_subunit	4.1e-29
GCA_000017945-FLGBHGLA_00800	PF13483	Beta-lactamase_superfamily_domain	6.7e-29
GCA_000017945-FLGBHGLA_00810	PF07883	Cupin_domain	5.5e-21
GCA_000017945-FLGBHGLA_00820	PF00004	ATPase_family_associated_with_various_cellular_activities_(AAA)	9.9e-08
GCA_000017945-FLGBHGLA_00830	PF04019	Protein_of_unknown_function_(DUF359)	4.7e-30
GCA_000017945-FLGBHGLA_00840	PF06093	Spt4/RpoE2_zinc_finger	1.3e-11
GCA_000017945-FLGBHGLA_00850	PF03876	SHS2_domain_found_in_N_terminus_of_Rpb7p/Rpc25p/MJ0397	1.1e-18
GCA_000017945-FLGBHGLA_00860	PF02629	CoA_binding_domain	6e-32
GCA_000017945-FLGBHGLA_00870	PF08442	ATP-grasp_domain	1e-63
GCA_000017945-FLGBHGLA_00880	PF02996	Prefoldin_subunit	5.7e-23
GCA_000017945-FLGBHGLA_00890	-	-	-
GCA_000017945-FLGBHGLA_00900	PF00590	Tetrapyrrole_(Corrin/Porphyrin)_Methylases	1.7e-42
GCA_000017945-FLGBHGLA_00910	PF02602	Uroporphyrinogen-III_synthase_HemD	1.5e-39
GCA_000017945-FLGBHGLA_00920	-	-	-
GCA_000017945-FLGBHGLA_00930	PF08745	PINc_domain_ribonuclease	3.4e-71
GCA_000017945-FLGBHGLA_00940	-	-	-
GCA_000017945-FLGBHGLA_00950	-	-	-
GCA_000017945-FLGBHGLA_00960	PF02915	Rubrerythrin	4.1e-11
GCA_000017945-FLGBHGLA_00970	PF00118	TCP-1/cpn60_chaperonin_family	2.5e-178
GCA_000017945-FLGBHGLA_00980	PF01937	Protein_of_unknown_function_DUF89	1.6e-08
GCA_000017945-FLGBHGLA_00990	PF13579	Glycosyl_transferase_4-like_domain	6.3e-16
GCA_000017945-FLGBHGLA_01000	PF01638	HxlR-like_helix-turn-helix	1.6e-11
GCA_000017945-FLGBHGLA_01010	PF00557	Metallopeptidase_family_M24	2.3e-58
GCA_000017945-FLGBHGLA_01020	PF03357	Snf7	6.7e-06
GCA_000017945-FLGBHGLA_01030	PF02754	Cysteine-rich_domain	1.8e-13
GCA_000017945-FLGBHGLA_01040	PF01667	Ribosomal_protein_S27	3.4e-22
GCA_000017945-FLGBHGLA_01050	PF01964	Radical_SAM_ThiC_family	2.6e-178
GCA_000017945-FLGBHGLA_01060	PF05559	Protein_of_unknown_function_(DUF763)	1.5e-113
GCA_000017945-FLGBHGLA_01070	PF00005	ABC_transporter	3.6e-36
GCA_000017945-FLGBHGLA_01080	PF00528	Binding-protein-dependent_transport_system_inner_membrane_component	9.1e-12
GCA_000017945-FLGBHGLA_01090	PF00528	Binding-protein-dependent_transport_system_inner_membrane_component	2.1e-12
GCA_000017945-FLGBHGLA_01100	PF02163	Peptidase_family_M50	1.3e-07
GCA_000017945-FLGBHGLA_01110	PF01588	Putative_tRNA_binding_domain	1.4e-29
GCA_000017945-FLGBHGLA_01120	PF00850	Histone_deacetylase_domain	3.2e-61
GCA_000017945-FLGBHGLA_01130	-	-	-
GCA_000017945-FLGBHGLA_01140	-	-	-
GCA_000017945-FLGBHGLA_01150	-	-	-
GCA_000017945-FLGBHGLA_01160	PF00899	ThiF_family	7.4e-19
GCA_000017945-FLGBHGLA_01170	-	-	-
GCA_000017945-FLGBHGLA_01180	PF00005	ABC_transporter	1.9e-33
GCA_000017945-FLGBHGLA_01190	-	-	-
