accession	IPR	IPRMdescription	IPR_PFAM	IPR_PFAMdescription
GCA_000008085-CALJACFG_03350	-	-	-	-
GCA_000008085-CALJACFG_03360	IPR000380;_IPR023405;_IPR013825;_IPR013824;_IPR013497	DNA_topoisomerase,_type_IA;_DNA_topoisomerase,_type_IA,_core_domain;_DNA_topoisomerase,_type_IA,_central_region,_subdomain_2;_DNA_topoisomerase,_type_IA,_central_region,_subdomain_1;_DNA_topoisomerase,_type_IA,_central	PF01131	DNA_topoisomerase
GCA_000008085-CALJACFG_03370	IPR002735;_IPR004458;_IPR016189;_IPR016190	Translation_initiation_factor_IF2/IF5;_Translation_initiation_factor_2,_beta_subunit;_Translation_initiation_factor_IF2/IF5,_N-terminal;_Translation_initiation_factor_IF2/IF5,_zinc-binding	PF01873	Domain_found_in_IF2B/IF5
GCA_000008085-CALJACFG_03380	IPR036602;_IPR003827;_IPR022908	tRNA_wybutosine-synthesizing-like_superfamily;_tRNA_wybutosine-synthesizing_protein;_tRNA(Phe)_7-((3-amino-3-carboxypropyl)-4-demethylwyosine(37)-N(4))-methyltransferase	PF02676	Methyltransferase_TYW3
GCA_000008085-CALJACFG_03390	IPR000266;_IPR012340;_IPR019978;_IPR028333;_IPR019979	Ribosomal_protein_S17/S11;_Nucleic_acid-binding,_OB-fold;_Ribosomal_protein_S17,_archaeal;_Ribosomal_protein_S17,_archaeal/eukaryotic;_Ribosomal_protein_S17,_conserved_site	PF00366	Ribosomal_protein_S17
GCA_000008085-CALJACFG_03400	IPR011008;_IPR019887	Dimeric_alpha-beta_barrel;_Transcription_regulator_AsnC/Lrp,_ligand_binding_domain	PF01037	Lrp/AsnC_ligand_binding_domain
GCA_000008085-CALJACFG_03410	-	-	-	-
GCA_000008085-CALJACFG_03420	IPR033704;_IPR036157	dUTPase,_trimeric;_dUTPase-like_superfamily	-	-
GCA_000008085-CALJACFG_03430	IPR004911;_IPR036249	Gamma_interferon_inducible_lysosomal_thiol_reductase_GILT;_Thioredoxin-like_superfamily	-	-
GCA_000008085-CALJACFG_03440	-	-	-	-
GCA_000008085-CALJACFG_03450	-	-	-	-
GCA_000008085-CALJACFG_03460	-	-	-	-
GCA_000008085-CALJACFG_03470	IPR007003	Protein_of_unknown_function_DUF655	PF04919	Protein_of_unknown_function_(DUF655)
GCA_000008085-CALJACFG_03480	IPR020097;_IPR020103;_IPR001406;_IPR020095	Pseudouridine_synthase_I,_TruA,_alpha/beta_domain;_Pseudouridine_synthase,_catalytic_domain_superfamily;_Pseudouridine_synthase_I,_TruA;_Pseudouridine_synthase_I,_TruA,_C-terminal	PF01416	tRNA_pseudouridine_synthase
GCA_000008085-CALJACFG_03490	-	-	-	-
GCA_000008085-CALJACFG_03500	IPR018977	NurA_domain	PF09376	NurA_domain
GCA_000008085-CALJACFG_03510	IPR000268;_IPR020789;_IPR023580	DNA-directed_RNA_polymerase,_subunit_N/Rpb10;_RNA_polymerases,_subunit_N,_zinc_binding_site;_RNA_polymerase_subunit_RPB10	PF01194	RNA_polymerases_N_/_8_kDa_subunit
GCA_000008085-CALJACFG_03520	IPR014816;_IPR029063;_IPR020596;_IPR001737	tRNA_(1-methyladenosine)_methyltransferase_catalytic_subunit_Gcd14;_S-adenosyl-L-methionine-dependent_methyltransferase;_Ribosomal_RNA_adenine_methylase_transferase,_conserved_site;_Ribosomal_RNA_adenine_methyltransferase_KsgA/Erm	PF00398	Ribosomal_RNA_adenine_dimethylase
GCA_000008085-CALJACFG_03530	IPR000988;_IPR011017;_IPR038630	Ribosomal_protein_L24e-related;_TRASH_domain;_Ribosomal_protein_L24e/L24_superfamily	PF01246	Ribosomal_protein_L24e
GCA_000008085-CALJACFG_03540	IPR023198;_IPR023214;_IPR036412	Phosphoglycolate_phosphatase-like,_domain_2;_HAD_superfamily;_HAD-like_superfamily	PF13419	Haloacid_dehalogenase-like_hydrolase
GCA_000008085-CALJACFG_03550	-	-	-	-
GCA_000008085-CALJACFG_03560	IPR006171;_IPR020607;_IPR034154	TOPRIM__domain;_DNA_primase_DnaG,_archaea;_Archaeal_primase_DnaG/twinkle,_TOPRIM_domain	PF13662	Toprim_domain
GCA_000008085-CALJACFG_03570	IPR029012;_IPR002687;_IPR012976;_IPR036070	Helix_hairpin_bin_domain_superfamily;_Nop_domain;_NOSIC;_Nop_domain_superfamily	PF01798	snoRNA_binding_domain,_fibrillarin
GCA_000008085-CALJACFG_03580	IPR002068;_IPR008978	Alpha_crystallin/Hsp20_domain;_HSP20-like_chaperone	PF00011	Hsp20/alpha_crystallin_family
GCA_000008085-CALJACFG_03590	IPR029062;_IPR002818	Class_I_glutamine_amidotransferase-like;_DJ-1/PfpI	PF01965	DJ-1/PfpI_family
GCA_000008085-CALJACFG_03600	IPR012833	Ribonucleoside-triphosphate_reductase,_anaerobic	PF13597	Anaerobic_ribonucleoside-triphosphate_reductase
GCA_000008085-CALJACFG_03610	IPR007581;_IPR036388;_IPR014048;_IPR036217	Endonuclease_V;_Winged_helix-like_DNA-binding_domain_superfamily;_Methylated-DNA-[protein]-cysteine_S-methyltransferase,_DNA_binding;_Methylated_DNA-protein_cysteine_methyltransferase,_DNA_binding_domain	PF04493;_PF01035	Endonuclease_V;_6-O-methylguanine_DNA_methyltransferase,_DNA_binding_domain
GCA_000008085-CALJACFG_03620	IPR023573;_IPR028877;_IPR002768	Ribosomal_protein_50S-L18Ae/60S-L20/60S-L18A;_50S_ribosomal_protein_L18Ae/60S_ribosomal_protein_L20_and_L18a;_50S_ribosomal_protein_L18Ae,_archaea	PF01775	Ribosomal_proteins_50S-L18Ae/60S-L20/60S-L18A
GCA_000008085-CALJACFG_03630	IPR002737	MEMO1_family	PF01875	Memo-like_protein
GCA_000008085-CALJACFG_03640	IPR009072;_IPR003958	Histone-fold;_Transcription_factor_CBF/NF-Y/archaeal_histone_domain	PF00808	Histone-like_transcription_factor_(CBF/NF-Y)_and_archaeal_histone
GCA_000008085-CALJACFG_03650	IPR027417;_IPR003593;_IPR008269;_IPR027065;_IPR004663;_IPR014721;_IPR020568;_IPR000523	P-loop_containing_nucleoside_triphosphate_hydrolase;_AAA+_ATPase_domain;_Peptidase_S16,_Lon_proteolytic_domain;_Lon_protease;_Lon_protease,_archaeal;_Ribosomal_protein_S5_domain_2-type_fold,_subgroup;_Ribosomal_protein_S5_domain_2-type_fold;_Magnesium_chelatase_ChlI_domain	PF05362;_PF13654;_PF01078	Lon_protease_(S16)_C-terminal_proteolytic_domain;_AAA_domain;_Magnesium_chelatase,_subunit_ChlI
GCA_000008085-CALJACFG_03660	IPR034904;_IPR002744	Fe-S_cluster_assembly_domain_superfamily;_MIP18_family-like	PF01883	Iron-sulfur_cluster_assembly_protein
GCA_000008085-CALJACFG_03670	IPR010982	Lambda_repressor-like,_DNA-binding_domain_superfamily	-	-
GCA_000008085-CALJACFG_03680	IPR002749	Protein_of_unknown_function_DUF63	PF01889	Membrane_protein_of_unknown_function_DUF63
GCA_000008085-CALJACFG_03690	-	-	-	-
GCA_000008085-CALJACFG_03700	-	-	-	-
GCA_000008085-CALJACFG_03710	-	-	-	-
GCA_000008085-CALJACFG_03720	IPR036390;_IPR038767	Winged_helix_DNA-binding_domain_superfamily;_Transcriptional_regulator_containing_an_HTH_domain_fused_to_a_Zn-ribbon,_predicted	-	-
GCA_000008085-CALJACFG_03730	IPR029052;_IPR004376;_IPR004843;_IPR024173	Metallo-dependent_phosphatase-like;_Conserved_hypothetical_protein_CHP00024,_phosphoesterase-like;_Calcineurin-like_phosphoesterase_domain,_ApaH_type;_Phosphoesterase,_MJ0037	PF00149	Calcineurin-like_phosphoesterase
GCA_000008085-CALJACFG_03740	-	-	-	-
GCA_000008085-CALJACFG_03750	IPR012340;_IPR000289	Nucleic_acid-binding,_OB-fold;_Ribosomal_protein_S28e	PF01200	Ribosomal_protein_S28e
GCA_000008085-CALJACFG_03760	IPR012340;_IPR022666;_IPR002171;_IPR008991;_IPR022669;_IPR014722;_IPR023672;_IPR014726	Nucleic_acid-binding,_OB-fold;_Ribosomal_Proteins_L2,_RNA_binding_domain;_Ribosomal_protein_L2;_Translation_protein_SH3-like_domain_superfamily;_Ribosomal_protein_L2,_C-terminal;_Ribosomal_protein_L2,_domain_2;_Ribosomal_protein_L2,_archaeal-type;_Ribosomal_protein_L2,_domain_3	PF00181;_PF03947	Ribosomal_Proteins_L2,_RNA_binding_domain;_Ribosomal_Proteins_L2,_C-terminal_domain
GCA_000008085-CALJACFG_03770	IPR036928;_IPR023631;_IPR000120	Amidase_signature_(AS)_superfamily;_Amidase_signature_domain;_Amidase	PF01425	Amidase
GCA_000008085-CALJACFG_03780	IPR002934	Polymerase,_nucleotidyl_transferase_domain	PF01909	Nucleotidyltransferase_domain
GCA_000008085-CALJACFG_03790	IPR036882;_IPR013795;_IPR002775	Alba-like_domain_superfamily;_DNA/RNA-binding_protein_Alba;_DNA/RNA-binding_protein_Alba-like	PF01918	Alba
GCA_000008085-CALJACFG_03800	IPR000054;_IPR023621;_IPR020052	Ribosomal_protein_L31e;_Ribosomal_protein_L31e_domain_superfamily;_Ribosomal_protein_L31e,_conserved_site	PF01198	Ribosomal_protein_L31e
GCA_000008085-CALJACFG_03810	-	-	-	-
GCA_000008085-CALJACFG_03820	IPR006073;_IPR027417	GTP_binding_domain;_P-loop_containing_nucleoside_triphosphate_hydrolase	PF01926	50S_ribosome-binding_GTPase
GCA_000008085-CALJACFG_03830	IPR014729;_IPR004821	Rossmann-like_alpha/beta/alpha_sandwich_fold;_Cytidyltransferase-like_domain	PF01467	Cytidylyltransferase-like
GCA_000008085-CALJACFG_03840	IPR036237;_IPR013022	Xylose_isomerase-like_superfamily;_Xylose_isomerase-like,_TIM_barrel_domain	PF01261	Xylose_isomerase-like_TIM_barrel
GCA_000008085-CALJACFG_03850	IPR001650;_IPR014001;_IPR006935;_IPR027417	Helicase,_C-terminal;_Helicase_superfamily_1/2,_ATP-binding_domain;_Helicase/UvrB,_N-terminal;_P-loop_containing_nucleoside_triphosphate_hydrolase	PF00271;_PF04851	Helicase_conserved_C-terminal_domain;_Type_III_restriction_enzyme,_res_subunit
GCA_000008085-CALJACFG_03860	IPR012340;_IPR036898;_IPR004519;_IPR005576;_IPR022967;_IPR003029	Nucleic_acid-binding,_OB-fold;_RNA_polymerase_Rpb7-like,_N-terminal_domain_superfamily;_DNA-directed_RNA_polymerase,_subunit_E/RPC8;_RNA_polymerase_Rpb7,_N-terminal;_RNA-binding_domain,_S1;_S1_domain	PF03876;_PF00575	SHS2_domain_found_in_N_terminus_of_Rpb7p/Rpc25p/MJ0397;_S1_RNA_binding_domain
GCA_000008085-CALJACFG_03870	IPR036895;_IPR005273;_IPR005122	Uracil-DNA_glycosylase-like_domain_superfamily;_Uracil-DNA_glycosylase_family_4;_Uracil-DNA_glycosylase-like	PF03167	Uracil_DNA_glycosylase_superfamily
GCA_000008085-CALJACFG_03880	-	-	-	-
GCA_000008085-CALJACFG_03890	IPR017896	4Fe-4S_ferredoxin-type,_iron-sulphur_binding_domain	PF13370	4Fe-4S_single_cluster_domain_of_Ferredoxin_I
GCA_000008085-CALJACFG_03900	IPR001593;_IPR030838	Ribosomal_protein_S3Ae;_30S_ribosomal_protein_S3Ae	PF01015	Ribosomal_S3Ae_family
GCA_000008085-CALJACFG_03910	IPR023391	Protein_translocase_SecE_domain_superfamily	-	-
GCA_000008085-CALJACFG_03920	-	-	-	-
GCA_000008085-CALJACFG_03930	IPR001529;_IPR001222;_IPR012164;_IPR006288	DNA-directed_RNA_polymerase,_M/15kDa_subunit;_Zinc_finger,_TFIIS-type;_DNA-directed_RNA_polymerase_subunit/transcription_factor_S;_Transcription_factor_S	PF02150;_PF01096	RNA_polymerases_M/15_Kd_subunit;_Transcription_factor_S-II_(TFIIS)
GCA_000008085-CALJACFG_03940	-	-	-	-
GCA_000008085-CALJACFG_03950	IPR036866;_IPR001279;_IPR022877	Ribonuclease_Z/Hydroxyacylglutathione_hydrolase-like;_Metallo-beta-lactamase;_Protein_of_unknown_funcion_UPF0173	PF13483	Beta-lactamase_superfamily_domain
GCA_000008085-CALJACFG_03960	IPR000196;_IPR035970;_IPR015972;_IPR023638;_IPR039547;_IPR033936	Ribosomal_protein_L19/L19e;_Ribosomal_protein_L19/L19e_superfamily;_Ribosomal_protein_L19/L19e,_domain_1;_Ribosomal_protein_L19/L19e_conserved_site;_60S_ribosomal_protein_L19;_Ribosomal_protein_L19e,_archaeal	PF01280	Ribosomal_protein_L19e
GCA_000008085-CALJACFG_03970	-	-	-	-
GCA_000008085-CALJACFG_03980	IPR007197;_IPR012840;_IPR013785	Radical_SAM;_Anaerobic_ribonucleoside-triphosphate_reductase_activating_protein;_Aldolase-type_TIM_barrel	PF04055;_PF13353	Radical_SAM_superfamily;_4Fe-4S_single_cluster_domain
GCA_000008085-CALJACFG_03990	IPR004843;_IPR029052	Calcineurin-like_phosphoesterase_domain,_ApaH_type;_Metallo-dependent_phosphatase-like	PF00149	Calcineurin-like_phosphoesterase
GCA_000008085-CALJACFG_04000	IPR013917;_IPR007197;_IPR013785;_IPR023993;_IPR034556	tRNA_wybutosine-synthesis;_Radical_SAM;_Aldolase-type_TIM_barrel;_S-adenosyl-L-methionine-dependent_tRNA_4-demethylwyosine_synthase,__archaea;_S-adenosyl-L-methionine-dependent_tRNA_4-demethylwyosine_synthase	PF08608;_PF04055	Wyosine_base_formation;_Radical_SAM_superfamily
GCA_000008085-CALJACFG_04010	IPR004384;_IPR029026;_IPR001537;_IPR029028	RNA_methyltransferase_TrmJ/LasT;_tRNA_(guanine-N1-)-methyltransferase,_N-terminal;_tRNA/rRNA_methyltransferase,_SpoU_type;_Alpha/beta_knot_methyltransferases	PF00588	SpoU_rRNA_Methylase_family
GCA_000008085-CALJACFG_04020	IPR036105;_IPR003731	Dinitrogenase_iron-molybdenum_cofactor_biosynthesis_superfamily;_Dinitrogenase_iron-molybdenum_cofactor_biosynthesis	PF02579	Dinitrogenase_iron-molybdenum_cofactor
GCA_000008085-CALJACFG_04030	IPR004127;_IPR009053	Prefoldin_alpha-like;_Prefoldin	PF02996	Prefoldin_subunit
GCA_000008085-CALJACFG_04040	IPR001650;_IPR014001;_IPR011335;_IPR039686;_IPR010994;_IPR006166;_IPR006935;_IPR027417;_IPR002464	Helicase,_C-terminal;_Helicase_superfamily_1/2,_ATP-binding_domain;_Restriction_endonuclease__type_II-like;_FANCM/Mph1-like;_RuvA_domain_2-like;_ERCC4_domain;_Helicase/UvrB,_N-terminal;_P-loop_containing_nucleoside_triphosphate_hydrolase;_DNA/RNA_helicase,_ATP-dependent,_DEAH-box_type,_conserved_site	PF00271;_PF02732;_PF04851	Helicase_conserved_C-terminal_domain;_ERCC4_domain;_Type_III_restriction_enzyme,_res_subunit
GCA_000008085-CALJACFG_04050	IPR005324;_IPR005711;_IPR020568;_IPR000851;_IPR013810;_IPR014721	Ribosomal_protein_S5,_C-terminal;_Ribosomal_protein_S5,_eukaryotic/archaeal;_Ribosomal_protein_S5_domain_2-type_fold;_Ribosomal_protein_S5;_Ribosomal_protein_S5,_N-terminal;_Ribosomal_protein_S5_domain_2-type_fold,_subgroup	PF03719;_PF00333	Ribosomal_protein_S5,_C-terminal_domain;_Ribosomal_protein_S5,_N-terminal_domain
GCA_000008085-CALJACFG_04060	IPR002305;_IPR023617;_IPR023678;_IPR014729	Aminoacyl-tRNA_synthetase,_class_Ic;_Tyrosine-tRNA_ligase,_archaeal/eukaryotic-type;_Tyrosine-tRNA_ligase,_type_4;_Rossmann-like_alpha/beta/alpha_sandwich_fold	PF00579	tRNA_synthetases_class_I_(W_and_Y)
GCA_000008085-CALJACFG_04070	-	-	-	-
GCA_000008085-CALJACFG_04080	-	-	-	-
GCA_000008085-CALJACFG_04090	IPR008991;_IPR001884;_IPR022847;_IPR013185;_IPR014722;_IPR019769	Translation_protein_SH3-like_domain_superfamily;_Translation_elongation_factor_IF5A-like;_Translation_elongation_factor_IF5A,_archaeal;_Translation_elongation_factor,_KOW-like;_Ribosomal_protein_L2,_domain_2;_Translation_elongation_factor,_IF5A,_hypusine_site	PF08207	Elongation_factor_P_(EF-P)_KOW-like_domain
GCA_000008085-CALJACFG_04100	IPR014746;_IPR004115;_IPR029351;_IPR004414;_IPR017959	Glutamine_synthetase/guanido_kinase,_catalytic_domain;_GAD-like_domain_superfamily;_GAD_domain;_Glutamyl-tRNA(Gln)_amidotransferase_subunit_E;_Aspartyl/glutamyl-tRNA(Asn/Gln)_amidotransferase,_subunit_B_/E	PF02938	GAD_domain
GCA_000008085-CALJACFG_04110	IPR007238	DNA_primase_large_subunit,_eukaryotic/archaeal	PF04104	Eukaryotic_and_archaeal_DNA_primase,_large_subunit
GCA_000008085-CALJACFG_04120	IPR018259;_IPR036948;_IPR008991;_IPR001147;_IPR022856	Ribosomal_protein_L21e,_conserved_site;_Ribosomal_protein_L21_superfamily;_Translation_protein_SH3-like_domain_superfamily;_Ribosomal_protein_L21e;_Ribosomal_protein_L21e,_archaeal	PF01157	Ribosomal_protein_L21e
GCA_000008085-CALJACFG_04130	IPR003265;_IPR011257;_IPR023170	HhH-GPD_domain;_DNA_glycosylase;_Helix-turn-helix,_base-excision_DNA_repair,_C-terminal	PF00730	HhH-GPD_superfamily_base_excision_DNA_repair_protein
GCA_000008085-CALJACFG_04140	IPR028595;_IPR000994;_IPR002468;_IPR036390;_IPR036388;_IPR036005	Methionine_aminopeptidase,_archaeal;_Peptidase_M24;_Peptidase_M24A,_methionine_aminopeptidase,_subfamily_2;_Winged_helix_DNA-binding_domain_superfamily;_Winged_helix-like_DNA-binding_domain_superfamily;_Creatinase/aminopeptidase-like	PF00557	Metallopeptidase_family_M24
GCA_000008085-CALJACFG_04150	IPR006591;_IPR029040	RNA_polymerase_archaeal_subunit_P/eukaryotic_subunit_RPABC4;_RNA_polymerase_subunit_RPABC4/transcription_elongation_factor_Spt4	-	-
GCA_000008085-CALJACFG_04160	IPR027417;_IPR008144;_IPR011703;_IPR003593;_IPR000523	P-loop_containing_nucleoside_triphosphate_hydrolase;_Guanylate_kinase-like_domain;_ATPase,_AAA-3;_AAA+_ATPase_domain;_Magnesium_chelatase_ChlI_domain	PF07726;_PF01078	ATPase_family_associated_with_various_cellular_activities_(AAA);_Magnesium_chelatase,_subunit_ChlI
GCA_000008085-CALJACFG_04170	IPR002035;_IPR036465	von_Willebrand_factor,_type_A;_von_Willebrand_factor_A-like_domain_superfamily	PF00092	von_Willebrand_factor_type_A_domain
GCA_000008085-CALJACFG_04180	IPR036982;_IPR029035;_IPR002773	Deoxyhypusine_synthase_superfamily;_DHS-like_NAD/FAD-binding_domain_superfamily;_Deoxyhypusine_synthase	PF01916	Deoxyhypusine_synthase
GCA_000008085-CALJACFG_04190	-	-	-	-
GCA_000008085-CALJACFG_04200	IPR003029;_IPR011488;_IPR012340;_IPR024055;_IPR024054;_IPR022967	S1_domain;_Translation_initiation_factor_2,_alpha_subunit;_Nucleic_acid-binding,_OB-fold;_Translation_initiation_factor_2,_alpha_subunit,_C-terminal;_Translation_initiation_factor_2,_alpha_subunit,_middle_domain_superfamily;_RNA-binding_domain,_S1	PF07541;_PF00575	Eukaryotic_translation_initiation_factor_2_alpha_subunit;_S1_RNA_binding_domain
GCA_000008085-CALJACFG_04210	-	-	-	-
GCA_000008085-CALJACFG_04220	-	-	-	-
GCA_000008085-CALJACFG_04230	-	-	-	-
GCA_000008085-CALJACFG_04240	IPR013701	DEAD/H_associated	PF08494	DEAD/H_associated
GCA_000008085-CALJACFG_04250	IPR002490	V-type__ATPase,_V0_complex,_116kDa_subunit_family	PF01496	V-type_ATPase_116kDa_subunit_family
GCA_000008085-CALJACFG_04260	-	-	-	-
GCA_000008085-CALJACFG_04270	-	-	-	-
GCA_000008085-CALJACFG_04280	IPR010924;_IPR010997	DNA-directed_RNA_polymerase_subunit_F_(Rpo4);_HRDC-like_superfamily	-	-
GCA_000008085-CALJACFG_04290	IPR011356;_IPR000819	Peptidase_M17,_leucine_aminopeptidase/peptidase_B;_Peptidase_M17,_leucyl_aminopeptidase,_C-terminal	PF00883	Cytosol_aminopeptidase_family,_catalytic_domain
GCA_000008085-CALJACFG_04300	-	-	-	-
GCA_000008085-CALJACFG_04310	IPR036259	MFS_transporter_superfamily	-	-
GCA_000008085-CALJACFG_04320	IPR027065;_IPR008269;_IPR020568;_IPR014721	Lon_protease;_Peptidase_S16,_Lon_proteolytic_domain;_Ribosomal_protein_S5_domain_2-type_fold;_Ribosomal_protein_S5_domain_2-type_fold,_subgroup	PF05362	Lon_protease_(S16)_C-terminal_proteolytic_domain
GCA_000008085-CALJACFG_04330	-	-	-	-
GCA_000008085-CALJACFG_04340	IPR036621;_IPR027031;_IPR002314;_IPR004154;_IPR002315;_IPR006195	Anticodon-binding_domain_superfamily;_Glycyl-tRNA_synthetase/DNA_polymerase_subunit_gamma-2;_Aminoacyl-tRNA_synthetase,_class_II_(G/_P/_S/T);_Anticodon-binding;_Glycyl-tRNA_synthetase;_Aminoacyl-tRNA_synthetase,_class_II	PF00587;_PF03129	tRNA_synthetase_class_II_core_domain_(G,_H,_P,_S_and_T);_Anticodon_binding_domain
GCA_000008085-CALJACFG_04350	-	-	-	-
GCA_000008085-CALJACFG_04360	IPR004475;_IPR016033	DNA_polymerase_II_large_subunit_DP2;_DNA_polymerase_II_large_subunit_DP2,_N-terminal	PF03833	DNA_polymerase_II_large_subunit_DP2
GCA_000008085-CALJACFG_04370	IPR016745	Uncharacterised_conserved_protein_UCP019075	-	-
GCA_000008085-CALJACFG_04380	-	-	-	-
GCA_000008085-CALJACFG_04390	IPR027417;_IPR003439;_IPR003593;_IPR017871	P-loop_containing_nucleoside_triphosphate_hydrolase;_ABC_transporter-like;_AAA+_ATPase_domain;_ABC_transporter,_conserved_site	PF00005	ABC_transporter
GCA_000008085-CALJACFG_04400	IPR014777;_IPR004551;_IPR000878;_IPR035996;_IPR014776	Tetrapyrrole_methylase,_subdomain_1;_Diphthine_synthase;_Tetrapyrrole_methylase;_Tetrapyrrole_methylase_superfamily;_Tetrapyrrole_methylase,_subdomain_2	PF00590	Tetrapyrrole_(Corrin/Porphyrin)_Methylases
GCA_000008085-CALJACFG_04410	IPR002732;_IPR011335;_IPR011856;_IPR014428	Holliday_junction_resolvase_Hjc;_Restriction_endonuclease__type_II-like;_tRNA_endonuclease-like_domain_superfamily;_Holliday_junction_resolvase_Hjc,_archaeal	PF01870	Archaeal_holliday_junction_resolvase_(hjc)
GCA_000008085-CALJACFG_04420	IPR020536;_IPR004114;_IPR003720;_IPR014729	Thil,_AANH_domain;_THUMP_domain;_tRNA_sulfurtransferase_ThiI;_Rossmann-like_alpha/beta/alpha_sandwich_fold	PF02568;_PF02926	Thiamine_biosynthesis_protein_(ThiI);_THUMP_domain
GCA_000008085-CALJACFG_04430	IPR027417;_IPR001482	P-loop_containing_nucleoside_triphosphate_hydrolase;_Type_II/IV_secretion_system_protein	PF00437	Type_II/IV_secretion_system_protein
GCA_000008085-CALJACFG_04440	IPR020587;_IPR003593;_IPR020588;_IPR011938;_IPR010995;_IPR013632;_IPR016467;_IPR033925;_IPR027417;_IPR003583	DNA_recombination_and_repair_protein_RecA,_monomer-monomer_interface;_AAA+_ATPase_domain;_DNA_recombination_and_repair_protein_RecA-like,_ATP-binding_domain;_DNA_recombination/repair_protein_RadA;_DNA_repair_Rad51/transcription_factor_NusA,_alpha-helical;_DNA_recombination_and_repair_protein_Rad51-like,_C-terminal;_DNA_recombination_and_repair_protein,_RecA-like;_Rad51/DMC1/RadA;_P-loop_containing_nucleoside_triphosphate_hydrolase;_Helix-hairpin-helix_DNA-binding_motif,_class_1	PF08423;_PF14520	Rad51;_Helix-hairpin-helix_domain
GCA_000008085-CALJACFG_04450	IPR012757;_IPR007081	DNA-directed_RNA_polymerase_subunit_A'';_RNA_polymerase_Rpb1,_domain_5	PF04998	RNA_polymerase_Rpb1,_domain_5
GCA_000008085-CALJACFG_04460	IPR023626	Ribosomal_protein_L39e_domain_superfamily	-	-
GCA_000008085-CALJACFG_04470	IPR035920;_IPR001890	YhbY-like_superfamily;_RNA-binding,_CRM_domain	PF01985	CRS1_/_YhbY_(CRM)_domain
GCA_000008085-CALJACFG_04480	-	-	-	-
GCA_000008085-CALJACFG_04490	IPR003959;_IPR003593;_IPR027417;_IPR023935	ATPase,_AAA-type,_core;_AAA+_ATPase_domain;_P-loop_containing_nucleoside_triphosphate_hydrolase;_Replication_factor_C,_large_subunit	PF00004	ATPase_family_associated_with_various_cellular_activities_(AAA)
GCA_000008085-CALJACFG_04500	IPR002802	Protein_of_unknown_function_DUF99	PF01949	Protein_of_unknown_function_DUF99
GCA_000008085-CALJACFG_04510	-	-	-	-
GCA_000008085-CALJACFG_04520	IPR019928;_IPR019926;_IPR000597;_IPR009000	Ribosomal_protein_L3,_archaeal;_Ribosomal_protein_L3,_conserved_site;_Ribosomal_protein_L3;_Translation_protein,_beta-barrel_domain_superfamily	PF00297	Ribosomal_protein_L3
GCA_000008085-CALJACFG_04530	IPR001733	Peptidase_S26B	-	-
GCA_000008085-CALJACFG_04540	IPR036236;_IPR013087	Zinc_finger_C2H2_superfamily;_Zinc_finger_C2H2-type	PF00096	Zinc_finger,_C2H2_type
GCA_000008085-CALJACFG_04550	IPR027417;_IPR014001;_IPR001650;_IPR005736;_IPR011545	P-loop_containing_nucleoside_triphosphate_hydrolase;_Helicase_superfamily_1/2,_ATP-binding_domain;_Helicase,_C-terminal;_Reverse_gyrase;_DEAD/DEAH_box_helicase_domain	PF00270	DEAD/DEAH_box_helicase
GCA_000008085-CALJACFG_04560	IPR007408	Protein_of_unknown_function_DUF460	PF04312	Protein_of_unknown_function_(DUF460)
GCA_000008085-CALJACFG_04570	IPR022813	Protein-export_membrane_protein_SecD/SecF,_archaeal_and_bacterial	PF02355	Protein_export_membrane_protein
GCA_000008085-CALJACFG_04580	IPR024921;_IPR022813	Protein-export_membrane_protein_SecF,_archaeal;_Protein-export_membrane_protein_SecD/SecF,_archaeal_and_bacterial	PF02355	Protein_export_membrane_protein
GCA_000008085-CALJACFG_04590	-	-	PF05833	Fibronectin-binding_protein_A_N-terminus_(FbpA)
GCA_000008085-CALJACFG_04600	IPR000241;_IPR029063;_IPR002052	Putative_RNA_methylase_domain;_S-adenosyl-L-methionine-dependent_methyltransferase;_DNA_methylase,_N-6_adenine-specific,_conserved_site	PF01170	Putative_RNA_methylase_family_UPF0020
GCA_000008085-CALJACFG_04610	IPR013320	Concanavalin_A-like_lectin/glucanase_domain_superfamily	-	-
GCA_000008085-CALJACFG_04620	IPR027623;_IPR002733;_IPR027485;_IPR036071;_IPR023473;_IPR023472	AmmeMemoRadiSam_system_protein_A;_AMMECR1_domain;_AMMECR1,_N-terminal;_AMMECR1_domain_superfamily;_AMMECR1;_Uncharacterised_protein_family_MJ0810	PF01871	AMMECR1
GCA_000008085-CALJACFG_04630	IPR008979	Galactose-binding-like_domain_superfamily	-	-
GCA_000008085-CALJACFG_04640	IPR013373	Flagellin/pilin,_N-terminal	-	-
GCA_000008085-CALJACFG_04650	-	-	-	-
GCA_000008085-CALJACFG_04660	-	-	-	-
GCA_000008085-CALJACFG_04670	-	-	-	-
GCA_000008085-CALJACFG_04680	-	-	-	-
GCA_000008085-CALJACFG_04690	IPR020568;_IPR020574;_IPR019958;_IPR000754;_IPR014721	Ribosomal_protein_S5_domain_2-type_fold;_Ribosomal_protein_S9,_conserved_site;_Ribosomal_protein_S9,_archaeal;_Ribosomal_protein_S9;_Ribosomal_protein_S5_domain_2-type_fold,_subgroup	PF00380	Ribosomal_protein_S9/S16
GCA_000008085-CALJACFG_04700	-	-	-	-
GCA_000008085-CALJACFG_04710	-	-	-	-
