accession	BinID	NewContigID	OldContigId	ContigIdMerge	ContigNewLength	ContigOldLength	GC	ProteinID	ProteinGC	ProteinLength	Prokka	NCBI_COG	NCBI_COG_Description	PathwayID	Pathway	NCBI_COG_evalue	arcogs	arcogs_geneID	arcogs_Description	Pathway	arcogs_evalue	KO_hmm	e_value	bit_score	bit_score_cutoff	Definition	confidence	PFAM_hmm	PFAM_description	Pfam_Evalue	TIRGR	TIGR_description	EC	TIGR_Evalue	CAZy	CAZy_evalue	Description	TDBD_ID	TPDB_evalue	HydDB	Description	HydDB_evalue	IPR	IPRMdescription	IPR_PFAM	IPR_PFAMdescription	TopHit	E_value	PecID	TaxID	TaxString
GCA_000008085-CALJACFG_01000	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01000	0.029	206	hypothetical protein	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AAR38949.1_NEQ094_[Nanoarchaeum_equitans_Kin4-M]	4.4e-104	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01010	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01010	0.094	169	50S ribosomal protein L5	COG0094	Ribosomal_protein_L5	J	Ribosome_50S_subunit	1.6e-35	arCOG04092	RplE	Ribosomal_protein_L5	J	3.5e-53	K02868	2.4e-47	157.7	218.27	large_subunit_ribosomal_protein_L11e	-	PF00281	Ribosomal_protein_L5	2.9e-21	-	-	-	-	-	-	-	-	-	-	-	-	IPR022804;_IPR031309;_IPR031310;_IPR022803;_IPR002132	Ribosomal_protein_L5,_archaeal;_Ribosomal_protein_L5,_C-terminal;_Ribosomal_protein_L5,_N-terminal;_Ribosomal_protein_L5_domain_superfamily;_Ribosomal_protein_L5	PF00673;_PF00281	ribosomal_L5P_family_C-terminus;_Ribosomal_protein_L5	Q74N79.1_RecName:_Full=50S_ribosomal_protein_L5	3.2e-89	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01020	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01020	0.097	185	hypothetical protein	COG2013	AIM24_protein,_required_for_mitochondrial_respiration	C	-	6.9e-06	-	-	-	-	-	-	-	-	-	-	-	PF01987	Mitochondrial_biogenesis_AIM24	1.3e-08	-	-	-	-	-	-	-	-	-	-	-	-	IPR016031;_IPR002838	Tryptophan_RNA-binding_attenuator_protein-like_domain_superfamily;_Mitochondrial_biogenesis_protein_AIM24	PF01987	Mitochondrial_biogenesis_AIM24	AAR38951.1_NEQ095_[Nanoarchaeum_equitans_Kin4-M]	1.1e-98	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01030	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01030	0.068	276	tRNA(Met) cytidine acetyltransferase TmcA	COG1444	tRNA(Met)_C34_N-acetyltransferase_TmcA	J	tRNA_modification	1.7e-69	arCOG01951	TmcA	tRNA(Met)_C34_N-acetyltransferase_TmcA	J	2.9e-76	K06957	7.4e-59	196.7	464.27	tRNA(Met)_cytidine_acetyltransferase_[EC:2.3.1.193]	-	PF13718	GNAT_acetyltransferase_2	6e-39	-	-	-	-	-	-	-	-	-	-	-	-	IPR016181;_IPR000182;_IPR032672	Acyl-CoA_N-acyltransferase;_GNAT_domain;_TmcA/NAT10/Kre33	PF13718	GNAT_acetyltransferase_2	AAR38952.1_NEQ096_[Nanoarchaeum_equitans_Kin4-M]	1.0e-156	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01040	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01040	0.082	217	hypothetical protein	COG1525	Endonuclease_YncB,_thermonuclease_family	L	-	6.5e-19	arCOG03192	-	Endonuclease_YncB,_thermonuclease_family	L	4.6e-22	K01174	2.9e-20	69.5	72.70	micrococcal_nuclease_[EC:3.1.31.1]	-	PF00565	Staphylococcal_nuclease_homologue	1e-11	-	-	-	-	-	-	-	-	-	-	-	-	IPR016071;_IPR035437	Staphylococcal_nuclease_(SNase-like),_OB-fold;_SNase-like,_OB-fold_superfamily	PF00565	Staphylococcal_nuclease_homologue	AAR38953.1_NEQ097_[Nanoarchaeum_equitans_Kin4-M]	3.2e-121	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01050	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01050	0.043	276	Putative HTH-type transcriptional regulator TrmBL2	COG1378	Sugar-specific_transcriptional_regulator_TrmB	K	-	6.4e-55	arCOG02037	-	Sugar-specific_transcriptional_regulator_TrmB	K	1.9e-35	K07725	2.7e-10	37.3	73.63	CRISPR-associated_protein_Csa3	-	PF01978	Sugar-specific_transcriptional_regulator_TrmB	9.5e-23	-	-	-	-	-	-	-	-	-	-	-	-	IPR036388;_IPR002831;_IPR036390;_IPR021586;_IPR011991	Winged_helix-like_DNA-binding_domain_superfamily;_Transcription_regulator_TrmB,_N-terminal;_Winged_helix_DNA-binding_domain_superfamily;_Transcription_regulator_TrmB,_C-terminal;_ArsR-like_helix-turn-helix_domain	PF01978;_PF11495	Sugar-specific_transcriptional_regulator_TrmB;_Archaeal_transcriptional_regulator_TrmB	AAR38954.1_NEQ098_[Nanoarchaeum_equitans_Kin4-M]	5.6e-147	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01060	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01060	0.151	258	hypothetical protein	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AAR38955.1_NEQ099_[Nanoarchaeum_equitans_Kin4-M]	2.2e-145	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01070	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01070	0.141	304	hypothetical protein	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AAR38956.1_NEQ100_[Nanoarchaeum_equitans_Kin4-M]	1.9e-172	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01080	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01080	0.087	160	50S ribosomal protein L11	COG0080	Ribosomal_protein_L11	J	Ribosome_50S_subunit	9.6e-40	arCOG04372	RplK	Ribosomal_protein_L11	J	3.6e-46	K02867	1.9e-39	131.7	67.97	large_subunit_ribosomal_protein_L11	high_score	PF00298	Ribosomal_protein_L11,_RNA_binding_domain	1.4e-22	TIGR01632	ribosomal_protein_uL11	-	8e-34	-	-	-	-	-	-	-	-	IPR000911;_IPR036769;_IPR020784;_IPR036796;_IPR020783	Ribosomal_protein_L11/L12;_Ribosomal_protein_L11,_C-terminal_domain_superfamily;_Ribosomal_protein_L11,_N-terminal;_Ribosomal_protein_L11/L12,_N-terminal_domain_superfamily;_Ribosomal_protein_L11,_C-terminal	PF03946;_PF00298	Ribosomal_protein_L11,_N-terminal_domain;_Ribosomal_protein_L11,_RNA_binding_domain	P62446.1_RecName:_Full=50S_ribosomal_protein_L11	4.8e-82	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01090	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01090	0.084	570	V-type ATP synthase alpha chain	COG1155	Archaeal/vacuolar-type_H+-ATPase_catalytic_subunit_A/Vma1	C	A/V-type_ATP_synthase	1.2e-251	arCOG00868	NtpA	Archaeal/vacuolar-type_H+-ATPase_subunit_A	C	1.2e-195	K02117	2.8e-248	822.0	816.27	V/A-type_H+/Na+-transporting_ATPase_subunit_A_[EC:7.1.2.2_7.2.2.1]	high_score	PF00006	ATP_synthase_alpha/beta_family,_nucleotide-binding_domain	1.2e-88	TIGR01043	ATP_synthase_archaeal,_A_subunit	3.6.3.14	2e-247	-	-	-	3.A.2.3.1	0.0	-	-	-	IPR022878;_IPR000194;_IPR027417;_IPR031686;_IPR024034;_IPR036121;_IPR004100;_IPR023366	V-type_ATP_synthase_catalytic_alpha_chain;_ATPase,_F1/V1/A1_complex,_alpha/beta_subunit,_nucleotide-binding_domain;_P-loop_containing_nucleoside_triphosphate_hydrolase;_ATPsynthase_alpha/beta_subunit,_N-terminal_extension;_ATPase,_F1/V1_complex,_beta/alpha_subunit,_C-terminal;_ATPase,_F1/V1/A1_complex,_alpha/beta_subunit,_N-terminal_domain_superfamily;_ATPase,_F1/V1/A1_complex,_alpha/beta_subunit,_N-terminal_domain;_ATP_synthase_subunit_alpha,_N-terminal_domain-like_superfamily	PF00006;_PF16886;_PF02874	ATP_synthase_alpha/beta_family,_nucleotide-binding_domain;_ATPsynthase_alpha/beta_subunit_N-term_extension;_ATP_synthase_alpha/beta_family,_beta-barrel_domain	Q74MJ7.1_RecName:_Full=V-type_ATP_synthase_alpha_chain;_AltName:_Full=V-ATPase_subunit_A	0.0e+00	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01100	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01100	0.061	404	Histidine--tRNA ligase	COG0124	Histidyl-tRNA_synthetase	J	Aminoacyl-tRNA_synthetases	1.5e-107	arCOG00404	HisS	Histidyl-tRNA_synthetase	J	5.6e-81	K01892	2.9e-102	339.7	252.40	histidyl-tRNA_synthetase_[EC:6.1.1.21]	high_score	PF13393	Histidyl-tRNA_synthetase	6.8e-42	TIGR00442	histidine--tRNA_ligase	6.1.1.21	2e-105	-	-	-	-	-	-	-	-	IPR015807;_IPR006195;_IPR004154;_IPR036621;_IPR004516	Histidine-tRNA_ligase;_Aminoacyl-tRNA_synthetase,_class_II;_Anticodon-binding;_Anticodon-binding_domain_superfamily;_Histidine-tRNA_ligase/ATP_phosphoribosyltransferase_regulatory_subunit	PF13393;_PF03129	Histidyl-tRNA_synthetase;_Anticodon_binding_domain	P60922.1_RecName:_Full=Histidine--tRNA_ligase;_AltName:_Full=Histidyl-tRNA_synthetase;_Short=HisRS	1.2e-219	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01110	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01110	0.039	326	hypothetical protein	-	-	-	-	-	arCOG00427	RecJ/Cdc45	Single-stranded_DNA-specific_exonuclease_RecJ	L	7.9e-13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AAR38960.1_NEQ104_[Nanoarchaeum_equitans_Kin4-M]	8.5e-179	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01120	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01120	0.095	126	30S ribosomal protein S6e	COG2125	Ribosomal_protein_S6E_(S10)	J	Archaeal_ribosomal_proteins	1.4e-40	arCOG01946	RPS6A	Ribosomal_protein_S6E/S10	J	1.3e-27	K02991	1.3e-22	77.4	54.93	small_subunit_ribosomal_protein_S6e	high_score	PF01092	Ribosomal_protein_S6e	1e-27	-	-	-	-	-	-	-	-	-	-	-	-	IPR018282;_IPR020924;_IPR001377	Ribosomal_protein_S6e,_conserved_site;_Ribosomal_protein_S6e,_archaeal;_Ribosomal_protein_S6e	PF01092	Ribosomal_protein_S6e	Q74MJ5.1_RecName:_Full=30S_ribosomal_protein_S6e	4.2e-65	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01130	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01130	0.081	370	hypothetical protein	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AAR38962.1_NEQ107_[Nanoarchaeum_equitans_Kin4-M]	8.1e-210	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01140	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01140	0.062	305	Protein pelota	COG1537	Stalled_ribosome_rescue_protein_Dom34,_pelota_family	J	-	4.5e-45	arCOG01741	PelA	Release_factor_eRF1	J	2.6e-20	K06965	4.3e-13	46.0	105.07	protein_pelota	-	PF03463	eRF1_domain_1	8.6e-09	-	-	-	-	-	-	-	-	-	-	-	-	IPR038069;_IPR005140	Pelota/DOM34,_N-terminal_domain;_eRF1_domain_1/Pelota-like	PF03463	eRF1_domain_1	AAR38963.1_NEQ109_[Nanoarchaeum_equitans_Kin4-M]	4.9e-168	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01150	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01150	0.059	352	tRNA (guanine(26)-N(2))-dimethyltransferase	COG1867	tRNA_G26_N,N-dimethylase_Trm1	J	tRNA_modification	9.6e-105	arCOG01219	TRM1	N2,N2-dimethylguanosine_tRNA_methyltransferase	J	6.3e-74	K00555	4.7e-76	253.5	94.47	tRNA_(guanine26-N2/guanine27-N2)-dimethyltransferase_[EC:2.1.1.215_2.1.1.216]	high_score	PF02005	N2,N2-dimethylguanosine_tRNA_methyltransferase	6.6e-86	TIGR00308	N2,N2-dimethylguanosine_tRNA_methyltransferase	2.1.1.-	1.1e-80	-	-	-	-	-	-	-	-	IPR002905;_IPR029063	tRNA_methyltransferase,_Trm1;_S-adenosyl-L-methionine-dependent_methyltransferase	PF02005	N2,N2-dimethylguanosine_tRNA_methyltransferase	AAR38964.1_NEQ108_[Nanoarchaeum_equitans_Kin4-M]	3.5e-202	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01160	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01160	0.052	420	hypothetical protein	COG1750	Predicted_archaeal_serine_protease,_S18_family	R	-	3.4e-62	arCOG01937	-	Archaeal_serine_protease,_S18_family	R	3.9e-54	K06870	5.3e-27	91.9	142.23	uncharacterized_protein	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	IPR020568;_IPR014721	Ribosomal_protein_S5_domain_2-type_fold;_Ribosomal_protein_S5_domain_2-type_fold,_subgroup	-	-	AAR38965.1_NEQ110_[Nanoarchaeum_equitans_Kin4-M]	8.8e-237	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01170	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01170	0.041	218	Exosome complex component Rrp42	COG2123	Exosome_complex_RNA-binding_protein_Rrp42,_RNase_PH_superfamily	U	-	6e-64	arCOG01574	Rrp42	Exosome_complex_RNA-binding_protein_Rrp42,_RNase_PH_superfamily	J	2.3e-45	K12586	2.3e-31	106.2	239.50	exosome_complex_component_RRP43	-	PF01138	3'_exoribonuclease_family,_domain_1	4.2e-15	-	-	-	-	-	-	-	-	-	-	-	-	IPR001247;_IPR020568;_IPR015847;_IPR036345;_IPR027408	Exoribonuclease,_phosphorolytic_domain_1;_Ribosomal_protein_S5_domain_2-type_fold;_Exoribonuclease,_phosphorolytic_domain_2;_Exoribonuclease,_PH_domain_2_superfamily;_PNPase/RNase_PH_domain_superfamily	PF01138;_PF03725	3'_exoribonuclease_family,_domain_1;_3'_exoribonuclease_family,_domain_2	AAR38966.1_NEQ111_[Nanoarchaeum_equitans_Kin4-M]	6.9e-116	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01180	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01180	0.067	327	GTPase Der	COG1163	Ribosome-interacting_GTPase_RBG1	J	-	3.2e-90	arCOG00358	DRG	Ribosome-interacting_GTPase_1	J	1.5e-53	K06944	2e-53	178.5	114.93	uncharacterized_protein	high_score	PF02824	TGS_domain	1.2e-16	TIGR03594	ribosome-associated_GTPase_EngA	-	1.2e-06	-	-	-	-	-	-	-	-	IPR012676;_IPR031662;_IPR004095;_IPR027417;_IPR012675;_IPR006073	TGS-like;_GTP_binding_protein,_second_domain;_TGS;_P-loop_containing_nucleoside_triphosphate_hydrolase;_Beta-grasp_domain_superfamily;_GTP_binding_domain	PF16897;_PF02824;_PF01926	C-terminal_region_of_MMR_HSR1_domain;_TGS_domain;_50S_ribosome-binding_GTPase	AAR38967.1_NEQ112_[Nanoarchaeum_equitans_Kin4-M]	1.4e-173	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01190	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01190	0.034	146	RNA-binding protein	COG1325	Exosome_subunit,_RNA_binding_protein_with_dsRBD_fold	U	-	2.5e-27	arCOG01042	-	Exosome_subunit,_RNA_binding_protein_with_dsRBD_fold	J	4.3e-13	K07581	7.4e-26	87.6	73.43	RNA-binding_protein	high_score	PF01877	RNA_binding	1.1e-18	-	-	-	-	-	-	-	-	-	-	-	-	IPR022803;_IPR002739	Ribosomal_protein_L5_domain_superfamily;_Uncharacterised_protein_family_UPF0201	PF01877	RNA_binding	AAR38968.1_NEQ113_[Nanoarchaeum_equitans_Kin4-M]	1.1e-74	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01200	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01200	0.04	348	Deoxyguanosinetriphosphate triphosphohydrolase-like protein	COG1078	HD_superfamily_phosphohydrolase	R	-	1.6e-77	arCOG04430	-	HD_superfamily_phosphohydrolase	R	3e-65	K06885	2.7e-73	244.4	255.90	uncharacterized_protein	-	PF01966	HD_domain	3.1e-13	TIGR01353	putative_dGTPase	3.1.5.1	4.6e-14	-	-	-	-	-	-	-	-	IPR003607;_IPR006674	HD/PDEase_domain;_HD_domain	PF01966	HD_domain	AAR38969.1_NEQ114_[Nanoarchaeum_equitans_Kin4-M]	1.1e-195	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01210	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01210	0.05	377	Tryptophan--tRNA ligase	COG0180	Tryptophanyl-tRNA_synthetase	J	Aminoacyl-tRNA_synthetases	7.6e-61	arCOG01887	TrpS	Tryptophanyl-tRNA_synthetase	J	7.4e-90	K01867	1.8e-59	199.0	132.27	tryptophanyl-tRNA_synthetase_[EC:6.1.1.2]	high_score	PF00579	tRNA_synthetases_class_I_(W_and_Y)	2.4e-37	TIGR00233	tryptophan--tRNA_ligase	6.1.1.2	6.3e-80	-	-	-	-	-	-	-	-	IPR002306;_IPR014729;_IPR002305	Tryptophan-tRNA_ligase;_Rossmann-like_alpha/beta/alpha_sandwich_fold;_Aminoacyl-tRNA_synthetase,_class_Ic	PF00579	tRNA_synthetases_class_I_(W_and_Y)	AAR38970.1_NEQ115_[Nanoarchaeum_equitans_Kin4-M]	1.7e-215	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01220	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01220	0.04	99	hypothetical protein	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AAR38971.1_NEQ116_[Nanoarchaeum_equitans_Kin4-M]	1.0e-42	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01230	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01230	0.056	337	hypothetical protein	COG2404	Oligoribonuclease_NrnA/c-di-AMP_phosphodiesterase_DhhP,_DHH_superfamily	JT	-	1.6e-21	arCOG00424	-	DHH_superfamily_phosphohydrolase/exonuclease	L	7.6e-72	K07462	8.3e-19	64.7	64.50	single-stranded-DNA-specific_exonuclease_[EC:3.1.-.-]	high_score	-	-	-	TIGR00644	single-stranded-DNA-specific_exonuclease_RecJ	3.1.-.-	1.3e-11	-	-	-	-	-	-	-	-	IPR038763	DHH_phosphoesterase_superfamily	-	-	AAR38972.1_NEQ118_[Nanoarchaeum_equitans_Kin4-M]	1.0e-190	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01240	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01240	0.046	152	Putative adenylate kinase	COG1936	Broad-specificity_NMP_kinase	F	-	1.1e-36	arCOG01038	Fap7	Broad-specificity_NMP_kinase	F	3.2e-31	K18532	3.7e-30	102.1	55.83	adenylate_kinase_[EC:2.7.4.3]	high_score	PF13238	AAA_domain	4.8e-19	TIGR02173	putative_cytidylate_kinase	2.7.4.14	1.2e-11	-	-	-	-	-	-	-	-	IPR027417;_IPR020618	P-loop_containing_nucleoside_triphosphate_hydrolase;_Adenylate_kinase_isoenzyme_6	PF13238	AAA_domain	AAR38973.1_NEQ117_[Nanoarchaeum_equitans_Kin4-M]	1.2e-77	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01250	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01250	0.065	244	Iron-sulfur cluster carrier protein	COG0455	MinD-like_ATPase_FlhG/YlxH,_activator_of_the_FlhF-type_GTPase	DN	-	1.7e-52	arCOG00589	FlhG	FleN_family_ATPase_involved_in_pili_biosynthesis	N	2.1e-41	K03609	8.5e-57	189.9	187.53	septum_site-determining_protein_MinD	high_score	PF13614	AAA_domain	1.3e-22	TIGR01969	cell_division_ATPase_MinD	-	1.5e-50	-	-	-	-	-	-	-	-	IPR027417;_IPR025669	P-loop_containing_nucleoside_triphosphate_hydrolase;_AAA_domain	PF13614	AAA_domain	AAR38974.1_NEQ119_[Nanoarchaeum_equitans_Kin4-M]	1.5e-127	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01260	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01260	0.056	249	hypothetical protein	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AAR38975.1_NEQ120_[Nanoarchaeum_equitans_Kin4-M]	1.5e-138	99.6	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01270	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01270	0.008	121	hypothetical protein	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AAR38976.1_NEQ121_[Nanoarchaeum_equitans_Kin4-M]	6.2e-26	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01280	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01280	0.048	166	hypothetical protein	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AAR38977.1_NEQ123_[Nanoarchaeum_equitans_Kin4-M]	4.4e-46	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01290	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01290	0.079	253	Ribonuclease BN	COG1234	Ribonuclease_BN,_tRNA_processing_enzyme	J	-	2.7e-35	arCOG00499	-	Metal-dependent_hydrolase_of_the_beta-lactamase_superfamily	R	8.7e-39	K00784	1e-24	84.4	85.27	ribonuclease_Z_[EC:3.1.26.11]	-	PF12706	Beta-lactamase_superfamily_domain	9.2e-20	TIGR02651	ribonuclease_Z	3.1.26.11	4.2e-25	-	-	-	-	-	-	-	-	IPR001279;_IPR036866	Metallo-beta-lactamase;_Ribonuclease_Z/Hydroxyacylglutathione_hydrolase-like	PF12706	Beta-lactamase_superfamily_domain	AAR38978.1_NEQ122_[Nanoarchaeum_equitans_Kin4-M]	1.3e-139	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
