accession	arcogs	arcogs_geneID	arcogs_Description	Pathway	arcogs_evalue
GCA_000008085-CALJACFG_02730	arCOG00865	NtpB	Archaeal/vacuolar-type_H+-ATPase_subunit_B	C	1.2e-107
GCA_000008085-CALJACFG_02740	-	-	-	-	-
GCA_000008085-CALJACFG_02750	-	-	-	-	-
GCA_000008085-CALJACFG_02760	arCOG01811	TadC	Pilus_assembly_protein_TadC	N	1.3e-91
GCA_000008085-CALJACFG_02770	arCOG01812	TadC	Pilus_assembly_protein_TadC	N	5e-58
GCA_000008085-CALJACFG_02780	arCOG01563	GCD11	Translation_initiation_factor_2,_gamma_subunit_eIF-2_gamma,_GTPase	J	1.9e-117
GCA_000008085-CALJACFG_02790	-	-	-	-	-
GCA_000008085-CALJACFG_02800	-	-	-	-	-
GCA_000008085-CALJACFG_02810	-	-	-	-	-
GCA_000008085-CALJACFG_02820	arCOG04091	RpsH	Ribosomal_protein_S8	J	1.1e-36
GCA_000008085-CALJACFG_02830	arCOG01981	SUA7	Transcription_initiation_factor_TFIIB,_Brf1_subunit/Transcription_initiation_factor_TFIIB	K	1.4e-84
GCA_000008085-CALJACFG_02840	-	-	-	-	-
GCA_000008085-CALJACFG_02850	arCOG02263	-	Predicted_cell_division_protein,_SepF_homolog	D	7.2e-21
GCA_000008085-CALJACFG_02860	-	-	-	-	-
GCA_000008085-CALJACFG_02870	-	-	-	-	-
GCA_000008085-CALJACFG_02880	arCOG01937	-	Archaeal_serine_protease,_S18_family	R	8.6e-60
GCA_000008085-CALJACFG_02890	-	-	-	-	-
GCA_000008085-CALJACFG_02900	arCOG00439	MCM2	ATPase_involved_in_replication_control,_Cdc46/Mcm_family	L	5e-129
GCA_000008085-CALJACFG_02910	arCOG00042	TilS	tRNA(Ile)-lysidine_synthase_TilS/MesJ	J	8.8e-39
GCA_000008085-CALJACFG_02920	-	-	-	-	-
GCA_000008085-CALJACFG_02930	arCOG00906	Nop10	rRNA_maturation_protein_Nop10,_contains_Zn-ribbon_domain	J	6.4e-22
GCA_000008085-CALJACFG_02940	arCOG01814	TadC	Pilus_assembly_protein_TadC	N	1.5e-125
GCA_000008085-CALJACFG_02950	-	-	-	-	-
GCA_000008085-CALJACFG_02960	-	-	-	-	-
GCA_000008085-CALJACFG_02970	-	-	-	-	-
GCA_000008085-CALJACFG_02980	arCOG02144	HHT1	Histones_H3_and_H4	L	3.2e-12
GCA_000008085-CALJACFG_02990	arCOG04058	-	Uncharacterized_protein_YggU,_DUF167_family	S	6.6e-15
GCA_000008085-CALJACFG_03000	-	-	-	-	-
GCA_000008085-CALJACFG_03010	-	-	-	-	-
GCA_000008085-CALJACFG_03020	-	-	-	-	-
GCA_000008085-CALJACFG_03030	-	-	-	-	-
GCA_000008085-CALJACFG_03040	arCOG04252	TruD	tRNA(Glu)_U13_pseudouridine_synthase_TruD	J	4.7e-67
GCA_000008085-CALJACFG_03050	arCOG02259	-	Zn-finger_domain_containing_protein	R	1.2e-06
GCA_000008085-CALJACFG_03060	arCOG00035	Dph6	Diphthamide_synthase_(EF-2-diphthine--ammonia_ligase)	J	1.7e-109
GCA_000008085-CALJACFG_03070	arCOG00973	RsmB	16S_rRNA_C967_or_C1407_C5-methylase,_RsmB/RsmF_family	J	1e-67
GCA_000008085-CALJACFG_03080	arCOG04168	RPL34A	Ribosomal_protein_L34E	J	3.5e-29
GCA_000008085-CALJACFG_03090	-	-	-	-	-
GCA_000008085-CALJACFG_03100	arCOG05748	-	Uncharacterized_protein	S	1.5e-58
GCA_000008085-CALJACFG_03110	arCOG00187	Rli1	Translation_initiation_factor_RLI1,_contains_Fe-S_and_AAA+_ATPase_domains	J	6.4e-176
GCA_000008085-CALJACFG_03120	-	-	-	-	-
GCA_000008085-CALJACFG_03130	-	-	-	-	-
GCA_000008085-CALJACFG_03140	arCOG04302	GlnS	Glutamyl-_or_glutaminyl-tRNA_synthetase	J	2.5e-147
GCA_000008085-CALJACFG_03150	arCOG04304	-	Ribosomal_protein_L35AE/L33A	J	8.7e-33
GCA_000008085-CALJACFG_03160	-	-	-	-	-
GCA_000008085-CALJACFG_03170	-	-	-	-	-
GCA_000008085-CALJACFG_03180	arCOG00991	-	tRNA_modification_protein,_contains_pre-PUA_and_PUA_domains	J	4.3e-15
GCA_000008085-CALJACFG_03190	arCOG01259	FabG	Short-chain_alcohol_dehydrogenase	I	6e-43
GCA_000008085-CALJACFG_03200	arCOG04313	Ndk	Nucleoside_diphosphate_kinase	F	4e-33
GCA_000008085-CALJACFG_03210	-	-	-	-	-
GCA_000008085-CALJACFG_03220	arCOG00403	SerS	Seryl-tRNA_synthetase	J	1.3e-123
GCA_000008085-CALJACFG_03230	arCOG02285	Ncl1	Ribosome_biogenesis_protein,_NOL1/NOP2/fmu_family	J	2e-36
GCA_000008085-CALJACFG_03240	-	-	-	-	-
GCA_000008085-CALJACFG_03250	arCOG04086	RpmD	Ribosomal_protein_L30	J	1.1e-50
GCA_000008085-CALJACFG_03260	arCOG02155	-	Protein_implicated_in_RNA_metabolism,_contains_PRC-barrel_domain	R	1.6e-13
GCA_000008085-CALJACFG_03270	arCOG04312	Fcf1	rRNA-processing_protein_FCF1,_contains_PIN_domain	J	4.9e-15
GCA_000008085-CALJACFG_03280	arCOG04048	Dcd	Deoxycytidine_deaminase	F	2e-45
GCA_000008085-CALJACFG_03290	arCOG01311	SppA	Periplasmic_serine_protease_(ClpP_class)	O	1.9e-47
GCA_000008085-CALJACFG_03300	arCOG00779	RplO	Ribosomal_protein_L15	J	1.1e-21
GCA_000008085-CALJACFG_03310	arCOG01526	TopG2	Reverse_gyrase	L	1e-207
GCA_000008085-CALJACFG_03320	arCOG01751	Rpl7Ae	Ribosomal_protein_L7AE	J	5.9e-47
GCA_000008085-CALJACFG_03330	arCOG04265	ZPR1	C4-type_Zn-finger_protein,_LSM1_interacting_protein	K	7.7e-28
GCA_000008085-CALJACFG_03340	arCOG01885	RPS17A	Ribosomal_protein_S17E	J	2e-13
GCA_000008085-CALJACFG_03350	-	-	-	-	-
GCA_000008085-CALJACFG_03360	arCOG01527	TopA	Topoisomerase_IA	L	4.1e-33
GCA_000008085-CALJACFG_03370	arCOG01640	GCD7	Translation_initiation_factor_2,_beta_subunit_(eIF-2beta)/eIF-5_N-terminal_domain	J	2.8e-37
GCA_000008085-CALJACFG_03380	arCOG04156	TYW3	Wybutosine_(yW)_biosynthesis_enzyme	J	1.6e-66
GCA_000008085-CALJACFG_03390	arCOG04096	RpsQ	Ribosomal_protein_S17	J	3.9e-21
GCA_000008085-CALJACFG_03400	arCOG01117	-	Lrp/AsnC_family_C-terminal_domain	K	2.4e-16
GCA_000008085-CALJACFG_03410	-	-	-	-	-
GCA_000008085-CALJACFG_03420	arCOG04048	Dcd	Deoxycytidine_deaminase	F	3.8e-35
GCA_000008085-CALJACFG_03430	arCOG02868	DsbG	Protein-disulfide_isomerase	O	2.5e-09
GCA_000008085-CALJACFG_03440	-	-	-	-	-
GCA_000008085-CALJACFG_03450	-	-	-	-	-
GCA_000008085-CALJACFG_03460	-	-	-	-	-
GCA_000008085-CALJACFG_03470	arCOG04130	-	Predicted_RNA-binding_protein	J	1.4e-43
GCA_000008085-CALJACFG_03480	arCOG04449	TruA	Pseudouridylate_synthase	J	2.2e-44
GCA_000008085-CALJACFG_03490	-	-	-	-	-
GCA_000008085-CALJACFG_03500	-	-	-	-	-
GCA_000008085-CALJACFG_03510	arCOG04244	RPB10	DNA-directed_RNA_polymerase,_subunit_N_(RpoN/RPB10)	K	1.6e-28
GCA_000008085-CALJACFG_03520	arCOG00978	GCD14	tRNA(1-methyladenosine)_methyltransferase	J	1.4e-23
GCA_000008085-CALJACFG_03530	arCOG01950	RPL24A	Ribosomal_protein_L24E	J	9.7e-16
GCA_000008085-CALJACFG_03540	arCOG02293	-	HAD_superfamily_hydrolase	R	2.3e-09
GCA_000008085-CALJACFG_03550	arCOG00614	SpoIVFB	Zn-dependent_protease	R	3.4e-07
GCA_000008085-CALJACFG_03560	arCOG04281	DnaG	DNA_primase_(bacterial_type)	L	4.6e-94
GCA_000008085-CALJACFG_03570	arCOG01923	SIK1	RNA_processing_factor_Prp31,_contains_Nop_domain	J	1.3e-77
GCA_000008085-CALJACFG_03580	arCOG01832	IbpA	Molecular_chaperone_(HSP20_family)	O	2.1e-18
GCA_000008085-CALJACFG_03590	arCOG00769	ThiJ	Putative_intracellular_protease/amidase	R	3.7e-13
GCA_000008085-CALJACFG_03600	arCOG04889	NrdD	Oxygen-sensitive_ribonucleoside-triphosphate_reductase	F	8.3e-220
GCA_000008085-CALJACFG_03610	arCOG00929	Nfi	Deoxyinosine_3'endonuclease_(endonuclease_V)	L	9.9e-28
GCA_000008085-CALJACFG_03620	arCOG04175	RPL20A	Ribosomal_protein_L20A_(L18A)	J	7.6e-17
GCA_000008085-CALJACFG_03630	arCOG01728	Mho1	Predicted_class_III_extradiol_dioxygenase,_MEMO1_family	R	1.4e-59
GCA_000008085-CALJACFG_03640	arCOG02144	HHT1	Histones_H3_and_H4	L	7.7e-11
GCA_000008085-CALJACFG_03650	arCOG02160	LonB	Predicted_ATP-dependent_protease	O	1.4e-177
GCA_000008085-CALJACFG_03660	arCOG01845	PaaD	Metal-sulfur_cluster_biosynthetic_enzyme	O	5.8e-16
GCA_000008085-CALJACFG_03670	arCOG00017	-	Predicted_transcriptional_regulator	R	1.5e-19
GCA_000008085-CALJACFG_03680	arCOG02177	-	Uncharacterized_membrane_protein	S	1.2e-14
GCA_000008085-CALJACFG_03690	arCOG03450	-	Predicted_surface_protease_of_transglutaminase_family	R	2.5e-73
GCA_000008085-CALJACFG_03700	-	-	-	-	-
GCA_000008085-CALJACFG_03710	-	-	-	-	-
GCA_000008085-CALJACFG_03720	arCOG04479	-	Transcriptional_regulator_containing_an_HTH_domain_fused_to_a_Zn-ribbon	K	5.5e-20
GCA_000008085-CALJACFG_03730	arCOG01150	-	Phosphohydrolase,_Icc/MPP_superfamily	R	1.1e-39
GCA_000008085-CALJACFG_03740	arCOG02261	-	Protein_containing_OB-fold-like_and_PCI_domains	R	2.6e-07
GCA_000008085-CALJACFG_03750	arCOG04314	RPS28A	Ribosomal_protein_S28E/S33	J	1.2e-25
GCA_000008085-CALJACFG_03760	arCOG04067	RplB	Ribosomal_protein_L2	J	1.4e-71
GCA_000008085-CALJACFG_03770	arCOG01717	GatA	Asp-tRNAAsn/Glu-tRNAGln_amidotransferase_A_subunit_or_related_amidase	J	3.3e-101
GCA_000008085-CALJACFG_03780	arCOG01204	-	Minimal_nucleotidyltransferase	V	5.9e-46
GCA_000008085-CALJACFG_03790	arCOG01753	Ssh10b	Archaeal_DNA-binding_protein_Alba	K	8.4e-28
GCA_000008085-CALJACFG_03800	arCOG04473	RPL31A	Ribosomal_protein_L31E	J	1.7e-18
GCA_000008085-CALJACFG_03810	-	-	-	-	-
GCA_000008085-CALJACFG_03820	arCOG00350	RbgA	Ribosome_biogenesis_GTPase_A	J	1.9e-59
GCA_000008085-CALJACFG_03830	arCOG00972	NadR	Nicotinamide_mononucleotide_adenylyltransferase	H	1.5e-22
GCA_000008085-CALJACFG_03840	arCOG06583	Nfo	Endonuclease_IV	L	1.4e-97
GCA_000008085-CALJACFG_03850	arCOG00877	SSL2	DNA_or_RNA_helicase_of_superfamily_II	K	6.3e-142
GCA_000008085-CALJACFG_03860	arCOG00675	RPB7	DNA-directed_RNA_polymerase,_subunit_E'/Rpb7	K	5.9e-45
GCA_000008085-CALJACFG_03870	arCOG00905	-	Uracil-DNA_glycosylase	L	1e-49
GCA_000008085-CALJACFG_03880	arCOG01159	-	Uncharacterized_archaeal_coiled-coil_protein	S	4.6e-18
GCA_000008085-CALJACFG_03890	arCOG00349	Fer	Ferredoxin	C	1e-15
GCA_000008085-CALJACFG_03900	arCOG04186	RPS1A	Ribosomal_protein_S3AE	J	1.2e-55
GCA_000008085-CALJACFG_03910	arCOG02204	Sss1	Preprotein_translocase_subunit_Sss1	U	9.7e-09
GCA_000008085-CALJACFG_03920	-	-	-	-	-
GCA_000008085-CALJACFG_03930	arCOG00579	RPB9	DNA-directed_RNA_polymerase,_subunit_M/Transcription_elongation_factor_TFIIS	K	3e-21
GCA_000008085-CALJACFG_03940	arCOG01812	TadC	Pilus_assembly_protein_TadC	N	7e-06
GCA_000008085-CALJACFG_03950	arCOG00497	-	Zn-dependent_hydrolase_of_the_beta-lactamase_fold	R	4.6e-53
GCA_000008085-CALJACFG_03960	arCOG04089	RPL19A	Ribosomal_protein_L19E	J	3.4e-47
GCA_000008085-CALJACFG_03970	-	-	-	-	-
GCA_000008085-CALJACFG_03980	arCOG00952	PflA	Pyruvate-formate_lyase-activating_enzyme	O	2.4e-58
GCA_000008085-CALJACFG_03990	arCOG00397	SbcD	DNA_repair_exonuclease,_SbcD	L	6.2e-40
GCA_000008085-CALJACFG_04000	arCOG04174	TYW1	Wybutosine_(yW)_biosynthesis_enzyme,_Fe-S_oxidoreductase	J	5.2e-90
GCA_000008085-CALJACFG_04010	arCOG01018	TrmJ	tRNA_C32,U32_(ribose-2'-O)-methylase_TrmJ_or_a_related_methyltransferase	J	8.9e-56
GCA_000008085-CALJACFG_04020	arCOG02737	-	Predicted_Fe-Mo_cluster-binding_protein,_NifX_family	O	4.1e-23
GCA_000008085-CALJACFG_04030	arCOG01341	GIM5	Predicted_prefoldin,_molecular_chaperone_implicated_in_de_novo_protein_folding	O	1.5e-08
GCA_000008085-CALJACFG_04040	arCOG00872	MPH1	ERCC4-like_helicase	L	2.6e-155
GCA_000008085-CALJACFG_04050	arCOG04087	RpsE	Ribosomal_protein_S5	J	2.7e-73
GCA_000008085-CALJACFG_04060	arCOG01886	TyrS	Tyrosyl-tRNA_synthetase	J	4.1e-103
GCA_000008085-CALJACFG_04070	-	-	-	-	-
GCA_000008085-CALJACFG_04080	-	-	-	-	-
GCA_000008085-CALJACFG_04090	arCOG04277	Efp	Translation_elongation_factor_P_(EF-P)/translation_initiation_factor_5A_(eIF-5A)	J	9.9e-36
GCA_000008085-CALJACFG_04100	arCOG01719	GatE	Archaeal_Glu-tRNAGln_amidotransferase_subunit_E_(contains_GAD_domain)	J	1.6e-67
GCA_000008085-CALJACFG_04110	arCOG03013	PRI2	Eukaryotic-type_DNA_primase,_large_subunit	L	3.1e-14
GCA_000008085-CALJACFG_04120	arCOG04129	RPL21A	Ribosomal_protein_L21E	J	7.2e-52
GCA_000008085-CALJACFG_04130	arCOG00459	Nth	EndoIII-related_endonuclease	L	6.2e-47
GCA_000008085-CALJACFG_04140	arCOG01001	Map	Methionine_aminopeptidase	J	8e-79
GCA_000008085-CALJACFG_04150	-	-	-	-	-
GCA_000008085-CALJACFG_04160	arCOG00438	-	AAA_family_ATPase	R	2.8e-64
GCA_000008085-CALJACFG_04170	arCOG02900	-	Predicted_toxin_of_RNase_A_family,_contains_vWA_domain	V	1.6e-16
GCA_000008085-CALJACFG_04180	arCOG04142	DYS1	Deoxyhypusine_synthase	O	4e-83
GCA_000008085-CALJACFG_04190	-	-	-	-	-
GCA_000008085-CALJACFG_04200	arCOG04107	SUI2	Translation_initiation_factor_2,_alpha_subunit_(eIF-2alpha)	J	1.5e-39
GCA_000008085-CALJACFG_04210	arCOG01111	PpsA	Phosphoenolpyruvate_synthase/pyruvate_phosphate_dikinase	G	1.7e-14
GCA_000008085-CALJACFG_04220	arCOG05037	-	Uncharacterized_protein	S	7.6e-29
GCA_000008085-CALJACFG_04230	-	-	-	-	-
GCA_000008085-CALJACFG_04240	arCOG00557	Lhr	Lhr-like_helicase_with_C-terminal_Zn_finger_domain	R	1.1e-49
GCA_000008085-CALJACFG_04250	arCOG04138	NtpI	Archaeal/vacuolar-type_H+-ATPase_subunit_I	C	6.4e-51
GCA_000008085-CALJACFG_04260	-	-	-	-	-
GCA_000008085-CALJACFG_04270	-	-	-	-	-
GCA_000008085-CALJACFG_04280	arCOG01016	Rpo4	DNA-directed_RNA_polymerase,_subunit_Rpo4/RpoF	K	5e-12
GCA_000008085-CALJACFG_04290	arCOG04322	PepB	Leucyl_aminopeptidase	E	9.6e-133
GCA_000008085-CALJACFG_04300	-	-	-	-	-
GCA_000008085-CALJACFG_04310	arCOG06946	-	Uncharacterized_membrane_protein	S	1.6e-66
GCA_000008085-CALJACFG_04320	arCOG01937	-	Archaeal_serine_protease,_S18_family	R	1e-56
GCA_000008085-CALJACFG_04330	-	-	-	-	-
GCA_000008085-CALJACFG_04340	arCOG00405	GRS1	Glycyl-tRNA_synthetase_(class_II)	J	3.5e-135
GCA_000008085-CALJACFG_04350	-	-	-	-	-
GCA_000008085-CALJACFG_04360	arCOG04447	-	Archaeal_DNA_polymerase_II,_large_subunit	L	0
GCA_000008085-CALJACFG_04370	arCOG00551	-	DNA_replication_initiation_complex_subunit,_GINS15_family	L	5.3e-14
GCA_000008085-CALJACFG_04380	-	-	-	-	-
GCA_000008085-CALJACFG_04390	arCOG00922	SalX	ABC-type_antimicrobial_peptide_transport_system,_ATPase_component	V	3.9e-83
GCA_000008085-CALJACFG_04400	arCOG04161	DPH5	Diphthamide_biosynthesis_methyltransferase	J	2.2e-31
GCA_000008085-CALJACFG_04410	arCOG00919	-	Holliday_junction_resolvase,_archaeal_type	L	1e-06
GCA_000008085-CALJACFG_04420	arCOG00038	ThiI	tRNA_S(4)U_4-thiouridine_synthase	J	4.8e-66
GCA_000008085-CALJACFG_04430	arCOG01818	-	ATPase_involved_in_pili_biosynthesis	N	1.8e-180
GCA_000008085-CALJACFG_04440	arCOG00415	RadA	RecA/RadA_recombinase,_contains_N-terminal_HHH_domain	L	7.7e-110
GCA_000008085-CALJACFG_04450	arCOG04256	RpoC/Rpo11	DNA-directed_RNA_polymerase_subunit_A''	K	5.2e-91
GCA_000008085-CALJACFG_04460	arCOG04177	RPL39	Ribosomal_protein_L39E	J	9.3e-16
GCA_000008085-CALJACFG_04470	arCOG01346	-	RNA-binding_protein_containing_KH_domain,_possibly_ribosomal_protein	J	3.5e-15
GCA_000008085-CALJACFG_04480	-	-	-	-	-
GCA_000008085-CALJACFG_04490	arCOG00470	RFCL	Clamp_loader_ATPase,_large_subunit	L	5.4e-102
GCA_000008085-CALJACFG_04500	arCOG00928	-	Endonuclease_V_homolog	L	2.7e-40
GCA_000008085-CALJACFG_04510	-	-	-	-	-
GCA_000008085-CALJACFG_04520	arCOG04070	RplC	Ribosomal_protein_L3	J	4e-91
GCA_000008085-CALJACFG_04530	arCOG01739	LepB	Signal_peptidase_I	U	2e-15
GCA_000008085-CALJACFG_04540	arCOG03461	-	Uncharacterized_protein_containing_archaeal-type_C2H2_Zn-finger	R	1.1e-12
GCA_000008085-CALJACFG_04550	arCOG01526	TopG2	Reverse_gyrase	L	6.8e-161
GCA_000008085-CALJACFG_04560	arCOG04219	-	Possible_nuclease_of_RNase_H_fold,_RuvC/YqgF_family	L	1.8e-32
GCA_000008085-CALJACFG_04570	arCOG03055	SecD	Preprotein_translocase_subunit_SecD	U	5.3e-77
GCA_000008085-CALJACFG_04580	arCOG03054	SecF	Preprotein_translocase_subunit_SecF	U	3.8e-49
GCA_000008085-CALJACFG_04590	arCOG01695	-	Predicted_component_of_the_ribosome_quality_control_(RQC)_complex,_YloA/Tae2_family,_contains_fibronectin-binding_(FbpA)_and_DUF814_domains	J	4.4e-35
GCA_000008085-CALJACFG_04600	arCOG00047	Trm11	tRNA_G10__N-methylase_Trm11	J	4.5e-34
GCA_000008085-CALJACFG_04610	-	-	-	-	-
GCA_000008085-CALJACFG_04620	arCOG01336	AMMECR1	Uncharacterized_protein	S	9.7e-59
GCA_000008085-CALJACFG_04630	-	-	-	-	-
GCA_000008085-CALJACFG_04640	-	-	-	-	-
GCA_000008085-CALJACFG_04650	-	-	-	-	-
GCA_000008085-CALJACFG_04660	-	-	-	-	-
GCA_000008085-CALJACFG_04670	-	-	-	-	-
GCA_000008085-CALJACFG_04680	-	-	-	-	-
GCA_000008085-CALJACFG_04690	arCOG04243	RpsI	Ribosomal_protein_S9	J	8e-36
GCA_000008085-CALJACFG_04700	-	-	-	-	-
GCA_000008085-CALJACFG_04710	-	-	-	-	-
GCA_000008085-CALJACFG_04720	arCOG04113	RplP	Ribosomal_protein_L10AE/L16	J	6.9e-43
GCA_000008085-CALJACFG_04730	arCOG00458	-	Archaemetzincin_family_protease	E	7.3e-36
GCA_000008085-CALJACFG_04740	arCOG04241	RpoA/Rpo1	DNA-directed_RNA_polymerase_subunit_D	K	2.1e-31
GCA_000008085-CALJACFG_04750	arCOG01688	-	Predicted_transcriptional_regulator,_contains_HTH_and_4VR_domain	R	1.1e-10
GCA_000008085-CALJACFG_04760	arCOG00987	TruB	Pseudouridine_synthase	J	9e-113
GCA_000008085-CALJACFG_04770	arCOG04469	-	Tripartite_tricarboxylate_transporter_(TTT)_class_transporter	R	1.1e-07
GCA_000008085-CALJACFG_04780	arCOG04469	-	Tripartite_tricarboxylate_transporter_(TTT)_class_transporter	R	1.5e-30
GCA_000008085-CALJACFG_04790	arCOG00810	MetG	Methionyl-tRNA_synthetase	J	2.8e-191
GCA_000008085-CALJACFG_04800	arCOG00891	TatD	Mg-dependent_DNase	L	5.2e-52
GCA_000008085-CALJACFG_04810	arCOG03871	-	Pilin/Flagellin,_FlaG/FlaF_family	N	7e-07
GCA_000008085-CALJACFG_04820	arCOG01218	TrxA	Thiol-disulfide_isomerase_or_thioredoxin	O	5.9e-41
GCA_000008085-CALJACFG_04830	arCOG01180	RIO1	Serine/threonine_protein_kinase_involved_in_cell_cycle_control	T	6.4e-50
GCA_000008085-CALJACFG_04840	arCOG01711	Ppa	Inorganic_pyrophosphatase	C	6.2e-54
GCA_000008085-CALJACFG_04850	-	-	-	-	-
GCA_000008085-CALJACFG_04860	arCOG01181	RIO2	RIO-like_serine/threonine_protein_kinase_fused_to_N-terminal_HTH_domain	T	4.3e-49
GCA_000008085-CALJACFG_04870	arCOG00357	GTP1	Ribosome-binding_ATPase_YchF,_GTP1/OBG_family	J	4.8e-118
GCA_000008085-CALJACFG_04880	arCOG00546	RnjA	mRNA_degradation_ribonuclease_J1/J2	J	1.2e-148
GCA_000008085-CALJACFG_04890	arCOG01722	RpsM	Ribosomal_protein_S13	J	3.5e-50
GCA_000008085-CALJACFG_04900	-	-	-	-	-
GCA_000008085-CALJACFG_04910	arCOG04154	RPS8A	Ribosomal_protein_S8E	J	1.3e-43
GCA_000008085-CALJACFG_04920	-	-	-	-	-
GCA_000008085-CALJACFG_04930	-	-	-	-	-
GCA_000008085-CALJACFG_04940	-	-	-	-	-
GCA_000008085-CALJACFG_04950	arCOG01145	-	Phosphohydrolase,_Icc/MPP_superfamily	R	6.6e-23
GCA_000008085-CALJACFG_04960	arCOG02201	FtsZ1_2	Cell_division_GTPase	D	4.6e-84
GCA_000008085-CALJACFG_04970	arCOG01308	Cdc48	ATPase_of_the_AAA+_class_,_CDC48_family	O	0
GCA_000008085-CALJACFG_04980	-	-	-	-	-
GCA_000008085-CALJACFG_04990	-	-	-	-	-
GCA_000008085-CALJACFG_05000	-	-	-	-	-
GCA_000008085-CALJACFG_05010	arCOG04093	RPS4A	Ribosomal_protein_S4E	J	5.5e-61
GCA_000008085-CALJACFG_05020	arCOG00412	PheT	Phenylalanyl-tRNA_synthetase_beta_subunit	J	8.9e-100
GCA_000008085-CALJACFG_05030	arCOG04099	RpsS	Ribosomal_protein_S19	J	1.7e-47
GCA_000008085-CALJACFG_05040	arCOG04097	RpsC	Ribosomal_protein_S3	J	9.7e-36
GCA_000008085-CALJACFG_05050	arCOG04270	TFA1	Transcription_initiation_factor_IIE,_alpha_subunit	K	2.2e-22
GCA_000008085-CALJACFG_05060	-	-	-	-	-
GCA_000008085-CALJACFG_05070	arCOG03972	-	Uncharacterized_protein	S	3e-08
GCA_000008085-CALJACFG_05080	-	-	-	-	-
GCA_000008085-CALJACFG_05090	arCOG02881	ECM27	Ca2+/Na+_antiporter	P	1.2e-47
GCA_000008085-CALJACFG_05100	arCOG04185	RpsO	Ribosomal_protein_S15P	J	2.4e-47
GCA_000008085-CALJACFG_05110	arCOG00780	RPL18A	Ribosomal_protein_L18E	J	9.6e-24
GCA_000008085-CALJACFG_05120	arCOG01989	-	Zn-ribbon_RNA-binding_protein_with_a_function_in_translation	J	1.9e-07
GCA_000008085-CALJACFG_05130	-	-	-	-	-
GCA_000008085-CALJACFG_05140	-	-	-	-	-
GCA_000008085-CALJACFG_05150	-	-	-	-	-
GCA_000008085-CALJACFG_05160	arCOG01296	TrxB	Thioredoxin_reductase	O	4.7e-87
GCA_000008085-CALJACFG_05170	-	-	-	-	-
GCA_000008085-CALJACFG_05180	arCOG01183	Kae1p/TsaD	Subunit_of_KEOPS_complex,_tRNA_A37_threonylcarbamoyltransferase,_contains_a_domain_with_ASKHA_fold_and_RIO-type_kinase_(AP-endonuclease_activity)	J	3e-96
GCA_000008085-CALJACFG_05190	arCOG00946	PflA	Pyruvate-formate_lyase-activating_enzyme	O	7.6e-105
GCA_000008085-CALJACFG_05200	arCOG01951	TmcA	tRNA(Met)_C34_N-acetyltransferase_TmcA	J	2.6e-127
GCA_000008085-CALJACFG_05210	arCOG01560	InfB	Translation_initiation_factor_2_(IF-2;_GTPase)	J	9.3e-183
GCA_000008085-CALJACFG_05220	-	-	-	-	-
GCA_000008085-CALJACFG_05230	arCOG00993	NIP7	Protein_involved_in_ribosomal_biogenesis,_contains_PUA_domain	J	9.6e-15
GCA_000008085-CALJACFG_05240	arCOG07813	-	LamG-like_jellyroll_fold_domain	S	1.9e-40
GCA_000008085-CALJACFG_05250	arCOG01736	LigT	2'-5'_RNA_ligase	J	1.8e-31
GCA_000008085-CALJACFG_05260	arCOG02265	CorA	Mg2+_and_Co2+_transporter	P	9e-18
GCA_000008085-CALJACFG_05270	-	-	-	-	-
GCA_000008085-CALJACFG_05280	-	-	-	-	-
GCA_000008085-CALJACFG_05290	arCOG04257	RpoC/Rpo3	DNA-directed_RNA_polymerase_subunit_A'	K	1.2e-267
GCA_000008085-CALJACFG_05300	arCOG01695	-	Predicted_component_of_the_ribosome_quality_control_(RQC)_complex,_YloA/Tae2_family,_contains_fibronectin-binding_(FbpA)_and_DUF814_domains	J	3.6e-65
GCA_000008085-CALJACFG_05310	arCOG00410	PheS	Phenylalanyl-tRNA_synthetase_alpha_subunit	J	4.5e-91
GCA_000008085-CALJACFG_05320	arCOG04049	RPL40A	Ribosomal_protein_L40E	J	2.5e-06
GCA_000008085-CALJACFG_05330	arCOG04258	RPB5	DNA-directed_RNA_polymerase,_subunit_H,_RpoH/RPB5	K	1.1e-21
GCA_000008085-CALJACFG_05340	arCOG04245	RpsB	Ribosomal_protein_S2	J	5.4e-60
GCA_000008085-CALJACFG_05350	arCOG01347	CDC9	ATP-dependent_DNA_ligase	L	1.4e-152
GCA_000008085-CALJACFG_05360	-	-	-	-	-
GCA_000008085-CALJACFG_05370	-	-	-	-	-
GCA_000008085-CALJACFG_05380	arCOG01107	ArgE	Acetylornithine_deacetylase/Succinyl-diaminopimelate_desuccinylase_or_related_deacylase	E	5.5e-63
GCA_000008085-CALJACFG_05390	arCOG00284	-	HerA_helicase	L	1.8e-44
GCA_000008085-CALJACFG_05400	arCOG02726	GatC	Asp-tRNAAsn/Glu-tRNAGln_amidotransferase_C_subunit	J	3.3e-14
GCA_000008085-CALJACFG_05410	-	-	-	-	-
GCA_000008085-CALJACFG_05420	arCOG04144	-	8-oxoguanine_DNA_glycosylase	L	1.2e-54
GCA_000008085-CALJACFG_05430	arCOG01342	GimC	Prefoldin,_chaperonin_cofactor	O	6.4e-13
GCA_000008085-CALJACFG_05440	-	-	-	-	-
